time,open,high,low,close,volume,ticker
2017-07-19,18290,18290,18290,18290,0,TDB
2017-07-20,18290,18290,18290,18290,8100,TDB
2017-07-21,20000,20000,20000,20000,4600,TDB
2017-07-24,20000,20000,20000,20000,0,TDB
2017-07-25,18290,20000,18290,20000,2800,TDB
2017-07-26,17140,17140,16860,16860,15000,TDB
2017-07-27,16910,16910,16910,16910,0,TDB
2017-07-28,16910,16910,16910,16910,2600,TDB
2017-07-31,16910,16910,16910,16910,0,TDB
2017-08-01,16970,16970,16970,16970,100,TDB
2017-08-02,17780,17830,17780,17830,200,TDB
2017-08-03,18290,20450,18290,20450,10700,TDB
2017-08-04,20220,20220,20220,20220,0,TDB
2017-08-07,20220,20220,20220,20220,0,TDB
2017-08-08,20220,20220,20220,20220,0,TDB
2017-08-09,20220,20220,20220,20220,0,TDB
2017-08-10,20570,20570,20570,20570,400,TDB
2017-08-11,20570,20570,20570,20570,0,TDB
2017-08-14,20570,20570,20570,20570,0,TDB
2017-08-15,20570,20570,20570,20570,0,TDB
2017-08-16,20570,20570,20570,20570,0,TDB
2017-08-17,21710,21710,21710,21710,500,TDB
2017-08-18,21710,21710,21710,21710,0,TDB
2017-08-21,21710,21710,21710,21710,0,TDB
2017-08-22,21710,21710,21710,21710,0,TDB
2017-08-23,21710,21710,21710,21710,0,TDB
2017-08-24,21710,21710,21710,21710,0,TDB
2017-08-25,21710,21710,21710,21710,0,TDB
2017-08-28,21710,21710,21710,21710,0,TDB
2017-08-29,21710,21710,21710,21710,0,TDB
2017-08-30,21710,21710,21710,21710,0,TDB
2017-08-31,21710,21710,21710,21710,0,TDB
2017-09-01,21710,21710,21710,21710,1200,TDB
2017-09-05,21710,21710,21710,21710,0,TDB
2017-09-06,21710,21710,21710,21710,0,TDB
2017-09-07,21710,21710,21710,21710,800,TDB
2017-09-08,21140,21140,21140,21140,100,TDB
2017-09-11,21430,21430,21430,21430,1060,TDB
2017-09-12,21710,21710,21140,21140,2198,TDB
2017-09-13,21090,21140,18510,18510,3618,TDB
2017-09-14,18290,18510,18290,18510,5700,TDB
2017-09-15,18290,18290,18290,18290,0,TDB
2017-09-18,18290,18290,18290,18290,0,TDB
2017-09-19,18290,18290,18290,18290,0,TDB
2017-09-20,18290,18290,18290,18290,0,TDB
2017-09-21,18460,18510,18460,18510,3000,TDB
2017-09-22,18510,18510,18510,18510,0,TDB
2017-09-25,18510,18510,18510,18510,0,TDB
2017-09-26,18510,18510,18510,18510,0,TDB
2017-09-27,18510,18510,18510,18510,0,TDB
2017-09-28,20570,20570,20570,20570,100,TDB
2017-09-29,20570,20570,20570,20570,0,TDB
2017-10-02,20570,20570,20570,20570,0,TDB
2017-10-03,20570,20570,20570,20570,0,TDB
2017-10-04,20570,20570,20570,20570,0,TDB
2017-10-05,18860,18860,18860,18860,3091,TDB
2017-10-06,18860,19430,18860,19140,5100,TDB
2017-10-09,19430,19430,19430,19430,5076,TDB
2017-10-10,19430,19430,19430,19430,1117,TDB
2017-10-11,19430,19430,19430,19430,100,TDB
2017-10-12,19480,19480,19480,19480,700,TDB
2017-10-13,19480,19480,19480,19480,800,TDB
2017-10-16,19480,19480,19480,19480,3700,TDB
2017-10-17,19480,19480,19480,19480,0,TDB
2017-10-18,19480,19480,19480,19480,5800,TDB
2017-10-19,19480,19480,19480,19480,0,TDB
2017-10-20,19540,19540,19540,19540,1000,TDB
2017-10-23,19540,19540,19540,19540,24,TDB
2017-10-24,19540,19540,19540,19540,0,TDB
2017-10-25,19540,19540,19540,19540,0,TDB
2017-10-26,19540,19540,19540,19540,0,TDB
2017-10-27,19940,20000,19540,20000,2300,TDB
2017-10-30,19940,21710,19940,21590,4100,TDB
2017-10-31,20390,20390,20390,20390,0,TDB
2017-11-01,20390,20390,20390,20390,0,TDB
2017-11-02,20390,20390,20390,20390,0,TDB
2017-11-03,20390,20390,20390,20390,0,TDB
2017-11-06,21140,21710,21140,21430,7300,TDB
2017-11-07,21710,21710,21710,21710,2000,TDB
2017-11-08,21710,21710,21710,21710,0,TDB
2017-11-09,21430,21710,21430,21710,2100,TDB
2017-11-10,21710,21710,21710,21710,0,TDB
2017-11-13,21710,21710,21710,21710,4500,TDB
2017-11-14,21710,21710,21710,21710,0,TDB
2017-11-15,21710,21710,21710,21710,0,TDB
2017-11-16,21710,21710,21710,21710,20,TDB
2017-11-17,21710,21710,21710,21710,0,TDB
2017-11-20,21710,21710,21710,21710,0,TDB
2017-11-21,21710,21710,21710,21710,0,TDB
2017-11-22,21710,21710,21710,21710,0,TDB
2017-11-23,21710,21710,21710,21710,0,TDB
2017-11-24,21710,21710,21710,21710,0,TDB
2017-11-27,21710,21710,21710,21710,0,TDB
2017-11-28,21710,21710,21710,21710,400,TDB
2017-11-29,20000,20000,20000,20000,100,TDB
2017-11-30,20000,20000,20000,20000,0,TDB
2017-12-01,20000,20000,20000,20000,0,TDB
2017-12-04,20000,20000,20000,20000,6,TDB
2017-12-05,20000,20000,20000,20000,0,TDB
2017-12-06,20000,20000,20000,20000,0,TDB
2017-12-07,20000,20000,20000,20000,300,TDB
2017-12-08,20000,20000,20000,20000,0,TDB
2017-12-11,20000,20000,20000,20000,300,TDB
2017-12-12,20000,20000,20000,20000,1000,TDB
2017-12-13,20000,20000,20000,20000,0,TDB
2017-12-15,19320,19320,19320,19320,0,TDB
2017-12-18,19320,19320,19320,19320,0,TDB
2017-12-19,19320,19320,19320,19320,0,TDB
2017-12-20,19320,19320,19320,19320,0,TDB
2017-12-21,19320,19320,19320,19320,0,TDB
2017-12-22,19320,19320,19320,19320,0,TDB
2017-12-25,19320,19320,19320,19320,0,TDB
2017-12-26,20000,20000,20000,20000,693,TDB
2017-12-27,20110,20110,20070,20070,3000,TDB
2017-12-28,20000,20000,20000,20000,300,TDB
2017-12-29,20000,20000,20000,20000,0,TDB
2018-01-02,20000,20000,20000,20000,85,TDB
2018-01-03,20570,20570,20570,20570,100,TDB
2018-01-04,20570,20570,20570,20570,0,TDB
2018-01-05,20810,20810,20810,20810,1000,TDB
2018-01-08,20850,21140,20850,20850,2400,TDB
2018-01-09,21030,21030,21030,21030,0,TDB
2018-01-10,21030,21030,21030,21030,0,TDB
2018-01-11,21030,21030,21030,21030,5,TDB
2018-01-12,21030,21030,21030,21030,0,TDB
2018-01-15,20570,20570,20570,20570,1000,TDB
2018-01-16,20570,20570,20570,20570,0,TDB
2018-01-17,20110,20110,18910,18910,4000,TDB
2018-01-18,19710,19710,19710,19710,0,TDB
2018-01-19,19710,19710,19710,19710,0,TDB
2018-01-22,19710,19710,19710,19710,0,TDB
2018-01-23,19710,19710,19710,19710,0,TDB
2018-01-24,19710,19710,19710,19710,0,TDB
2018-01-25,19710,19710,19710,19710,0,TDB
2018-01-26,19710,19710,19710,19710,0,TDB
2018-01-29,20000,20000,20000,20000,1000,TDB
2018-01-30,20000,20000,20000,20000,500,TDB
2018-01-31,20000,20000,20000,20000,0,TDB
2018-02-01,19890,19890,19890,19890,2700,TDB
2018-02-02,20000,20000,19890,20000,3400,TDB
2018-02-05,20000,20000,20000,20000,2100,TDB
