time,open,high,low,close,volume,ticker
2013-01-02,2910,3040,2870,2970,308490,TDC
2013-01-03,2940,2970,2840,2840,467360,TDC
2013-01-04,2840,2940,2810,2910,177070,TDC
2013-01-07,2910,2940,2840,2840,402140,TDC
2013-01-08,2810,2870,2810,2840,132460,TDC
2013-01-09,2840,2970,2770,2770,473020,TDC
2013-01-10,2810,2910,2770,2910,179090,TDC
2013-01-11,2940,3010,2910,2940,250310,TDC
2013-01-14,2910,2970,2870,2910,125960,TDC
2013-01-15,2910,3040,2910,3010,499880,TDC
2013-01-16,3070,3170,3010,3110,501560,TDC
2013-01-17,3070,3140,2970,2970,243180,TDC
2013-01-18,3010,3010,2910,2940,149840,TDC
2013-01-21,3040,3040,2940,2940,207020,TDC
2013-01-22,2910,2970,2810,2840,223630,TDC
2013-01-23,2840,2870,2770,2840,91010,TDC
2013-01-24,2840,2910,2810,2910,117810,TDC
2013-01-25,2910,3010,2870,2940,112330,TDC
2013-01-28,2940,3010,2940,2940,251010,TDC
2013-01-29,2940,2940,2910,2910,169710,TDC
2013-01-30,2940,3110,2910,3110,754430,TDC
2013-01-31,3140,3210,3010,3010,427540,TDC
2013-02-01,3010,3040,2970,3040,128540,TDC
2013-02-04,3070,3070,3010,3010,100660,TDC
2013-02-05,2970,3010,2940,2970,143410,TDC
2013-02-06,3010,3140,3010,3070,218440,TDC
2013-02-07,3140,3170,3070,3170,654740,TDC
2013-02-08,3310,3380,3240,3270,576180,TDC
2013-02-18,3340,3480,3310,3440,551510,TDC
2013-02-19,3410,3440,3380,3380,719040,TDC
2013-02-20,3340,3410,3310,3340,513220,TDC
2013-02-21,3340,3480,3240,3240,1269130,TDC
2013-02-22,3340,3340,3210,3240,497580,TDC
2013-02-25,3310,3340,3240,3270,191160,TDC
2013-02-26,3270,3270,3070,3070,602150,TDC
2013-02-27,3040,3140,2970,3040,194340,TDC
2013-02-28,3040,3140,3040,3070,138060,TDC
2013-03-01,3070,3110,3040,3070,218330,TDC
2013-03-04,3110,3110,2910,2910,383870,TDC
2013-03-05,2940,2940,2840,2840,224470,TDC
2013-03-06,2910,2940,2840,2910,237430,TDC
2013-03-07,2910,2970,2870,2910,198400,TDC
2013-03-08,2940,2940,2910,2910,153920,TDC
2013-03-11,2940,3070,2910,3070,260690,TDC
2013-03-12,3070,3140,2970,3070,218390,TDC
2013-03-13,3110,3110,3010,3040,240700,TDC
2013-03-14,3070,3140,3040,3110,250920,TDC
2013-03-15,3140,3140,3070,3110,333940,TDC
2013-03-18,3110,3310,3110,3310,1039750,TDC
2013-03-19,3210,3310,3210,3210,438060,TDC
2013-03-20,3170,3270,3170,3210,169800,TDC
2013-03-21,3210,3270,3210,3240,341500,TDC
2013-03-22,3210,3240,3110,3140,330290,TDC
2013-03-25,3140,3170,3070,3140,261410,TDC
2013-03-26,3170,3210,3110,3140,148640,TDC
2013-03-27,3140,3140,3070,3110,143730,TDC
2013-03-28,3110,3140,3070,3110,365270,TDC
2013-03-29,3070,3110,3010,3070,162800,TDC
2013-04-01,3070,3170,3010,3140,210950,TDC
2013-04-02,3140,3170,3110,3110,214870,TDC
2013-04-03,3140,3140,3070,3070,115810,TDC
2013-04-04,3040,3110,3010,3040,277810,TDC
2013-04-05,3070,3170,3070,3110,169710,TDC
2013-04-08,3110,3310,3110,3210,421120,TDC
2013-04-09,3210,3310,3210,3270,449910,TDC
2013-04-10,3240,3270,3170,3170,194210,TDC
2013-04-11,3170,3210,3110,3170,211100,TDC
2013-04-12,3170,3210,3070,3140,274790,TDC
2013-04-15,3140,3140,3070,3070,216060,TDC
2013-04-16,3070,3140,3040,3110,85390,TDC
2013-04-17,3110,3140,3070,3110,50490,TDC
2013-04-18,3110,3110,3070,3070,113780,TDC
2013-04-22,3110,3110,3010,3010,166900,TDC
2013-04-23,3070,3140,3070,3070,153820,TDC
2013-04-24,3070,3110,3040,3070,27110,TDC
2013-04-25,3070,3110,3040,3110,34670,TDC
2013-04-26,3070,3070,3040,3040,30070,TDC
2013-05-02,3070,3070,3010,3040,41400,TDC
2013-05-03,3010,3070,3010,3040,37360,TDC
2013-05-06,3070,3170,3070,3140,273250,TDC
2013-05-07,3140,3140,3070,3110,150570,TDC
