time,open,high,low,close,volume,ticker
2013-01-02,4406,4476,4406,4476,362490,TDH
2013-01-03,4476,4547,4265,4265,591070,TDH
2013-01-04,4159,4371,4159,4265,388270,TDH
2013-01-07,4300,4371,4124,4194,285140,TDH
2013-01-08,4194,4300,4089,4300,317560,TDH
2013-01-09,4406,4512,4230,4265,855180,TDH
2013-01-10,4265,4476,4230,4476,453430,TDH
2013-01-11,4653,4688,4476,4653,513490,TDH
2013-01-14,4512,4582,4441,4512,382480,TDH
2013-01-15,4547,4794,4512,4794,733920,TDH
2013-01-16,4935,5111,4935,5111,608150,TDH
2013-01-17,5111,5146,4864,4864,394770,TDH
2013-01-18,4794,4864,4617,4723,321160,TDH
2013-01-21,4723,4794,4582,4688,189600,TDH
2013-01-22,4688,4758,4371,4476,238310,TDH
2013-01-23,4406,4582,4335,4476,143490,TDH
2013-01-24,4476,4758,4476,4758,394380,TDH
2013-01-25,4794,5076,4758,5076,618830,TDH
2013-01-28,5287,5322,5111,5111,524420,TDH
2013-01-29,4970,5146,4935,5040,351970,TDH
2013-01-30,5111,5111,4935,4970,321590,TDH
2013-01-31,4864,5040,4829,4864,325740,TDH
2013-02-01,4829,4829,4688,4794,324920,TDH
2013-02-04,4899,5076,4794,4899,392090,TDH
2013-02-05,4864,4899,4829,4864,206350,TDH
2013-02-06,4829,5040,4829,4935,329790,TDH
2013-02-07,5040,5111,4970,5076,378840,TDH
2013-02-08,5040,5217,5005,5146,416380,TDH
2013-02-18,5146,5358,5111,5287,509300,TDH
2013-02-19,5287,5640,5217,5499,1249570,TDH
2013-02-20,5428,5604,5322,5428,547830,TDH
2013-02-21,5252,5499,5076,5076,935120,TDH
2013-02-22,5111,5181,4758,4935,1003710,TDH
2013-02-25,4935,5076,4864,4899,267430,TDH
2013-02-26,4899,4935,4582,4582,401930,TDH
2013-02-27,4547,4723,4441,4547,289480,TDH
2013-02-28,4653,4723,4547,4653,219940,TDH
2013-03-01,4582,4688,4547,4617,142850,TDH
2013-03-04,4582,4582,4300,4300,434130,TDH
2013-03-05,4300,4371,4053,4089,178660,TDH
2013-03-06,4230,4300,4053,4194,271810,TDH
2013-03-07,4159,4230,4124,4194,135130,TDH
2013-03-08,4194,4300,4159,4230,127670,TDH
2013-03-11,4230,4512,4159,4512,423240,TDH
2013-03-12,4512,4653,4335,4441,216870,TDH
2013-03-13,4512,4547,4335,4335,126540,TDH
2013-03-14,4371,4617,4371,4617,843550,TDH
2013-03-15,4758,4864,4688,4723,384940,TDH
2013-03-18,4758,4829,4617,4723,262270,TDH
2013-03-19,4547,4653,4476,4617,254230,TDH
2013-03-20,4617,4758,4617,4617,138130,TDH
2013-03-21,4653,4758,4617,4653,274260,TDH
2013-03-22,4688,4688,4406,4406,179580,TDH
2013-03-25,4406,4547,4371,4512,171780,TDH
2013-03-26,4512,4547,4441,4441,89590,TDH
2013-03-27,4441,4476,4371,4371,107900,TDH
2013-03-28,4371,4476,4265,4300,119860,TDH
2013-03-29,4265,4300,4159,4300,153380,TDH
2013-04-01,4300,4406,4089,4406,444610,TDH
2013-04-02,4476,4547,4406,4406,199380,TDH
2013-04-03,4441,4476,4300,4300,79350,TDH
2013-04-04,4300,4406,4265,4300,107570,TDH
2013-04-05,4335,4371,4265,4335,80170,TDH
2013-04-08,4371,4371,4265,4265,116330,TDH
2013-04-09,4265,4441,4265,4406,258480,TDH
2013-04-10,4476,4512,4300,4300,310560,TDH
