time,open,high,low,close,volume,ticker
2020-06-19,3860,3860,3860,3860,102000,THD
2020-06-22,4240,4240,4240,4240,200,THD
2020-06-23,4650,4650,4650,4650,100,THD
2020-06-24,5110,5110,5110,5110,1300,THD
2020-06-25,5610,5610,5610,5610,100,THD
2020-06-26,6160,6160,6160,6160,500,THD
2020-06-29,6770,6770,6770,6770,500,THD
2020-06-30,7450,7450,7450,7450,200,THD
2020-07-01,8180,8180,8180,8180,500,THD
2020-07-02,8990,8990,8990,8990,500,THD
2020-07-03,9880,9880,9880,9880,611100,THD
2020-07-06,10850,10850,10850,10850,100,THD
2020-07-07,11920,11920,11920,11920,400,THD
2020-07-08,13090,13110,10990,13110,66650,THD
2020-07-09,14420,14420,14420,14420,500,THD
2020-07-10,15850,15850,15850,15850,41200,THD
2020-07-13,17430,17430,14360,17430,15905,THD
2020-07-14,19170,19170,18820,18820,27115,THD
2020-07-15,20400,20400,18820,18820,6500,THD
2020-07-16,16960,16970,16940,16940,1085,THD
2020-07-17,15250,15470,15250,15450,34750,THD
2020-07-20,14860,15050,13900,13900,24569,THD
2020-07-21,13070,15290,12540,15290,4040,THD
2020-07-22,16040,16800,14480,16660,4525,THD
2020-07-23,16640,16640,14990,15030,4506,THD
2020-07-24,13670,14260,13670,14060,2810,THD
2020-07-27,12780,13870,12780,12780,2320,THD
2020-07-28,13470,13630,13470,13630,6461,THD
2020-07-29,12700,12890,12680,12890,2536,THD
2020-07-30,13670,13870,13670,13870,2133,THD
2020-07-31,12870,12870,12870,12870,1000,THD
2020-08-03,12870,13470,12780,13370,7801,THD
2020-08-04,14140,14160,13370,13750,4520,THD
2020-08-05,14440,14440,13570,14400,7211,THD
2020-08-06,14340,14340,13880,14040,1810,THD
2020-08-07,14660,14660,14260,14260,2600,THD
2020-08-10,14260,14260,14260,14260,2600,THD
2020-08-11,14260,14440,14060,14060,700,THD
2020-08-12,13770,13770,13670,13670,1200,THD
2020-08-13,14420,14420,14420,14420,1110,THD
2020-08-14,14840,14840,14620,14620,2500,THD
2020-08-17,14840,14840,14820,14840,3220,THD
2020-08-18,14840,14840,14840,14840,310,THD
2020-08-19,13900,14860,13900,14860,3110,THD
2020-08-20,14860,15050,14860,15050,2609,THD
2020-08-21,16239,16239,16239,16239,120,THD
2020-08-24,16239,16280,15210,16239,11300,THD
2020-08-25,15850,16800,15850,16040,2110,THD
2020-08-26,16040,16640,16040,16040,2201,THD
2020-08-27,15650,15650,15050,15050,1500,THD
2020-08-28,15450,15610,15450,15610,2800,THD
2020-08-31,15450,15450,15050,15050,1620,THD
2020-09-01,14060,16540,14060,16540,1230,THD
2020-09-03,15450,17430,15450,17430,1100,THD
2020-09-04,15940,17830,15940,17810,3900,THD
2020-09-07,16840,19570,16840,19570,518,THD
2020-09-08,18820,19570,17830,17830,600,THD
2020-09-09,16840,17830,16040,17830,5500,THD
2020-09-10,16640,16740,16640,16740,400,THD
2020-09-11,15150,15150,15150,15150,110,THD
2020-09-14,15050,15170,15050,15170,200,THD
2020-09-15,15210,15610,15210,15610,12700,THD
2020-09-16,15770,16180,15610,16180,21200,THD
2020-09-17,16239,16480,16200,16280,13635,THD
2020-09-18,16280,16440,16280,16440,76600,THD
2020-09-21,16660,17030,16640,17030,7600,THD
2020-09-22,17030,17830,17030,17830,172210,THD
2020-09-23,17830,17830,17230,17430,6670,THD
2020-09-24,17430,17430,16880,17030,2800,THD
2020-09-25,17030,17030,16239,16239,2600,THD
2020-09-28,16239,16600,15830,16600,28030,THD
2020-09-29,16600,18200,16600,16640,3925,THD
2020-09-30,16640,16840,16560,16740,3000,THD
2020-10-01,16740,17190,16740,17190,17600,THD
2020-10-02,17190,18220,17150,18220,19610,THD
2020-10-05,18220,18220,17430,17810,5045,THD
2020-10-06,17810,17810,17030,17430,4200,THD
2020-10-07,17430,17430,17030,17130,3900,THD
2020-10-08,17070,17130,17030,17070,2700,THD
2020-10-09,17030,17070,17030,17070,1200,THD
2020-10-12,16990,17070,16990,17070,1845,THD
2020-10-13,17070,17070,16840,16840,4100,THD
2020-10-14,16840,16840,16500,16500,5000,THD
2020-10-15,16500,16640,16239,16640,10125,THD
2020-10-16,16640,16820,16600,16800,19940,THD
2020-10-19,16800,17030,16640,17030,23800,THD
2020-10-20,17030,17030,16900,16960,10100,THD
2020-10-21,16960,16960,16940,16940,10800,THD
2020-10-22,16900,16900,16640,16740,8300,THD
2020-10-23,16740,16760,16700,16740,7100,THD
2020-10-26,16640,16800,16640,16740,9920,THD
2020-10-27,16640,16740,16440,16440,7400,THD
2020-10-28,16340,16440,16040,16040,4700,THD
2020-10-29,15850,16040,15650,15940,35000,THD
2020-10-30,15940,15960,15730,15850,8800,THD
2020-11-02,15850,15850,15750,15750,10600,THD
2020-11-03,15750,15770,15450,15670,6100,THD
2020-11-04,15550,15710,15490,15690,7600,THD
2020-11-05,15690,15730,15450,15610,17300,THD
2020-11-06,15710,15710,15450,15550,26100,THD
2020-11-09,15550,15730,15450,15730,9100,THD
2020-11-10,15730,15810,15650,15770,20000,THD
2020-11-11,15770,15790,15650,15650,18700,THD
2020-11-12,15940,15980,15650,15850,21300,THD
2020-11-13,16000,16040,15850,16040,10800,THD
2020-11-16,16040,16160,15940,16160,17700,THD
2020-11-17,16160,16340,16160,16340,18700,THD
2020-11-18,16540,16540,16340,16440,13400,THD
2020-11-19,16440,18080,16440,17050,6100,THD
2020-11-20,18760,18760,17830,18760,7800,THD
2020-11-23,19020,20620,18820,20620,9200,THD
2020-11-24,20640,20680,19810,20200,21400,THD
2020-11-25,20200,20240,19810,20100,19000,THD
2020-11-26,20100,20200,19810,20100,20900,THD
2020-11-27,20100,20180,20100,20180,5100,THD
2020-11-30,20180,21790,19810,20200,7360,THD
2020-12-01,20200,21990,20200,21990,7910,THD
2020-12-02,23570,24180,23570,23970,15300,THD
2020-12-03,23970,26360,23970,26360,24635,THD
2020-12-04,29000,29000,29000,29000,1000,THD
2020-12-07,31820,31820,31820,31820,1800,THD
2020-12-08,35000,35000,35000,35000,2600,THD
