time,open,high,low,close,volume,ticker
2018-12-12,10980,10980,10980,10980,0,TID
2018-12-13,15380,15380,15380,15380,5000,TID
2018-12-14,17670,17670,17670,17670,5000,TID
2018-12-17,20220,20220,20220,20220,5000,TID
2018-12-18,23240,23240,23240,23240,5100,TID
2018-12-19,26720,26720,19770,26630,10900,TID
2018-12-20,25530,25530,25530,25530,100,TID
2018-12-21,25620,25620,25440,25530,7400,TID
2018-12-24,21870,26540,21780,25620,1200,TID
2018-12-25,25440,25440,25440,25440,400,TID
2018-12-26,25440,25440,25440,25440,0,TID
2018-12-27,25440,25440,25440,25440,0,TID
2018-12-28,25440,25440,25440,25440,0,TID
2019-01-02,25440,25440,25440,25440,0,TID
2019-01-03,25440,25440,25440,25440,0,TID
2019-01-04,25440,25440,25440,25440,0,TID
2019-01-07,25440,25440,25440,25440,0,TID
2019-01-08,21960,21960,21960,21960,100,TID
2019-01-09,20770,20770,19500,19500,200,TID
2019-01-10,23160,23160,23160,23160,1500,TID
2019-01-11,19770,19770,19770,19770,100,TID
2019-01-14,19770,19770,19770,19770,0,TID
2019-01-15,16830,16830,16830,16830,100,TID
2019-01-16,14370,19310,14370,19310,200,TID
2019-01-17,14370,14370,14370,14370,100,TID
2019-01-18,16470,16470,16470,16470,200,TID
2019-01-21,16470,18300,16470,18300,200,TID
2019-01-22,18210,18210,18210,18210,100,TID
2019-01-23,18210,18210,18210,18210,0,TID
2019-01-24,18210,18210,18210,18210,0,TID
2019-01-25,18210,18210,18210,18210,0,TID
2019-01-28,18210,18210,18210,18210,0,TID
2019-01-29,18210,18210,18210,18210,0,TID
2019-01-30,18210,18210,18210,18210,0,TID
2019-01-31,18680,18680,18680,18680,100,TID
2019-02-01,18680,18680,18680,18680,0,TID
2019-02-11,18680,18680,18680,18680,0,TID
2019-02-12,18680,18680,18680,18680,0,TID
2019-02-13,18680,18680,18680,18680,0,TID
2019-02-14,18680,18680,18680,18680,0,TID
2019-02-15,18680,18680,18680,18680,0,TID
2019-02-18,18680,18680,18680,18680,0,TID
2019-02-19,18680,18680,18680,18680,0,TID
2019-02-20,18680,18680,18680,18680,0,TID
2019-02-21,18680,18680,18680,18680,0,TID
2019-02-22,15960,21400,15960,21400,1100,TID
2019-02-25,14550,19240,14460,19240,4100,TID
2019-02-26,16710,16710,16710,16710,100,TID
2019-02-27,16710,16710,16710,16710,0,TID
2019-02-28,14270,19150,14270,19150,5100,TID
2019-03-01,16329,16329,16329,16329,100,TID
2019-03-04,16890,16890,16890,16890,100,TID
2019-03-05,16890,16890,16890,16890,0,TID
2019-03-06,16890,16890,16890,16890,0,TID
2019-03-07,16890,16890,16890,16890,0,TID
2019-03-08,16890,16890,16890,16890,0,TID
2019-03-11,16890,16890,16890,16890,0,TID
2019-03-12,16890,16890,16890,16890,0,TID
2019-03-13,16890,16890,16890,16890,0,TID
2019-03-14,16890,16890,16890,16890,0,TID
2019-03-15,15960,15960,15960,15960,100,TID
2019-03-18,15960,15960,15960,15960,0,TID
2019-03-19,16050,16050,16050,16050,100,TID
2019-03-20,16050,16050,16050,16050,18,TID
2019-03-21,16050,16050,16050,16050,0,TID
2019-03-22,16050,16050,15960,16050,1500,TID
2019-03-25,16050,16050,16050,16050,500,TID
2019-03-26,16420,16420,15960,16050,1400,TID
2019-03-27,16149,16149,16149,16149,0,TID
2019-03-28,16890,16890,16890,16890,100,TID
2019-03-29,16890,19430,16890,19430,7600,TID
2019-04-01,16890,16890,16890,16890,400,TID
2019-04-02,16890,16890,16890,16890,18,TID
2019-04-03,16890,16890,16890,16890,100,TID
2019-04-04,16890,16890,16890,16890,0,TID
2019-04-05,19430,19430,19430,19430,100,TID
2019-04-08,19430,19430,19430,19430,0,TID
2019-04-09,18770,18770,18770,18770,500,TID
2019-04-10,18770,18770,18770,18770,0,TID
2019-04-11,18770,18770,18770,18770,0,TID
2019-04-12,18770,18770,18770,18770,0,TID
2019-04-16,18770,18770,18770,18770,0,TID
2019-04-17,18770,18770,18770,18770,0,TID
2019-04-18,18770,18770,18770,18770,0,TID
2019-04-19,18770,18770,18770,18770,0,TID
2019-04-22,18770,18770,18770,18770,0,TID
2019-04-23,18770,18770,18770,18770,0,TID
2019-04-24,18300,19710,16890,19710,1100,TID
2019-04-25,17460,17460,17460,17460,0,TID
2019-04-26,19710,19710,19710,19710,100,TID
2019-05-02,19710,19710,19710,19710,1500,TID
2019-05-03,19710,19710,19710,19710,0,TID
2019-05-06,19710,19710,19710,19710,0,TID
2019-05-07,19710,19710,19710,19710,0,TID
2019-05-08,19710,19710,19710,19710,0,TID
2019-05-09,19710,19710,19710,19710,0,TID
2019-05-10,19710,19710,19710,19710,0,TID
2019-05-13,19710,19710,19710,19710,0,TID
2019-05-14,21120,21120,21120,21120,1000,TID
2019-05-15,21120,21120,21120,21120,0,TID
2019-05-16,21120,21120,21120,21120,0,TID
2019-05-17,21120,21120,21120,21120,0,TID
