time,open,high,low,close,volume,ticker
2013-01-02,1280,1350,1280,1350,15700,TIG
2013-01-03,1420,1420,1280,1420,27700,TIG
2013-01-04,1420,1490,1420,1490,23000,TIG
2013-01-07,1490,1600,1390,1390,16500,TIG
2013-01-08,1450,1450,1450,1450,2400,TIG
2013-01-09,1390,1530,1390,1490,21600,TIG
2013-01-10,1390,1490,1390,1490,5600,TIG
2013-01-11,1490,1600,1390,1450,24600,TIG
2013-01-14,1450,1490,1390,1450,11600,TIG
2013-01-15,1390,1600,1390,1560,14400,TIG
2013-01-16,1630,1700,1560,1630,10100,TIG
2013-01-17,1660,1660,1490,1630,33600,TIG
2013-01-18,1490,1630,1490,1630,19000,TIG
2013-01-21,1630,1660,1530,1630,21200,TIG
2013-01-22,1530,1600,1490,1600,17000,TIG
2013-01-23,1450,1450,1450,1450,500,TIG
2013-01-24,1490,1490,1490,1490,100,TIG
2013-01-25,1390,1530,1390,1530,400,TIG
2013-01-28,1560,1560,1560,1560,600,TIG
2013-01-29,1420,1560,1420,1530,14900,TIG
2013-01-30,1530,1600,1530,1600,5600,TIG
2013-01-31,1630,1630,1630,1630,100,TIG
2013-02-01,1490,1560,1490,1560,26500,TIG
2013-02-04,1490,1490,1450,1490,11800,TIG
2013-02-05,1600,1600,1350,1490,43100,TIG
2013-02-06,1390,1420,1390,1420,5500,TIG
2013-02-07,1560,1560,1560,1560,100,TIG
2013-02-08,1600,1600,1530,1600,900,TIG
2013-02-18,1600,1740,1600,1740,5200,TIG
2013-02-19,1840,1840,1840,1840,100,TIG
2013-02-20,1840,1840,1660,1660,1600,TIG
2013-02-21,1740,1740,1530,1740,1200,TIG
2013-02-22,1740,1740,1740,1740,0,TIG
2013-02-25,1560,1800,1560,1800,3800,TIG
2013-02-26,1630,1700,1630,1700,1000,TIG
2013-02-27,1700,1700,1700,1700,0,TIG
2013-02-28,1700,1700,1700,1700,0,TIG
2013-03-01,1700,1700,1700,1700,0,TIG
2013-03-04,1700,1700,1700,1700,0,TIG
2013-03-05,1700,1700,1700,1700,0,TIG
2013-03-06,1560,1560,1560,1560,1000,TIG
2013-03-07,1420,1560,1420,1560,4600,TIG
2013-03-08,1420,1560,1420,1560,1500,TIG
2013-03-11,1530,1560,1530,1560,4000,TIG
2013-03-12,1560,1560,1560,1560,10600,TIG
2013-03-13,1420,1560,1420,1560,500,TIG
2013-03-14,1560,1560,1560,1560,0,TIG
2013-03-15,1560,1560,1560,1560,0,TIG
2013-03-18,1420,1560,1420,1560,1600,TIG
2013-03-19,1600,1700,1600,1600,1300,TIG
2013-03-20,1450,1600,1450,1600,800,TIG
2013-03-21,1450,1740,1450,1600,1000,TIG
2013-03-22,1600,1600,1600,1600,0,TIG
2013-03-25,1600,1600,1600,1600,0,TIG
2013-03-26,1600,1600,1600,1600,0,TIG
2013-03-27,1600,1600,1600,1600,0,TIG
2013-03-28,1600,1600,1600,1600,0,TIG
2013-03-29,1600,1600,1600,1600,0,TIG
2013-04-01,1600,1600,1600,1600,0,TIG
2013-04-02,1600,1600,1600,1600,0,TIG
2013-04-03,1600,1600,1600,1600,0,TIG
2013-04-04,1600,1600,1600,1600,0,TIG
2013-04-05,1600,1600,1600,1600,0,TIG
2013-04-08,1600,1600,1600,1600,0,TIG
2013-04-09,1600,1600,1600,1600,0,TIG
2013-04-10,1600,1600,1600,1600,0,TIG
2013-04-11,1450,1450,1450,1450,100,TIG
2013-04-12,1390,1490,1320,1490,179400,TIG
