time,open,high,low,close,volume,ticker
2016-06-06,7780,9320,7780,9220,65660,TIP
2016-06-07,9270,9270,8700,9110,13030,TIP
2016-06-08,9110,9110,9110,9110,0,TIP
2016-06-09,8490,8550,8490,8490,10020,TIP
2016-06-10,8340,8550,7920,7980,15970,TIP
2016-06-13,7980,7980,7660,7660,7220,TIP
2016-06-14,7570,8189,7570,8189,6170,TIP
2016-06-15,8490,8490,8189,8189,13040,TIP
2016-06-16,8280,8280,8020,8020,11930,TIP
2016-06-17,7980,8020,7820,7820,1970,TIP
2016-06-20,7980,8070,7980,8020,24920,TIP
2016-06-21,7820,8230,7820,8230,9860,TIP
2016-06-22,7980,8230,7980,8230,400,TIP
2016-06-23,7980,8020,7980,8020,5900,TIP
2016-06-24,7780,7860,7780,7860,9060,TIP
2016-06-27,7570,7860,7570,7570,16490,TIP
2016-06-28,8070,8070,8020,8020,160,TIP
2016-06-29,8020,8020,8020,8020,0,TIP
2016-06-30,7780,7860,7780,7860,44600,TIP
2016-07-01,7920,7980,7920,7920,12480,TIP
2016-07-04,7780,8020,7780,8020,13450,TIP
2016-07-05,8020,8020,7920,7920,2760,TIP
2016-07-06,7920,7920,7820,7820,2370,TIP
2016-07-07,7920,8020,7920,8020,11000,TIP
2016-07-08,7820,8189,7820,8130,17310,TIP
2016-07-11,8130,8130,8130,8130,16880,TIP
2016-07-12,8130,8130,8130,8130,2590,TIP
2016-07-13,7820,8130,7820,8130,10190,TIP
2016-07-14,8130,8130,8130,8130,12000,TIP
2016-07-15,7860,7920,7860,7920,2300,TIP
2016-07-18,7860,7980,7860,7980,3300,TIP
2016-07-19,8020,8070,8020,8070,1300,TIP
2016-07-20,8070,8189,8070,8189,3110,TIP
2016-07-21,8020,8130,8020,8130,28100,TIP
2016-07-22,8130,8189,8070,8189,5130,TIP
2016-07-25,8189,8189,8130,8130,4600,TIP
2016-07-26,8130,8640,8130,8640,15710,TIP
2016-07-27,9220,9220,9050,9220,60980,TIP
2016-07-28,9270,9780,9270,9780,34290,TIP
2016-07-29,9780,9830,9580,9580,33690,TIP
2016-08-01,9530,9580,9050,9580,10740,TIP
2016-08-02,9580,9580,9050,9530,31180,TIP
2016-08-03,9050,9480,9050,9480,33590,TIP
2016-08-04,9580,9580,9220,9220,14430,TIP
2016-08-05,9050,9730,9050,9220,17820,TIP
2016-08-08,9320,9320,9220,9220,12600,TIP
2016-08-09,9320,9480,9220,9480,10950,TIP
2016-08-10,9580,9580,9320,9480,31780,TIP
2016-08-11,9480,9830,9480,9580,5420,TIP
2016-08-12,9580,9580,9580,9580,19650,TIP
2016-08-15,9580,9580,9580,9580,1500,TIP
2016-08-16,9580,9580,9420,9420,10030,TIP
2016-08-17,9220,9580,9220,9320,9540,TIP
2016-08-18,9320,9320,9270,9270,14880,TIP
2016-08-19,9220,9580,9220,9220,6910,TIP
2016-08-22,9380,9380,9220,9270,23010,TIP
2016-08-23,9270,9320,9270,9270,26080,TIP
2016-08-24,9270,9320,9270,9270,15330,TIP
2016-08-25,9270,9420,9270,9320,19830,TIP
2016-08-26,9320,9320,9320,9320,4500,TIP
2016-08-29,9320,9530,9320,9420,14360,TIP
2016-08-30,9420,9420,9320,9380,4650,TIP
2016-08-31,9580,9580,9420,9580,16910,TIP
2016-09-01,9420,9580,9420,9580,22420,TIP
2016-09-05,9380,10040,9380,10040,13210,TIP
2016-09-06,9830,9830,9630,9780,7000,TIP
2016-09-07,9690,9730,9690,9730,3360,TIP
2016-09-08,9270,9990,9220,9420,17720,TIP
2016-09-09,9480,9580,9480,9580,9500,TIP
2016-09-12,9380,9420,9380,9420,6770,TIP
2016-09-13,9780,9780,9780,9780,10,TIP
2016-09-14,9780,9780,9380,9780,220,TIP
2016-09-15,9420,9580,9420,9420,12000,TIP
2016-09-16,9420,10070,9420,9690,2410,TIP
2016-09-19,9450,9630,9450,9580,6270,TIP
2016-09-20,9480,9630,9380,9380,7100,TIP
2016-09-21,9380,9420,9320,9380,28290,TIP
2016-09-22,9420,9420,8800,9420,21110,TIP
2016-09-23,9450,9450,9450,9450,9500,TIP
2016-09-26,9450,9450,9450,9450,5000,TIP
2016-09-27,9450,9450,9270,9420,6510,TIP
2016-09-28,9420,9420,9190,9420,24830,TIP
2016-09-29,9420,9420,9190,9380,19550,TIP
2016-09-30,9170,9380,9170,9380,9920,TIP
2016-10-03,9220,9220,9050,9220,15510,TIP
2016-10-04,9220,9220,9050,9220,25110,TIP
2016-10-05,9220,9320,9110,9270,3210,TIP
2016-10-06,9220,9220,9170,9220,12400,TIP
2016-10-07,9110,9220,8900,8900,12560,TIP
2016-10-10,9050,9320,9010,9320,3460,TIP
2016-10-11,9320,9320,8800,9190,2560,TIP
2016-10-12,9190,9190,8900,9050,570,TIP
2016-10-13,8800,9050,8800,9050,2910,TIP
2016-10-14,8930,9270,8930,9050,47210,TIP
2016-10-17,9320,9690,9320,9690,94430,TIP
2016-10-18,9690,9690,9630,9630,15120,TIP
2016-10-19,9630,9630,9320,9380,22710,TIP
2016-10-20,9630,9630,9420,9530,12830,TIP
2016-10-21,9480,9480,9380,9420,23270,TIP
2016-10-24,9420,9420,9420,9420,25320,TIP
2016-10-25,9420,9530,9420,9530,25050,TIP
2016-10-26,9990,9990,9480,9530,1930,TIP
2016-10-27,9530,9560,9450,9560,11600,TIP
2016-10-28,9530,9580,9500,9580,19000,TIP
2016-10-31,9780,9780,9580,9580,5020,TIP
2016-11-01,9580,9580,9420,9480,57800,TIP
2016-11-02,9480,9530,9480,9530,15920,TIP
2016-11-03,9480,9480,9380,9380,32000,TIP
2016-11-04,9530,9530,9400,9530,10230,TIP
2016-11-07,9630,9630,9380,9420,45480,TIP
2016-11-08,9380,9530,9380,9530,4610,TIP
2016-11-09,9480,9480,9380,9480,19890,TIP
2016-11-10,9580,9580,9320,9480,44150,TIP
2016-11-11,9480,10130,9480,10130,182150,TIP
2016-11-14,10690,10690,9780,10150,29120,TIP
