time,open,high,low,close,volume,ticker
2013-01-02,7730,7730,7730,7730,4900,TIX
2013-01-03,7600,7730,7450,7530,8300,TIX
2013-01-04,7210,7530,7210,7530,9800,TIX
2013-01-07,7530,7530,7210,7530,12560,TIX
2013-01-08,7330,7530,7330,7530,2010,TIX
2013-01-09,7530,7530,7530,7530,0,TIX
2013-01-10,7290,7290,7290,7290,1000,TIX
2013-01-11,7290,7530,7290,7330,5150,TIX
2013-01-14,7330,7330,7330,7330,0,TIX
2013-01-15,7370,7370,7330,7330,3530,TIX
2013-01-16,7330,7330,7330,7330,7870,TIX
2013-01-17,7330,7330,7130,7130,8020,TIX
2013-01-18,7130,7130,7130,7130,2000,TIX
2013-01-21,7130,7130,7130,7130,2000,TIX
2013-01-22,7130,7330,7130,7330,3010,TIX
2013-01-23,7210,7210,7210,7210,1090,TIX
2013-01-24,7210,7210,7210,7210,1030,TIX
2013-01-25,7210,7210,7210,7210,3000,TIX
2013-01-28,7250,7250,7250,7250,1200,TIX
2013-01-29,7250,7330,7250,7330,3500,TIX
2013-01-30,7250,7330,7250,7330,4900,TIX
2013-01-31,7330,7330,7330,7330,1000,TIX
2013-02-01,7130,7130,7130,7130,3410,TIX
2013-02-04,7130,7180,7130,7130,6900,TIX
2013-02-05,7130,7130,7130,7130,2010,TIX
2013-02-06,7130,7290,7130,7290,3410,TIX
2013-02-07,7130,7130,7130,7130,8470,TIX
2013-02-08,7130,7130,7130,7130,0,TIX
2013-02-18,7130,7130,7130,7130,0,TIX
2013-02-19,7250,7250,7130,7130,1020,TIX
2013-02-20,7130,7130,7130,7130,3400,TIX
2013-02-21,7330,7330,7330,7330,2000,TIX
2013-02-22,7130,7130,7130,7130,3400,TIX
2013-02-25,7130,7130,7130,7130,3400,TIX
2013-02-26,7130,7130,7050,7050,8400,TIX
2013-02-27,6850,7530,6850,7530,30,TIX
2013-02-28,7530,7530,7090,7090,4070,TIX
2013-03-01,7090,7090,7090,7090,0,TIX
2013-03-04,6970,7050,6970,6970,4000,TIX
2013-03-05,6940,6940,6730,6730,8010,TIX
2013-03-06,7090,7090,7090,7090,10,TIX
2013-03-07,6850,7530,6730,7530,60,TIX
2013-03-08,7530,7530,7530,7530,0,TIX
2013-03-11,7530,7530,7530,7530,0,TIX
2013-03-12,7490,7490,7490,7490,30,TIX
2013-03-13,7490,7490,7490,7490,0,TIX
2013-03-14,6970,7970,6970,7130,5370,TIX
2013-03-15,6940,6970,6940,6970,5040,TIX
