time,open,high,low,close,volume,ticker
2019-05-30,11550,11550,11550,11550,30,TN1
2019-05-31,12350,12350,12350,12350,30,TN1
2019-06-03,13200,13200,13200,13200,30,TN1
2019-06-04,13200,13200,13200,13200,0,TN1
2019-06-05,14110,14110,14110,14110,30,TN1
2019-06-06,15090,15090,15090,15090,30,TN1
2019-06-07,15400,15400,15400,15400,3000,TN1
2019-06-10,16450,16450,16450,16450,40,TN1
2019-06-11,17580,17580,17000,17000,470,TN1
2019-06-12,18190,18190,18190,18190,380,TN1
2019-06-13,19430,19430,19430,19430,430,TN1
2019-06-14,20790,20790,18600,18600,1000,TN1
2019-06-17,17960,17960,17320,17320,440,TN1
2019-06-18,16129,17480,16129,17480,590,TN1
2019-06-19,17480,17480,16260,17480,1030,TN1
2019-06-20,16260,16260,16260,16260,1340,TN1
2019-06-21,16260,17390,15140,17390,1120,TN1
2019-06-24,17320,17640,17320,17640,1320,TN1
2019-06-25,17640,17640,17610,17640,2030,TN1
2019-06-26,17800,17960,17800,17960,330,TN1
2019-06-27,17960,17960,17160,17800,570,TN1
2019-06-28,17770,17800,17770,17800,680,TN1
2019-07-01,16670,19020,16580,17640,1630,TN1
2019-07-02,17320,17320,16420,17320,1410,TN1
2019-07-03,17160,17160,17160,17160,1530,TN1
2019-07-04,17000,17000,16040,16040,1310,TN1
2019-07-05,17160,17160,14910,17000,810,TN1
2019-07-08,16670,17890,16070,17890,1600,TN1
2019-07-09,17060,17890,17060,17890,1100,TN1
2019-07-10,17640,17960,16940,16940,920,TN1
2019-07-11,17580,17580,17320,17580,1360,TN1
2019-07-12,17670,17670,17670,17670,680,TN1
2019-07-15,17670,17670,16710,17670,1930,TN1
2019-07-16,17670,17800,17670,17800,1680,TN1
2019-07-17,17800,17960,17800,17960,1010,TN1
2019-07-18,17800,17800,16710,17800,1250,TN1
2019-07-19,17800,17960,17800,17960,670,TN1
2019-07-22,17960,18120,17960,18120,2000,TN1
2019-07-23,16900,18120,16900,18120,1500,TN1
2019-07-24,16870,18120,16870,17960,1130,TN1
2019-07-25,18280,18280,18280,18280,750,TN1
2019-07-26,18280,18280,18280,18280,1010,TN1
2019-07-29,18320,18320,18320,18320,1280,TN1
2019-07-30,17130,18600,17130,18600,1200,TN1
2019-07-31,17320,18120,17320,18120,1350,TN1
2019-08-01,18120,18120,18120,18120,1090,TN1
2019-08-02,17640,17800,17320,17800,1730,TN1
2019-08-05,17930,18440,17930,17960,3410,TN1
2019-08-06,17960,17960,17960,17960,2330,TN1
2019-08-07,17960,18600,16710,17960,1960,TN1
2019-08-08,17960,18280,17640,18280,2220,TN1
2019-08-09,18380,18440,17480,18440,4250,TN1
2019-08-12,19250,19250,17190,18280,1220,TN1
2019-08-13,17130,17960,17130,17960,2380,TN1
2019-08-14,18280,18280,17960,17960,1150,TN1
2019-08-15,16780,18930,16780,17960,2040,TN1
2019-08-16,17960,18120,16740,18120,1320,TN1
2019-08-19,17000,18120,17000,17640,2010,TN1
2019-08-20,18440,18440,17800,17800,990,TN1
2019-08-21,17800,17800,17320,17320,2300,TN1
2019-08-22,17030,18280,17030,18120,2170,TN1
2019-08-23,18280,18930,18120,18120,1500,TN1
2019-08-26,17000,18120,17000,18120,2610,TN1
2019-08-27,17960,18120,17960,18090,2830,TN1
2019-08-28,18030,18030,18030,18030,2310,TN1
2019-08-29,17640,17740,17640,17640,2010,TN1
2019-08-30,16550,17580,16550,17480,1290,TN1
2019-09-03,16520,17320,16520,17320,2100,TN1
2019-09-04,16520,17320,17320,17320,2220,TN1
2019-09-05,17160,17320,17000,17280,2260,TN1
