time,open,high,low,close,volume,ticker
2015-01-15,3270,4300,3270,3810,382320,TVS
2015-01-16,3690,3690,3560,3590,80000,TVS
2015-01-19,3590,3590,3390,3390,78050,TVS
2015-01-20,3240,3440,3190,3440,155360,TVS
2015-01-21,3340,3440,3320,3320,34000,TVS
2015-01-22,3290,3420,3270,3320,47030,TVS
2015-01-23,3320,3370,3290,3290,66350,TVS
2015-01-26,3290,3290,3190,3190,44480,TVS
2015-01-27,3190,3190,2970,2970,94470,TVS
2015-01-28,2920,3120,2920,3120,45950,TVS
2015-01-29,3000,3120,3000,3000,13010,TVS
2015-01-30,3000,3020,2970,3000,15630,TVS
2015-02-02,2970,2970,2850,2920,21730,TVS
2015-02-03,2900,2900,2730,2730,55710,TVS
2015-02-04,2700,2830,2600,2600,42470,TVS
2015-02-05,2650,2650,2630,2630,13680,TVS
2015-02-06,2650,2800,2600,2800,35660,TVS
2015-02-09,2880,2970,2830,2900,44030,TVS
2015-02-10,2950,3020,2950,2950,57140,TVS
2015-02-11,2920,3000,2920,3000,46180,TVS
2015-02-12,3050,3070,2970,3000,33480,TVS
2015-02-13,2970,3020,2950,3020,6980,TVS
2015-02-24,3070,3070,2970,3050,17590,TVS
2015-02-25,3000,3020,2950,2970,63180,TVS
2015-02-26,2950,2970,2920,2970,29220,TVS
2015-02-27,3000,3000,2950,2970,18310,TVS
2015-03-02,2950,2970,2920,2950,20150,TVS
2015-03-03,2900,2970,2900,2950,60350,TVS
2015-03-04,2900,2970,2900,2950,65960,TVS
2015-03-05,2970,3000,2950,2970,77150,TVS
2015-03-06,2970,2970,2950,2970,38610,TVS
2015-03-09,2950,2970,2950,2950,51210,TVS
2015-03-10,2920,2950,2920,2950,14850,TVS
2015-03-11,2920,2950,2920,2950,15110,TVS
2015-03-12,2950,2950,2920,2920,15250,TVS
2015-03-13,2950,2950,2920,2920,1070,TVS
2015-03-16,2920,2950,2920,2920,16150,TVS
2015-03-17,2950,2950,2900,2900,62100,TVS
2015-03-18,2950,2950,2900,2950,1090,TVS
2015-03-19,2920,2950,2920,2950,55340,TVS
2015-03-20,2900,2920,2900,2920,7670,TVS
2015-03-23,2950,2950,2920,2920,3940,TVS
