time,open,high,low,close,volume,ticker
2017-07-17,13340,13340,8330,9530,21000,VGV
2017-07-18,9450,9450,9450,9450,1000,VGV
2017-07-19,8100,8100,8100,8100,1400,VGV
2017-07-20,7470,7470,6900,6900,6100,VGV
2017-07-21,6120,7310,6120,7310,2000,VGV
2017-07-24,6190,6750,5960,5960,10500,VGV
2017-07-25,6830,6900,6830,6900,4100,VGV
2017-07-26,6040,7940,6040,7470,8000,VGV
2017-07-27,7860,7860,7860,7860,100,VGV
2017-07-28,7860,7860,7860,7860,0,VGV
2017-07-31,7860,7860,7780,7780,1300,VGV
2017-08-01,7860,7860,7860,7860,0,VGV
2017-08-02,7150,7150,7060,7060,2100,VGV
2017-08-03,7060,7060,7060,7060,0,VGV
2017-08-04,6750,7780,6750,6750,2600,VGV
2017-08-07,6830,7700,6830,7700,700,VGV
2017-08-08,7550,7550,7550,7550,100,VGV
2017-08-09,7550,7550,7550,7550,0,VGV
2017-08-10,6670,6670,6670,6670,600,VGV
2017-08-11,5720,7550,5720,7550,700,VGV
2017-08-14,7550,7550,6980,6980,2600,VGV
2017-08-15,6750,6980,6750,6980,600,VGV
2017-08-16,7150,7150,7150,7150,100,VGV
2017-08-17,7150,7150,7150,7150,100,VGV
2017-08-18,7150,7150,7060,7060,1000,VGV
2017-08-21,6120,7060,6120,7060,300,VGV
2017-08-22,7060,7060,7060,7060,100,VGV
2017-08-23,8100,8100,7060,7060,900,VGV
2017-08-24,7060,7060,6430,6430,1100,VGV
2017-08-25,7450,7450,6410,6410,1610,VGV
2017-08-28,7130,7130,5610,6410,700,VGV
2017-08-29,7130,7130,6490,6490,200,VGV
2017-08-30,6810,6810,6810,6810,0,VGV
2017-08-31,6810,6810,6810,6810,0,VGV
2017-09-01,6810,6810,6810,6810,0,VGV
2017-09-05,7130,7130,6410,6410,2000,VGV
2017-09-06,6810,6810,6810,6810,1500,VGV
2017-09-07,6810,6810,6810,6810,0,VGV
2017-09-08,6810,6810,6410,6410,1100,VGV
2017-09-11,6410,6410,6410,6410,4000,VGV
2017-09-12,7130,7130,6250,6490,1300,VGV
2017-09-13,6570,6570,6010,6010,11600,VGV
2017-09-14,6010,6410,6010,6090,22100,VGV
2017-09-15,6010,6330,6010,6010,4100,VGV
2017-09-18,6890,6890,6810,6810,200,VGV
2017-09-19,6490,6490,6490,6490,200,VGV
2017-09-20,6490,6490,6490,6490,0,VGV
2017-09-21,6490,6490,6490,6490,0,VGV
2017-09-22,7450,7450,6090,6090,200,VGV
2017-09-25,6810,6810,6810,6810,0,VGV
2017-09-26,6090,6810,6090,6810,600,VGV
2017-09-27,7130,7130,6330,6330,700,VGV
2017-09-28,6410,6410,6410,6410,2000,VGV
2017-09-29,6410,6410,6410,6410,200,VGV
2017-10-02,6410,6410,6410,6410,1000,VGV
2017-10-03,6410,6410,6410,6410,0,VGV
2017-10-04,6410,6410,6410,6410,2000,VGV
2017-10-05,6410,6410,6410,6410,2500,VGV
2017-10-06,6010,7210,6010,7210,700,VGV
2017-10-09,7210,7210,6250,6250,1100,VGV
2017-10-10,6410,6490,6410,6490,55600,VGV
2017-10-11,6410,6410,6410,6410,300,VGV
