time,open,high,low,close,volume,ticker
2013-01-02,1220,1290,1220,1260,6233700,VND
2013-01-03,1290,1290,1200,1220,4632300,VND
2013-01-04,1210,1270,1200,1260,3876600,VND
2013-01-07,1270,1290,1220,1240,4594900,VND
2013-01-08,1220,1290,1220,1260,4102900,VND
2013-01-09,1270,1310,1200,1210,8407100,VND
2013-01-10,1210,1270,1200,1260,3110300,VND
2013-01-11,1290,1330,1250,1260,4272200,VND
2013-01-14,1250,1270,1240,1260,4073000,VND
2013-01-15,1260,1380,1260,1360,9819800,VND
2013-01-16,1360,1390,1310,1330,5709600,VND
2013-01-17,1330,1340,1290,1290,5704600,VND
2013-01-18,1270,1310,1260,1290,5338200,VND
2013-01-21,1290,1310,1260,1260,5925700,VND
2013-01-22,1250,1290,1220,1240,5728000,VND
2013-01-23,1250,1260,1210,1250,2402000,VND
2013-01-24,1260,1290,1240,1270,4281900,VND
2013-01-25,1210,1310,1210,1290,4935700,VND
2013-01-28,1290,1360,1270,1310,6523200,VND
2013-01-29,1310,1340,1300,1330,3198500,VND
2013-01-30,1330,1350,1310,1310,4500400,VND
2013-01-31,1300,1310,1270,1290,2529000,VND
2013-02-01,1290,1290,1250,1290,3331900,VND
2013-02-04,1290,1300,1260,1260,2886500,VND
2013-02-05,1270,1270,1240,1250,2032500,VND
2013-02-06,1250,1330,1250,1310,3101800,VND
2013-02-07,1440,1440,1330,1340,3241100,VND
2013-02-08,1350,1400,1330,1390,3319000,VND
2013-02-18,1400,1480,1400,1440,5448600,VND
2013-02-19,1440,1470,1390,1400,5281300,VND
2013-02-20,1390,1460,1380,1440,3688000,VND
2013-02-21,1470,1470,1300,1300,6929100,VND
2013-02-22,1300,1350,1250,1310,5316900,VND
2013-02-25,1330,1340,1290,1310,2248000,VND
2013-02-26,1310,1310,1200,1210,4544400,VND
2013-02-27,1200,1250,1180,1250,4173300,VND
2013-02-28,1260,1270,1220,1240,2542800,VND
2013-03-01,1240,1250,1220,1240,2015100,VND
2013-03-04,1240,1240,1160,1170,4343800,VND
2013-03-05,1170,1200,1150,1160,3672600,VND
2013-03-06,1160,1200,1160,1180,1518500,VND
2013-03-07,1180,1180,1150,1150,2497200,VND
2013-03-08,1160,1210,1160,1200,2690600,VND
2013-03-11,1200,1270,1200,1260,3287200,VND
2013-03-12,1270,1270,1210,1240,3331700,VND
2013-03-13,1250,1250,1180,1200,2867200,VND
2013-03-14,1200,1220,1180,1210,1841800,VND
2013-03-15,1220,1240,1210,1240,2233000,VND
2013-03-18,1240,1240,1170,1200,2696600,VND
2013-03-19,1180,1210,1170,1200,615900,VND
2013-03-20,1200,1240,1200,1210,2448100,VND
2013-03-21,1220,1240,1200,1210,1344300,VND
2013-03-22,1210,1220,1170,1210,1293900,VND
2013-03-25,1200,1210,1180,1210,1307900,VND
2013-03-26,1210,1220,1180,1180,1452900,VND
2013-03-27,1180,1180,1160,1170,906000,VND
2013-03-28,1170,1180,1150,1150,1494300,VND
2013-03-29,1130,1160,1120,1150,1922300,VND
2013-04-01,1150,1210,1130,1200,2116900,VND
2013-04-02,1210,1220,1170,1180,1842500,VND
2013-04-03,1180,1210,1180,1200,2241700,VND
2013-04-04,1180,1210,1160,1170,2131400,VND
2013-04-05,1170,1180,1170,1180,775700,VND
2013-04-08,1180,1220,1170,1200,1475600,VND
2013-04-09,1210,1210,1180,1200,1286400,VND
2013-04-10,1200,1210,1160,1170,1651100,VND
2013-04-11,1170,1180,1160,1170,989300,VND
2013-04-12,1170,1180,1150,1150,1012100,VND
2013-04-15,1150,1150,1120,1120,1059200,VND
2013-04-16,1120,1130,1110,1130,1071500,VND
2013-04-17,1120,1160,1110,1130,510400,VND
2013-04-18,1130,1130,1110,1110,1144100,VND
2013-04-22,1110,1120,1090,1090,789200,VND
