time,open,high,low,close,volume,ticker
2013-01-02,4131,4131,4131,4131,280,VNI
2013-01-03,3943,4225,3943,4131,140,VNI
2013-01-04,4225,4225,4225,4225,10,VNI
2013-01-07,4413,4413,4413,4413,10,VNI
2013-01-08,4319,4319,4225,4225,220,VNI
2013-01-09,4037,4225,4037,4225,5120,VNI
2013-01-10,4413,4413,4413,4413,10,VNI
2013-01-11,4600,4600,4600,4600,20,VNI
2013-01-14,4788,4788,4788,4788,2180,VNI
2013-01-15,5070,5070,4600,4600,20,VNI
2013-01-16,4882,4882,4882,4882,17750,VNI
2013-01-17,4694,5164,4694,5070,1060,VNI
2013-01-18,5258,5258,5258,5258,10,VNI
2013-01-21,5539,5539,5539,5539,10,VNI
2013-01-22,5539,5539,5539,5539,0,VNI
2013-01-23,5164,5164,5164,5164,510,VNI
2013-01-24,5164,5164,5164,5164,0,VNI
2013-01-25,5446,5446,5446,5446,10,VNI
2013-01-28,5352,5352,5352,5352,500,VNI
2013-01-29,5070,5070,5070,5070,350,VNI
2013-01-30,5258,5258,5258,5258,30,VNI
2013-01-31,4976,4976,4976,4976,30,VNI
2013-02-01,4694,5258,4694,4694,250,VNI
2013-02-04,4976,4976,4976,4976,10,VNI
2013-02-05,5258,5258,5258,5258,10,VNI
2013-02-06,5258,5539,4976,5539,4510,VNI
2013-02-07,5727,5727,5727,5727,10,VNI
2013-02-08,5727,5727,5727,5727,0,VNI
2013-02-18,5633,5727,5352,5727,5320,VNI
2013-02-19,5633,6009,5352,6009,500,VNI
2013-02-20,5821,5821,5633,5633,160,VNI
2013-02-21,5258,5915,5258,5915,20,VNI
2013-02-22,5539,5539,5539,5539,360,VNI
2013-02-25,5164,5633,5164,5633,60,VNI
2013-02-26,5258,5633,5258,5633,30,VNI
2013-02-27,5633,5633,5633,5633,0,VNI
2013-02-28,5633,5633,5633,5633,0,VNI
2013-03-01,5633,5633,5633,5633,0,VNI
2013-03-04,5633,5633,5633,5633,0,VNI
2013-03-05,5258,5258,5258,5258,10,VNI
2013-03-06,4976,4976,4976,4976,10,VNI
2013-03-07,4882,4882,4694,4694,30,VNI
2013-03-08,4413,4976,4413,4976,20,VNI
2013-03-11,4694,5070,4694,5070,110,VNI
2013-03-12,4788,4788,4788,4788,110,VNI
2013-03-13,4507,4507,4507,4507,100,VNI
2013-03-14,4225,4225,4225,4225,150,VNI
2013-03-15,3943,4507,3943,4507,1650,VNI
2013-03-18,4225,4788,4225,4788,270,VNI
2013-03-19,4788,5070,4507,4694,300,VNI
2013-03-20,4413,4976,4413,4413,2190,VNI
2013-03-21,4131,4131,4131,4131,110,VNI
2013-03-22,3849,3849,3849,3849,70,VNI
2013-03-25,3662,4037,3662,3662,8020,VNI
2013-03-26,3849,3849,3849,3849,10,VNI
2013-03-27,4037,4037,4037,4037,10,VNI
2013-03-28,4037,4037,4037,4037,0,VNI
2013-03-29,4037,4037,4037,4037,0,VNI
2013-04-01,4037,4037,4037,4037,0,VNI
