time,open,high,low,close,volume,ticker
2013-01-02,23230,23360,23090,23090,199930,VNM
2013-01-03,23090,23230,22840,22970,146370,VNM
2013-01-04,22840,23360,22840,23360,147250,VNM
2013-01-07,23360,23620,23360,23360,135530,VNM
2013-01-08,23360,24430,23360,24430,629670,VNM
2013-01-09,25630,25630,24820,25360,455050,VNM
2013-01-10,25360,26550,25220,26550,593410,VNM
2013-01-11,27080,27610,26810,27340,362160,VNM
2013-01-14,26810,27080,26160,26420,371220,VNM
2013-01-15,26290,26810,26290,26550,192400,VNM
2013-01-16,26550,26810,26290,26420,215810,VNM
2013-01-17,26420,26420,26020,26020,291160,VNM
2013-01-18,26020,26160,25630,25890,206860,VNM
2013-01-21,26020,26160,25630,25630,75950,VNM
2013-01-22,25490,25890,25360,25630,246990,VNM
2013-01-23,26020,26810,26020,26020,250560,VNM
2013-01-24,26020,26420,26020,26290,160380,VNM
2013-01-25,26290,26550,26160,26420,430810,VNM
2013-01-28,26550,28140,26550,27870,657030,VNM
2013-01-29,27610,27870,27080,27610,273610,VNM
2013-01-30,27340,27610,27080,27340,245500,VNM
2013-01-31,27080,27340,26810,26810,169570,VNM
2013-02-01,26550,27080,26420,27080,277990,VNM
2013-02-04,27080,27080,26810,26810,117260,VNM
2013-02-05,27080,27080,26420,26420,432970,VNM
2013-02-06,26420,27340,26420,27340,187250,VNM
2013-02-07,27080,27340,27080,27080,105610,VNM
2013-02-08,27080,27340,26810,27080,78380,VNM
2013-02-18,27340,27340,26810,27080,125690,VNM
2013-02-19,26810,27340,26810,26810,185290,VNM
2013-02-20,26810,28410,26550,27610,466760,VNM
2013-02-21,27870,27870,26810,26810,236050,VNM
2013-02-22,27080,27610,26550,27080,348530,VNM
2013-02-25,27340,27610,27080,27340,167680,VNM
2013-02-26,27340,27610,26810,26810,193660,VNM
2013-02-27,27080,27340,26810,27080,129120,VNM
2013-02-28,27340,27610,27080,27340,161170,VNM
2013-03-01,27340,27610,27340,27340,91290,VNM
2013-03-04,27340,27610,27080,27080,138270,VNM
2013-03-05,27080,27340,26810,27340,207890,VNM
2013-03-06,27870,28140,27610,27870,266470,VNM
2013-03-07,27870,27870,27340,27870,135160,VNM
2013-03-08,27610,27870,27610,27610,96980,VNM
2013-03-11,27610,27870,27340,27870,120190,VNM
2013-03-12,27610,27870,27340,27610,113410,VNM
2013-03-13,27610,27870,27340,27610,136290,VNM
2013-03-14,27610,27610,27340,27610,53170,VNM
2013-03-15,27340,27610,27340,27610,75460,VNM
2013-03-18,27610,28680,27340,27870,383160,VNM
2013-03-19,28140,28140,27870,27870,79440,VNM
2013-03-20,28140,28410,27870,28410,163400,VNM
2013-03-21,28410,29740,28410,29480,697470,VNM
2013-03-22,29740,30530,29480,30000,509210,VNM
2013-03-25,30260,30530,29740,30530,275760,VNM
2013-03-26,30260,30530,29740,30000,265980,VNM
2013-03-27,30000,30260,29740,30000,216610,VNM
2013-03-28,30260,30530,30000,30530,142890,VNM
2013-03-29,30260,30800,30000,30800,395970,VNM
2013-04-01,31070,32390,31070,32390,499290,VNM
2013-04-02,32390,33200,32390,32390,403390,VNM
2013-04-03,32130,32659,32130,32659,350420,VNM
2013-04-04,32390,32659,31860,31860,443960,VNM
2013-04-05,32130,32659,31860,32659,175850,VNM
2013-04-08,32659,33200,32659,33200,173740,VNM
2013-04-09,33200,34510,33200,34250,299320,VNM
2013-04-10,34510,35320,33460,33460,454070,VNM
2013-04-11,33980,34250,33200,33980,526180,VNM
2013-04-12,33980,34250,32920,33200,362540,VNM
2013-04-15,32920,32920,31860,31860,575370,VNM
2013-04-16,31600,32390,30530,32130,579830,VNM
2013-04-17,32659,32920,32130,32920,183330,VNM
2013-04-18,32390,32659,32130,32659,198330,VNM
2013-04-22,32390,32659,32130,32390,169190,VNM
2013-04-23,32920,33460,32659,33200,248200,VNM
2013-04-24,33200,33200,32920,33200,64650,VNM
2013-04-25,33200,33460,32920,33460,103840,VNM
2013-04-26,33460,33720,32920,32920,298840,VNM
2013-05-02,32659,32659,32130,32390,177790,VNM
2013-05-03,32130,32659,32130,32659,91300,VNM
2013-05-06,32920,33200,32659,33200,175190,VNM
2013-05-07,33200,33460,32920,32920,156630,VNM
2013-05-08,32920,32920,32659,32920,47030,VNM
2013-05-09,32659,32920,32659,32920,66390,VNM
2013-05-10,32920,33200,32659,32920,189470,VNM
2013-05-13,32920,32920,32659,32920,51040,VNM
2013-05-14,32659,32920,32390,32920,174290,VNM
2013-05-15,32659,33200,32659,32920,125890,VNM
2013-05-16,32920,33200,32659,33200,154240,VNM
2013-05-17,33200,33460,32920,33200,170120,VNM
2013-05-20,33460,33460,32920,33460,212390,VNM
2013-05-21,33720,34780,33720,33980,599420,VNM
2013-05-22,34250,34510,33980,34510,185010,VNM
2013-05-23,34510,35040,34250,34510,271020,VNM
2013-05-24,34250,35320,34250,34780,381910,VNM
2013-05-27,35040,36110,35040,35580,446120,VNM
2013-05-28,35850,35850,35580,35850,183380,VNM
2013-05-29,35850,35850,35320,35320,231110,VNM
2013-05-30,35580,35580,35040,35580,185110,VNM
2013-05-31,35580,36110,35320,35580,264490,VNM
2013-06-03,35580,35850,35320,35320,129090,VNM
2013-06-04,35320,35580,35040,35040,189940,VNM
2013-06-05,35320,35580,35040,35580,199230,VNM
2013-06-06,35580,35850,35320,35850,188880,VNM
2013-06-07,36110,36380,35850,36110,146880,VNM
2013-06-10,36380,36910,36380,36640,290650,VNM
2013-06-11,36910,37160,36380,37160,164490,VNM
2013-06-12,37160,37160,36910,36910,108800,VNM
2013-06-13,36640,36640,36110,36640,257630,VNM
2013-06-14,36910,37170,36640,36910,76880,VNM
2013-06-17,36910,36910,35560,35560,390940,VNM
2013-06-18,35840,36100,35560,35840,120890,VNM
2013-06-19,36100,36640,36100,36370,130700,VNM
2013-06-20,36370,36640,35840,36100,112610,VNM
2013-06-21,35840,36370,35840,36100,123320,VNM
2013-06-24,36370,36370,35560,36100,154040,VNM
2013-06-25,35840,36100,34220,35020,419640,VNM
2013-06-26,35020,35300,34750,35020,226880,VNM
2013-06-27,35300,35560,35020,35560,205810,VNM
2013-06-28,35560,35840,35300,35560,100240,VNM
2013-07-01,35020,35560,35020,35300,113300,VNM
2013-07-02,35840,36370,35840,36370,346060,VNM
2013-07-03,36370,36640,36100,36100,149530,VNM
2013-07-04,36100,36370,35840,36100,97200,VNM
2013-07-05,36100,36370,35840,36100,72890,VNM
2013-07-08,36100,36370,35840,36100,130740,VNM
2013-07-09,36370,36910,36370,36640,189580,VNM
2013-07-10,36910,37170,36640,36640,161190,VNM
2013-07-11,36640,36910,36370,36640,112390,VNM
2013-07-12,36640,36910,36370,36910,153350,VNM
2013-07-15,36910,37170,36640,36910,122900,VNM
2013-07-16,36910,37720,36910,37450,506730,VNM
2013-07-17,37720,37720,37170,37720,245830,VNM
2013-07-18,37450,37990,37450,37720,201870,VNM
2013-07-19,37990,38790,37990,38790,422230,VNM
2013-07-22,38790,39070,38260,39070,209600,VNM
2013-07-23,39330,39600,39070,39070,382650,VNM
2013-07-24,39070,39070,38260,38260,386880,VNM
2013-07-25,38260,38790,37990,38530,230340,VNM
2013-07-26,38530,38790,38260,38790,162950,VNM
2013-07-29,38790,39070,37990,37990,253290,VNM
2013-07-30,38260,38530,37990,38260,241950,VNM
2013-07-31,38260,39070,38260,39070,247770,VNM
2013-08-01,39070,39330,38790,39070,183380,VNM
2013-08-02,39330,39600,39070,39330,174920,VNM
2013-08-05,39330,39600,38790,38790,371780,VNM
2013-08-06,38790,39600,38530,39330,291030,VNM
2013-08-07,39330,39330,39070,39070,292010,VNM
2013-08-08,39070,39330,38790,39070,151820,VNM
2013-08-09,39070,39330,38790,39070,159070,VNM
2013-08-12,39330,39330,39070,39070,116260,VNM
2013-08-13,39070,39600,39070,39600,213280,VNM
2013-08-14,39600,40140,39330,40140,206100,VNM
2013-08-15,40410,40690,40140,40690,258740,VNM
2013-08-16,40690,40690,39870,40410,395060,VNM
2013-08-19,40140,40410,39870,40410,587140,VNM
2013-08-20,40410,40690,39590,39860,600930,VNM
2013-08-21,39590,39860,39310,39860,232120,VNM
2013-08-22,39590,39860,39050,39050,479780,VNM
2013-08-23,39050,39050,36580,37130,1332760,VNM
2013-08-26,36860,38230,35770,38230,799920,VNM
2013-08-27,37960,38230,37410,37960,375240,VNM
2013-08-28,37680,37680,36320,36320,704560,VNM
2013-08-29,36320,36860,36040,36040,686640,VNM
2013-08-30,36040,36320,34400,35490,989560,VNM
2013-09-03,36040,36860,35770,36320,240850,VNM
2013-09-04,36860,37960,36860,37130,559630,VNM
2013-09-05,37960,38770,37680,37960,606010,VNM
2013-09-06,38770,38770,37680,37960,622950,VNM
2013-09-09,37680,37960,36860,37130,213380,VNM
2013-09-10,37130,37680,37130,37680,98300,VNM
2013-09-11,37680,37960,37410,37680,145120,VNM
2013-09-12,37680,37680,37410,37410,67390,VNM
2013-09-13,37410,37680,37130,37680,57390,VNM
2013-09-16,37680,37680,37130,37410,62070,VNM
2013-09-17,37410,37680,37130,37410,82100,VNM
2013-09-18,37680,37680,37130,37130,73620,VNM
2013-09-19,37410,37680,37130,37410,58080,VNM
2013-09-20,37410,37680,37130,37680,35340,VNM
2013-09-23,37410,37680,37130,37410,128710,VNM
2013-09-24,37410,37680,37130,37680,61330,VNM
2013-09-25,37410,39050,37410,38230,257540,VNM
2013-09-26,38230,38500,37960,37960,91970,VNM
2013-09-27,37960,38230,37680,38230,57260,VNM
2013-09-30,38230,38500,37960,38500,92160,VNM
2013-10-01,38500,38770,37960,37960,124630,VNM
2013-10-02,37960,38500,37960,38230,98350,VNM
2013-10-03,38230,38230,37960,37960,61720,VNM
2013-10-04,37960,38230,37680,38230,88360,VNM
2013-10-07,38230,38500,37960,38230,153310,VNM
2013-10-08,38230,38230,37960,38230,156730,VNM
2013-10-09,38230,39050,37960,38770,334620,VNM
2013-10-10,38770,39050,38230,38230,129610,VNM
2013-10-11,38770,38770,38230,38230,160730,VNM
2013-10-14,38230,38770,38230,38500,91900,VNM
2013-10-15,38500,38770,38230,38770,100290,VNM
2013-10-16,38770,38770,38500,38770,110980,VNM
2013-10-17,38770,39050,38500,38500,125820,VNM
2013-10-18,38500,38770,38500,38770,139400,VNM
2013-10-21,38770,38770,38500,38770,83200,VNM
2013-10-22,38770,38770,38500,38500,91480,VNM
2013-10-23,38770,38770,38500,38500,35240,VNM
2013-10-24,38500,39310,38500,38770,428810,VNM
2013-10-25,39050,39310,38770,38770,107840,VNM
2013-10-28,38770,39050,38500,38500,55650,VNM
2013-10-29,38500,38770,37960,38500,272690,VNM
2013-10-30,38500,38500,38230,38500,43600,VNM
2013-10-31,38500,38770,38230,38230,78480,VNM
2013-11-01,38500,38500,38230,38230,68120,VNM
2013-11-04,38230,38500,38230,38230,70800,VNM
2013-11-05,38230,38500,38230,38500,50920,VNM
2013-11-06,38500,38500,38230,38500,181420,VNM
