time,open,high,low,close,volume,ticker
2013-01-02,4730,4730,4730,4730,0,VNR
2013-01-03,4630,4630,4630,4630,1000,VNR
2013-01-04,4630,4860,4630,4860,2100,VNR
2013-01-07,4660,4660,4660,4660,3000,VNR
2013-01-08,4730,4730,4730,4730,5400,VNR
2013-01-09,4800,4800,4800,4800,14000,VNR
2013-01-10,4660,4660,4660,4660,700,VNR
2013-01-11,4800,4800,4800,4800,1300,VNR
2013-01-14,4800,4800,4800,4800,0,VNR
2013-01-15,4760,4760,4760,4760,1000,VNR
2013-01-16,4830,4830,4800,4800,8100,VNR
2013-01-17,4730,4830,4730,4830,800,VNR
2013-01-18,4900,5140,4900,5140,10000,VNR
2013-01-21,5070,5070,5070,5070,2400,VNR
2013-01-22,5070,5070,5000,5070,19900,VNR
2013-01-23,5040,5070,5040,5070,34700,VNR
2013-01-24,5070,5070,5040,5040,49800,VNR
2013-01-25,5160,5160,5070,5160,27200,VNR
2013-01-28,5160,5310,5160,5310,15000,VNR
2013-01-29,5470,5750,5470,5640,58500,VNR
2013-01-30,5750,6180,5750,6180,134000,VNR
2013-01-31,6180,6730,6180,6420,32100,VNR
2013-02-01,6180,6420,6070,6420,32800,VNR
2013-02-04,6070,6420,5780,6070,28600,VNR
2013-02-05,5470,6070,5470,5510,15100,VNR
2013-02-06,5400,6050,5400,6050,3000,VNR
2013-02-07,6050,6050,6050,6050,10900,VNR
2013-02-08,6050,6050,6020,6050,22800,VNR
2013-02-18,6250,6250,6250,6250,100,VNR
2013-02-19,6250,6250,6250,6250,5500,VNR
2013-02-20,6250,6250,6250,6250,0,VNR
2013-02-21,5780,5820,5710,5710,41800,VNR
2013-02-22,6070,6070,6070,6070,100,VNR
2013-02-25,6050,6070,6050,6070,9100,VNR
2013-02-26,6070,6070,6070,6070,0,VNR
2013-02-27,6050,6070,5750,5750,18000,VNR
2013-02-28,5570,6070,5570,6070,300,VNR
2013-03-01,5750,6070,5750,6070,11100,VNR
2013-03-04,6070,6070,6070,6070,0,VNR
2013-03-05,5570,5750,5570,5750,10200,VNR
2013-03-06,5750,5750,5710,5710,7100,VNR
2013-03-07,6050,6050,5710,5710,200,VNR
2013-03-08,5870,5910,5870,5910,12000,VNR
2013-03-11,5910,5910,5910,5910,0,VNR
2013-03-12,5910,5910,5910,5910,0,VNR
2013-03-13,6420,6420,6420,6420,100,VNR
2013-03-14,6420,6420,6420,6420,0,VNR
2013-03-15,5820,6750,5780,5780,2300,VNR
2013-03-18,5780,5780,5750,5750,11900,VNR
2013-03-19,5750,5840,5750,5840,700,VNR
2013-03-20,5670,5750,5670,5670,2500,VNR
2013-03-21,5600,5600,5600,5600,1200,VNR
2013-03-22,5570,5570,5570,5570,5000,VNR
2013-03-25,5640,5640,5600,5600,2500,VNR
2013-03-26,6050,6150,6050,6070,2500,VNR
2013-03-27,6070,6070,6070,6070,0,VNR
2013-03-28,5820,5820,5750,5750,6400,VNR
2013-03-29,5600,5780,5600,5780,2000,VNR
2013-04-01,5640,5750,5640,5750,1300,VNR
2013-04-02,6050,6050,6050,6050,1000,VNR
2013-04-03,6050,6050,6050,6050,0,VNR
2013-04-04,6050,6050,6050,6050,0,VNR
2013-04-05,6050,6050,6050,6050,0,VNR
2013-04-08,5670,5780,5670,5710,7100,VNR
2013-04-09,5710,5850,5710,5820,8500,VNR
2013-04-10,5880,5880,5880,5880,2400,VNR
2013-04-11,5850,5950,5850,5950,2100,VNR
2013-04-12,5950,6130,5950,6130,10000,VNR
2013-04-15,6160,6210,6160,6210,3200,VNR
2013-04-16,6210,6310,6210,6310,6100,VNR
2013-04-17,6310,6310,6310,6310,0,VNR
2013-04-18,6310,6310,6310,6310,4100,VNR
2013-04-22,6310,6730,6310,6730,46700,VNR
2013-04-23,6760,7160,6730,7160,150600,VNR
2013-04-24,7440,7440,7090,7230,46300,VNR
2013-04-25,7230,7230,6840,7090,33500,VNR
2013-04-26,7050,7090,7020,7050,28800,VNR
