ticker,time,orderType,volume,price,prevPriceChange
AFX,11:20:10,Buy Up,10000.0,8900.0,100.0
AFX,11:11:38,Sell Down,300.0,8800.0,100.0
AFX,11:07:59,Sell Down,500.0,8700.0,0.0
AFX,11:06:39,Sell Down,2800.0,8700.0,-100.0
AFX,11:01:34,Buy Up,3300.0,8800.0,-100.0
AFX,10:47:42,Buy Up,100.0,8900.0,100.0
AFX,10:44:07,Sell Down,7300.0,8800.0,-100.0
AFX,10:22:49,Buy Up,100.0,8900.0,100.0
AFX,10:17:31,Sell Down,2000.0,8800.0,0.0
AFX,10:11:24,Sell Down,1300.0,8800.0,0.0
AFX,09:19:30,Sell Down,100.0,8800.0,0.0
