ticker,time,orderType,volume,price,prevPriceChange
AST,11:14:30,Sell Down,800.0,50500.0,0.0
AST,11:14:22,Buy Up,200.0,50500.0,0.0
AST,11:14:01,Sell Down,100.0,50500.0,0.0
AST,11:14:01,Sell Down,1500.0,50500.0,-100.0
AST,11:01:11,Buy Up,100.0,50600.0,100.0
AST,10:55:08,Sell Down,300.0,50500.0,0.0
AST,10:49:24,Sell Down,900.0,50500.0,-100.0
AST,09:44:21,Sell Down,100.0,50600.0,0.0
AST,09:44:07,Buy Up,900.0,50600.0,200.0
AST,09:44:01,Buy Up,500.0,50400.0,-100.0
AST,09:43:17,Buy Up,500.0,50500.0,0.0
AST,09:43:11,Buy Up,200.0,50500.0,-100.0
AST,09:38:40,Buy Up,100.0,50600.0,0.0
