ticker,time,orderType,volume,price,prevPriceChange
BMC,11:29:58,Buy Up,100.0,15850.0,50.0
BMC,11:24:50,Sell Down,100.0,15800.0,0.0
BMC,11:24:50,Sell Down,1900.0,15800.0,0.0
BMC,11:19:00,Buy Up,100.0,15800.0,0.0
BMC,11:18:50,Sell Down,400.0,15800.0,0.0
BMC,11:16:29,Sell Down,900.0,15800.0,0.0
BMC,11:16:29,Sell Down,2000.0,15800.0,0.0
BMC,11:16:29,Sell Down,2100.0,15800.0,0.0
BMC,10:59:00,Sell Down,2900.0,15800.0,0.0
BMC,10:58:38,Sell Down,1000.0,15800.0,0.0
BMC,10:58:34,Buy Up,1000.0,15800.0,0.0
BMC,10:58:25,Buy Up,300.0,15800.0,0.0
BMC,10:50:22,Sell Down,700.0,15800.0,0.0
BMC,10:37:16,Sell Down,300.0,15800.0,0.0
BMC,10:33:59,Buy Up,200.0,15800.0,0.0
BMC,10:33:59,Buy Up,200.0,15800.0,0.0
BMC,10:29:24,Buy Up,800.0,15800.0,0.0
BMC,10:29:24,Buy Up,200.0,15800.0,0.0
BMC,10:29:24,Buy Up,500.0,15800.0,0.0
BMC,10:29:24,Buy Up,200.0,15800.0,50.0
BMC,10:27:05,Sell Down,400.0,15750.0,0.0
BMC,10:14:08,Sell Down,100.0,15750.0,0.0
BMC,10:03:08,Buy Up,200.0,15750.0,0.0
BMC,10:03:04,Buy Up,100.0,15750.0,0.0
BMC,10:03:03,Buy Up,900.0,15750.0,0.0
BMC,10:01:57,Buy Up,800.0,15750.0,0.0
BMC,10:01:57,Buy Up,100.0,15750.0,0.0
BMC,10:01:57,Buy Up,100.0,15750.0,50.0
BMC,10:00:29,Buy Up,300.0,15700.0,0.0
BMC,10:00:29,Buy Up,200.0,15700.0,0.0
BMC,10:00:29,Buy Up,300.0,15700.0,50.0
BMC,09:59:11,Sell Down,1000.0,15650.0,0.0
BMC,09:58:13,Buy Up,1000.0,15650.0,0.0
BMC,09:57:36,Sell Down,500.0,15650.0,50.0
BMC,09:53:32,Sell Down,500.0,15600.0,0.0
BMC,09:52:52,Buy Up,1000.0,15600.0,0.0
BMC,09:52:52,Buy Up,100.0,15600.0,0.0
BMC,09:38:16,Sell Down,500.0,15600.0,0.0
BMC,09:38:16,Sell Down,1400.0,15600.0,0.0
BMC,09:36:56,Buy Up,100.0,15600.0,0.0
BMC,09:35:03,Buy Up,300.0,15600.0,0.0
BMC,09:27:52,Buy Up,600.0,15600.0,0.0
BMC,09:26:48,Buy Up,400.0,15600.0,0.0
BMC,09:24:29,Sell Down,200.0,15600.0,0.0
BMC,09:23:50,Sell Down,200.0,15600.0,0.0
BMC,09:20:23,Buy Up,500.0,15600.0,0.0
BMC,09:15:36,Buy Up,100.0,15600.0,0.0
BMC,09:15:00,,6000.0,15600.0,0.0
