ticker,time,orderType,volume,price,prevPriceChange
BNA,11:19:02,Buy Up,100.0,10600.0,100.0
BNA,11:18:19,Buy Up,1000.0,10500.0,0.0
BNA,11:12:40,Buy Up,100.0,10500.0,100.0
BNA,11:05:47,Sell Down,1000.0,10400.0,-100.0
BNA,11:04:17,Buy Up,500.0,10500.0,0.0
BNA,11:01:25,Buy Up,500.0,10500.0,0.0
BNA,10:58:07,Buy Up,2000.0,10500.0,100.0
BNA,10:49:52,Sell Down,1100.0,10400.0,-100.0
BNA,10:33:23,Buy Up,400.0,10500.0,0.0
BNA,10:33:07,Buy Up,1000.0,10500.0,0.0
BNA,10:22:34,Buy Up,1000.0,10500.0,0.0
BNA,10:21:30,Buy Up,2000.0,10500.0,0.0
BNA,10:17:34,Buy Up,100.0,10500.0,0.0
BNA,10:17:33,Buy Up,1900.0,10500.0,0.0
BNA,10:16:26,Sell Down,300.0,10500.0,0.0
BNA,10:15:26,Buy Up,3800.0,10500.0,0.0
BNA,10:12:26,Buy Up,4000.0,10500.0,100.0
BNA,10:00:36,Sell Down,500.0,10400.0,0.0
BNA,09:50:47,Sell Down,1600.0,10400.0,-100.0
BNA,09:34:55,Buy Up,500.0,10500.0,0.0
BNA,09:31:08,Buy Up,1600.0,10500.0,0.0
BNA,09:30:15,Sell Down,300.0,10500.0,0.0
BNA,09:29:37,Sell Down,100.0,10500.0,0.0
BNA,09:28:59,Buy Up,2000.0,10500.0,-100.0
BNA,09:12:13,Buy Up,100.0,10600.0,100.0
BNA,09:10:55,Buy Up,1000.0,10500.0,0.0
BNA,09:07:46,Buy Up,500.0,10500.0,0.0
BNA,09:02:07,Buy Up,9300.0,10500.0,0.0
