ticker,time,orderType,volume,price,prevPriceChange
C47,13:14:39,Sell Down,100.0,7060.0,0.0
C47,13:14:29,Sell Down,100.0,7060.0,0.0
C47,13:13:55,Sell Down,100.0,7060.0,0.0
C47,13:13:45,Sell Down,1000.0,7060.0,0.0
C47,13:13:45,Sell Down,400.0,7060.0,0.0
C47,13:09:31,Sell Down,100.0,7060.0,0.0
C47,13:09:31,Sell Down,900.0,7060.0,0.0
C47,13:08:27,Sell Down,100.0,7060.0,0.0
C47,13:08:27,Sell Down,1000.0,7060.0,-10.0
C47,13:07:56,Buy Up,200.0,7070.0,0.0
C47,13:07:10,Sell Down,600.0,7070.0,0.0
C47,13:06:32,Sell Down,500.0,7070.0,-10.0
C47,13:02:17,Sell Down,200.0,7080.0,0.0
C47,13:02:17,Sell Down,200.0,7080.0,-10.0
C47,13:00:20,Buy Up,100.0,7090.0,0.0
C47,13:00:20,Buy Up,100.0,7090.0,0.0
C47,13:00:20,Buy Up,400.0,7090.0,20.0
C47,13:00:08,Sell Down,8700.0,7070.0,0.0
C47,13:00:08,Sell Down,100.0,7070.0,0.0
C47,13:00:08,Sell Down,1000.0,7070.0,0.0
C47,13:00:08,Sell Down,2700.0,7070.0,-10.0
C47,13:00:08,Sell Down,100.0,7080.0,0.0
C47,13:00:08,Sell Down,200.0,7080.0,0.0
C47,13:00:08,Sell Down,1000.0,7080.0,0.0
C47,11:17:04,Buy Up,200.0,7080.0,0.0
C47,11:17:04,Buy Up,1600.0,7080.0,0.0
C47,11:17:04,Buy Up,500.0,7080.0,20.0
C47,11:16:48,Sell Down,200.0,7060.0,0.0
C47,11:15:11,Sell Down,1800.0,7060.0,0.0
C47,11:15:11,Sell Down,700.0,7060.0,-10.0
C47,11:09:53,Buy Up,1600.0,7070.0,0.0
C47,11:07:09,Buy Up,100.0,7070.0,10.0
C47,11:02:51,Sell Down,200.0,7060.0,0.0
C47,11:01:00,Sell Down,100.0,7060.0,-10.0
C47,10:59:15,Sell Down,700.0,7070.0,0.0
C47,10:52:00,Sell Down,1000.0,7070.0,0.0
C47,10:49:44,Sell Down,2200.0,7070.0,-10.0
C47,10:43:44,Buy Up,500.0,7080.0,10.0
C47,10:43:41,Sell Down,1100.0,7070.0,-10.0
C47,10:42:21,Buy Up,100.0,7080.0,0.0
C47,10:41:32,Sell Down,200.0,7080.0,0.0
C47,10:40:10,Sell Down,100.0,7080.0,0.0
C47,10:37:04,Buy Up,1000.0,7080.0,-10.0
C47,10:25:55,Buy Up,100.0,7090.0,30.0
C47,10:23:49,Sell Down,2000.0,7060.0,0.0
C47,10:23:49,Sell Down,3000.0,7060.0,-30.0
C47,10:22:26,Buy Up,300.0,7090.0,0.0
C47,10:12:53,Buy Up,100.0,7090.0,0.0
C47,10:05:47,Buy Up,200.0,7090.0,0.0
C47,10:03:34,Buy Up,200.0,7090.0,0.0
C47,10:02:37,Sell Down,100.0,7090.0,0.0
C47,10:01:42,Buy Up,200.0,7090.0,0.0
C47,09:58:55,Sell Down,300.0,7090.0,-10.0
C47,09:53:45,Buy Up,500.0,7100.0,0.0
C47,09:53:45,Buy Up,500.0,7100.0,0.0
C47,09:52:22,Sell Down,1000.0,7100.0,0.0
C47,09:52:22,Sell Down,7800.0,7100.0,0.0
C47,09:51:57,Sell Down,100.0,7100.0,0.0
C47,09:49:25,Sell Down,500.0,7100.0,0.0
C47,09:47:01,Sell Down,1600.0,7100.0,0.0
C47,09:47:01,Sell Down,100.0,7100.0,0.0
C47,09:47:01,Sell Down,300.0,7100.0,0.0
C47,09:32:19,Sell Down,1000.0,7100.0,0.0
C47,09:32:19,Sell Down,200.0,7100.0,-20.0
C47,09:27:12,Buy Up,300.0,7120.0,0.0
C47,09:27:12,Buy Up,100.0,7120.0,0.0
C47,09:27:12,Buy Up,100.0,7120.0,0.0
C47,09:18:31,Buy Up,100.0,7120.0,20.0
C47,09:18:12,Buy Up,300.0,7100.0,0.0
