ticker,time,orderType,volume,price,prevPriceChange
CEO,10:43:33,Sell Down,500,22800.0,-100.0
CEO,10:43:17,Buy Up,200,22900.0,0.0
CEO,10:43:13,Buy Up,100,22900.0,0.0
CEO,10:43:07,Buy Up,300,22900.0,0.0
CEO,10:43:03,Buy Up,100,22900.0,0.0
CEO,10:42:51,Buy Up,500,22900.0,0.0
CEO,10:42:49,Buy Up,400,22900.0,0.0
CEO,10:42:34,Buy Up,800,22900.0,0.0
CEO,10:42:23,Buy Up,200,22900.0,0.0
CEO,10:42:22,Buy Up,300,22900.0,100.0
CEO,10:42:08,Sell Down,6000,22800.0,-100.0
CEO,10:42:04,Buy Up,100,22900.0,0.0
CEO,10:41:59,Buy Up,2000,22900.0,0.0
CEO,10:41:57,Buy Up,200,22900.0,0.0
CEO,10:41:44,Buy Up,13400,22900.0,0.0
CEO,10:41:38,Buy Up,700,22900.0,0.0
CEO,10:41:33,Buy Up,100,22900.0,0.0
CEO,10:41:27,Buy Up,300,22900.0,0.0
CEO,10:41:26,Buy Up,6500,22900.0,0.0
CEO,10:41:21,Buy Up,100,22900.0,0.0
CEO,10:41:15,Buy Up,500,22900.0,0.0
CEO,10:41:14,Buy Up,1000,22900.0,0.0
CEO,10:41:04,Buy Up,5000,22900.0,0.0
CEO,10:40:58,Buy Up,2300,22900.0,0.0
CEO,10:40:54,Buy Up,100,22900.0,0.0
CEO,10:40:46,Buy Up,1000,22900.0,0.0
CEO,10:40:45,Buy Up,300,22900.0,0.0
CEO,10:40:43,Buy Up,500,22900.0,0.0
CEO,10:40:42,Buy Up,5000,22900.0,0.0
CEO,10:40:39,Buy Up,6300,22900.0,0.0
CEO,10:40:38,Buy Up,700,22900.0,0.0
CEO,10:40:34,Buy Up,17600,22900.0,0.0
CEO,10:40:20,Buy Up,15000,22900.0,0.0
CEO,10:40:16,Buy Up,500,22900.0,0.0
CEO,10:40:10,Buy Up,100,22900.0,0.0
CEO,10:40:01,Buy Up,100,22900.0,0.0
CEO,10:39:59,Buy Up,100,22900.0,0.0
CEO,10:39:58,Buy Up,2000,22900.0,0.0
CEO,10:39:47,Buy Up,300,22900.0,0.0
CEO,10:39:44,Buy Up,2500,22900.0,0.0
CEO,10:39:40,Buy Up,1000,22900.0,0.0
CEO,10:39:39,Buy Up,5000,22900.0,0.0
CEO,10:39:38,Buy Up,2600,22900.0,0.0
CEO,10:39:30,Buy Up,500,22900.0,0.0
CEO,10:39:27,Buy Up,1500,22900.0,0.0
CEO,10:39:26,Buy Up,1000,22900.0,0.0
CEO,10:39:22,Buy Up,4000,22900.0,0.0
CEO,10:39:21,Buy Up,5300,22900.0,0.0
CEO,10:39:17,Buy Up,1400,22900.0,0.0
CEO,10:39:13,Buy Up,2000,22900.0,0.0
CEO,10:39:12,Buy Up,100,22900.0,0.0
CEO,10:39:04,Buy Up,500,22900.0,0.0
CEO,10:38:57,Buy Up,300,22900.0,100.0
CEO,10:38:56,Sell Down,500000,22800.0,-100.0
CEO,10:38:50,Buy Up,18400,22900.0,0.0
CEO,10:38:42,Sell Down,5100,22900.0,0.0
CEO,10:38:26,Sell Down,1000,22900.0,0.0
CEO,10:38:23,Sell Down,1000,22900.0,0.0
CEO,10:38:21,Sell Down,200,22900.0,0.0
CEO,10:38:20,Sell Down,10100,22900.0,0.0
CEO,10:38:16,Sell Down,2000,22900.0,0.0
CEO,10:38:15,Sell Down,300,22900.0,0.0
CEO,10:38:13,Buy Up,3600,22900.0,0.0
CEO,10:38:12,Buy Up,5000,22900.0,0.0
CEO,10:38:08,Buy Up,5000,22900.0,0.0
CEO,10:38:04,Buy Up,1200,22900.0,0.0
CEO,10:38:00,Sell Down,800,22900.0,0.0
CEO,10:37:54,Sell Down,500,22900.0,0.0
CEO,10:37:49,Sell Down,7800,22900.0,0.0
CEO,10:37:45,Buy Up,11800,22900.0,0.0
CEO,10:37:43,Sell Down,400,22900.0,0.0
CEO,10:37:41,Sell Down,2000,22900.0,0.0
CEO,10:37:38,Sell Down,1000,22900.0,-100.0
CEO,10:37:37,Buy Up,3000,23000.0,100.0
CEO,10:37:36,Sell Down,25000,22900.0,-100.0
CEO,10:37:35,Buy Up,600,23000.0,100.0
CEO,10:37:32,Sell Down,1000,22900.0,0.0
CEO,10:37:22,Sell Down,400,22900.0,0.0
CEO,10:37:19,Sell Down,4400,22900.0,0.0
CEO,10:37:15,Sell Down,5000,22900.0,0.0
CEO,10:37:12,Sell Down,300,22900.0,0.0
CEO,10:37:06,Sell Down,1000,22900.0,0.0
CEO,10:37:05,Sell Down,100,22900.0,0.0
CEO,10:36:39,Sell Down,2000,22900.0,0.0
CEO,10:36:38,Buy Up,700,22900.0,0.0
CEO,10:36:37,Buy Up,1500,22900.0,0.0
CEO,10:36:33,Buy Up,10500,22900.0,0.0
CEO,10:36:32,Buy Up,4500,22900.0,0.0
CEO,10:36:31,Buy Up,4500,22900.0,0.0
CEO,10:36:30,Buy Up,10500,22900.0,0.0
CEO,10:36:29,Buy Up,1000,22900.0,0.0
CEO,10:36:28,Buy Up,2500,22900.0,0.0
CEO,10:36:26,Buy Up,1000,22900.0,0.0
CEO,10:36:24,Buy Up,7000,22900.0,0.0
CEO,10:36:23,Buy Up,500,22900.0,0.0
CEO,10:36:22,Buy Up,30000,22900.0,0.0
CEO,10:36:19,Buy Up,34600,22900.0,0.0
CEO,10:36:16,Buy Up,3500,22900.0,0.0
CEO,10:36:14,Buy Up,150500,22900.0,0.0
CEO,10:36:11,Buy Up,4500,22900.0,0.0
CEO,10:36:06,Buy Up,1200,22900.0,0.0
CEO,10:36:01,Buy Up,1400,22900.0,0.0
CEO,10:35:59,Buy Up,10000,22900.0,0.0
CEO,10:35:57,Buy Up,2000,22900.0,0.0
CEO,10:35:54,Buy Up,3000,22900.0,0.0
CEO,10:35:53,Buy Up,200,22900.0,0.0
CEO,10:35:49,Buy Up,1000,22900.0,0.0
CEO,10:35:47,Buy Up,10000,22900.0,0.0
CEO,10:35:45,Buy Up,8300,22900.0,0.0
CEO,10:35:43,Buy Up,15000,22900.0,0.0
CEO,10:35:42,Buy Up,3900,22900.0,0.0
CEO,10:35:41,Buy Up,8200,22900.0,0.0
CEO,10:35:39,Buy Up,1900,22900.0,0.0
CEO,10:35:37,Buy Up,11200,22900.0,0.0
CEO,10:35:34,Buy Up,2500,22900.0,0.0
CEO,10:35:30,Buy Up,23000,22900.0,0.0
CEO,10:35:24,Buy Up,10000,22900.0,0.0
CEO,10:35:21,Buy Up,5000,22900.0,0.0
CEO,10:35:20,Buy Up,800,22900.0,0.0
CEO,10:35:18,Buy Up,900,22900.0,0.0
CEO,10:35:15,Buy Up,900,22900.0,0.0
CEO,10:35:11,Buy Up,99000,22900.0,0.0
CEO,10:35:09,Buy Up,2000,22900.0,0.0
CEO,10:35:02,Buy Up,10000,22900.0,100.0
CEO,10:35:01,Sell Down,10000,22800.0,-100.0
CEO,10:34:56,Buy Up,24000,22900.0,100.0
CEO,10:34:54,Sell Down,200,22800.0,0.0
CEO,10:34:48,Sell Down,4000,22800.0,-100.0
CEO,10:34:46,Buy Up,22700,22900.0,100.0
CEO,10:34:45,Sell Down,2500,22800.0,-100.0
CEO,10:34:37,Buy Up,2000,22900.0,0.0
CEO,10:34:27,Buy Up,2500,22900.0,0.0
CEO,10:34:23,Buy Up,500,22900.0,0.0
