ticker,time,orderType,volume,price,prevPriceChange
CRE,10:43:34,Buy Up,500.0,8650.0,0.0
CRE,10:43:18,Buy Up,15000.0,8650.0,0.0
CRE,10:42:01,Buy Up,100.0,8650.0,0.0
CRE,10:39:28,Sell Down,1500.0,8650.0,0.0
CRE,10:39:12,Sell Down,3000.0,8650.0,0.0
CRE,10:39:03,Sell Down,500.0,8650.0,0.0
CRE,10:38:17,Sell Down,5000.0,8650.0,-10.0
CRE,10:38:06,Buy Up,100.0,8660.0,20.0
CRE,10:37:30,Sell Down,100.0,8640.0,-10.0
CRE,10:37:30,Buy Up,100.0,8650.0,0.0
CRE,10:37:19,Buy Up,300.0,8650.0,0.0
CRE,10:37:19,Buy Up,600.0,8650.0,0.0
CRE,10:35:01,Buy Up,1000.0,8650.0,-10.0
CRE,10:34:44,Sell Down,200.0,8660.0,10.0
CRE,10:34:44,Sell Down,100.0,8650.0,-10.0
CRE,10:34:44,Sell Down,1600.0,8660.0,10.0
CRE,10:34:44,Sell Down,2000.0,8650.0,0.0
CRE,10:34:44,Sell Down,10000.0,8650.0,-10.0
CRE,10:32:08,Sell Down,3500.0,8660.0,0.0
CRE,10:32:01,Sell Down,3000.0,8660.0,0.0
CRE,10:29:51,Sell Down,2000.0,8660.0,0.0
CRE,10:29:41,Sell Down,1100.0,8660.0,-10.0
CRE,10:21:58,Buy Up,100.0,8670.0,10.0
CRE,10:19:19,Sell Down,500.0,8660.0,0.0
CRE,10:18:29,Sell Down,8300.0,8660.0,0.0
CRE,10:17:56,Sell Down,10000.0,8660.0,0.0
CRE,10:17:56,Sell Down,1700.0,8660.0,0.0
CRE,10:15:04,Sell Down,1400.0,8660.0,0.0
CRE,10:14:38,Sell Down,1100.0,8660.0,0.0
CRE,10:13:17,Sell Down,4300.0,8660.0,0.0
CRE,10:13:11,Sell Down,500.0,8660.0,0.0
CRE,10:11:32,Buy Up,1000.0,8660.0,0.0
CRE,10:09:50,Buy Up,100.0,8660.0,0.0
CRE,10:09:50,Buy Up,700.0,8660.0,0.0
CRE,10:09:50,Buy Up,200.0,8660.0,0.0
CRE,10:08:41,Buy Up,600.0,8660.0,0.0
CRE,10:08:41,Buy Up,1200.0,8660.0,0.0
CRE,10:08:25,Sell Down,700.0,8660.0,0.0
CRE,10:08:07,Sell Down,100.0,8660.0,0.0
CRE,10:08:07,Sell Down,4000.0,8660.0,0.0
CRE,10:08:07,Sell Down,600.0,8660.0,0.0
CRE,10:08:07,Sell Down,2000.0,8660.0,0.0
CRE,10:08:07,Sell Down,500.0,8660.0,0.0
