ticker,time,orderType,volume,price,prevPriceChange
DAG,11:29:01,Sell Down,300.0,3320.0,-10.0
DAG,11:27:54,Buy Up,2000.0,3330.0,0.0
DAG,11:25:06,Buy Up,500.0,3330.0,0.0
DAG,11:24:53,Sell Down,900.0,3330.0,0.0
DAG,11:23:00,Sell Down,100.0,3330.0,-20.0
DAG,11:21:17,Buy Up,100.0,3350.0,0.0
DAG,11:21:17,Buy Up,100.0,3350.0,0.0
DAG,11:21:17,Buy Up,600.0,3350.0,0.0
DAG,11:19:50,Sell Down,1400.0,3350.0,0.0
DAG,11:19:50,Sell Down,500.0,3350.0,0.0
DAG,11:19:50,Sell Down,1400.0,3350.0,0.0
DAG,11:19:18,Sell Down,100.0,3350.0,0.0
DAG,11:19:05,Sell Down,200.0,3350.0,0.0
DAG,11:18:51,Sell Down,5000.0,3350.0,0.0
DAG,11:18:24,Sell Down,2000.0,3350.0,-20.0
DAG,11:17:41,Buy Up,100.0,3370.0,0.0
DAG,11:17:23,Sell Down,300.0,3370.0,0.0
DAG,11:16:51,Sell Down,2000.0,3370.0,-10.0
DAG,11:16:27,Sell Down,200.0,3380.0,0.0
DAG,11:16:27,Sell Down,200.0,3380.0,0.0
DAG,11:16:27,Sell Down,2400.0,3380.0,0.0
DAG,11:16:04,Sell Down,100.0,3380.0,-10.0
DAG,11:15:41,Buy Up,500.0,3390.0,10.0
DAG,11:15:01,Sell Down,100.0,3380.0,0.0
DAG,11:14:53,Sell Down,100.0,3380.0,0.0
DAG,11:14:42,Sell Down,300.0,3380.0,0.0
DAG,11:14:29,Sell Down,300.0,3380.0,0.0
DAG,11:14:25,Buy Up,1000.0,3380.0,0.0
DAG,11:14:25,Buy Up,5000.0,3380.0,0.0
DAG,11:14:25,Buy Up,100.0,3380.0,10.0
DAG,11:14:07,Buy Up,1000.0,3370.0,0.0
DAG,11:14:07,Buy Up,5000.0,3370.0,0.0
DAG,11:14:07,Buy Up,5000.0,3370.0,0.0
DAG,11:14:07,Buy Up,600.0,3370.0,20.0
DAG,11:13:54,Buy Up,100.0,3350.0,0.0
DAG,11:13:54,Buy Up,100.0,3350.0,0.0
DAG,11:13:54,Buy Up,100.0,3350.0,0.0
DAG,11:13:47,Buy Up,300.0,3350.0,0.0
DAG,11:13:47,Buy Up,900.0,3350.0,0.0
DAG,11:13:38,Buy Up,100.0,3350.0,0.0
DAG,11:13:37,Buy Up,100.0,3350.0,0.0
DAG,11:13:13,Buy Up,200.0,3350.0,0.0
DAG,11:13:13,Buy Up,2000.0,3350.0,0.0
DAG,11:13:13,Buy Up,200.0,3350.0,0.0
DAG,11:13:13,Buy Up,800.0,3350.0,0.0
DAG,11:13:13,Buy Up,6500.0,3350.0,0.0
DAG,11:13:13,Buy Up,200.0,3350.0,0.0
DAG,11:13:13,Buy Up,100.0,3350.0,10.0
DAG,11:12:59,Sell Down,3000.0,3340.0,0.0
DAG,11:12:42,Sell Down,300.0,3340.0,0.0
DAG,11:11:21,Buy Up,100.0,3340.0,0.0
DAG,11:11:21,Buy Up,5000.0,3340.0,0.0
DAG,11:11:21,Buy Up,100.0,3340.0,10.0
DAG,11:11:21,Buy Up,100.0,3330.0,0.0
DAG,11:11:21,Buy Up,1000.0,3330.0,0.0
DAG,11:11:21,Buy Up,200.0,3330.0,0.0
DAG,11:11:21,Buy Up,3800.0,3330.0,0.0
DAG,11:11:21,Buy Up,500.0,3330.0,10.0
DAG,11:10:44,Buy Up,4000.0,3320.0,0.0
DAG,11:10:44,Buy Up,300.0,3320.0,0.0
DAG,11:07:55,Sell Down,200.0,3320.0,0.0
DAG,11:07:54,Sell Down,100.0,3320.0,0.0
DAG,11:07:41,Sell Down,400.0,3320.0,0.0
DAG,11:06:39,Buy Up,1000.0,3320.0,0.0
DAG,11:05:51,Buy Up,4600.0,3320.0,10.0
DAG,11:05:51,Buy Up,1800.0,3310.0,0.0
DAG,11:05:51,Buy Up,1000.0,3310.0,0.0
DAG,11:05:51,Buy Up,1000.0,3310.0,10.0
DAG,11:05:51,Buy Up,200.0,3300.0,0.0
DAG,11:05:51,Buy Up,2500.0,3300.0,0.0
DAG,11:05:51,Buy Up,1000.0,3300.0,0.0
DAG,11:05:51,Buy Up,1000.0,3300.0,0.0
DAG,11:05:51,Buy Up,1000.0,3300.0,0.0
DAG,11:05:51,Buy Up,100.0,3300.0,0.0
DAG,11:05:51,Buy Up,500.0,3300.0,0.0
DAG,11:05:51,Buy Up,200.0,3300.0,0.0
DAG,11:05:51,Buy Up,100.0,3300.0,0.0
DAG,11:05:51,Buy Up,200.0,3300.0,0.0
DAG,11:05:51,Buy Up,100.0,3300.0,0.0
DAG,11:05:51,Buy Up,2000.0,3300.0,0.0
DAG,11:05:51,Buy Up,400.0,3300.0,0.0
DAG,11:05:51,Buy Up,500.0,3300.0,0.0
DAG,11:05:51,Buy Up,1000.0,3300.0,0.0
DAG,11:05:51,Buy Up,100.0,3300.0,0.0
DAG,11:05:51,Buy Up,1200.0,3300.0,0.0
DAG,11:05:51,Buy Up,400.0,3300.0,0.0
DAG,11:05:51,Buy Up,3000.0,3300.0,0.0
DAG,11:05:51,Buy Up,1000.0,3300.0,0.0
DAG,11:05:51,Buy Up,5000.0,3300.0,0.0
DAG,11:05:51,Buy Up,100.0,3300.0,10.0
DAG,11:05:47,Sell Down,600.0,3290.0,0.0
DAG,11:05:08,Buy Up,600.0,3290.0,10.0
DAG,11:01:39,Sell Down,900.0,3280.0,-10.0
DAG,10:57:39,Buy Up,100.0,3290.0,0.0
DAG,10:57:09,Sell Down,4900.0,3290.0,0.0
DAG,10:57:09,Sell Down,100.0,3290.0,0.0
DAG,10:54:23,Sell Down,300.0,3290.0,-10.0
DAG,10:53:09,Buy Up,600.0,3300.0,10.0
DAG,10:52:27,Sell Down,200.0,3290.0,-10.0
DAG,10:51:17,Buy Up,1300.0,3300.0,0.0
DAG,10:51:17,Buy Up,1000.0,3300.0,0.0
DAG,10:51:17,Buy Up,100.0,3300.0,0.0
DAG,10:51:17,Buy Up,2500.0,3300.0,0.0
DAG,10:51:17,Buy Up,100.0,3300.0,10.0
DAG,10:51:02,Sell Down,100.0,3290.0,0.0
DAG,10:50:26,Sell Down,1000.0,3290.0,0.0
DAG,10:50:26,Sell Down,400.0,3290.0,0.0
DAG,10:50:26,Sell Down,100.0,3290.0,0.0
DAG,10:49:42,Sell Down,400.0,3290.0,-10.0
DAG,10:48:32,Buy Up,500.0,3300.0,0.0
DAG,10:48:32,Buy Up,500.0,3300.0,10.0
DAG,10:47:57,Sell Down,200.0,3290.0,0.0
DAG,10:47:16,Sell Down,300.0,3290.0,0.0
DAG,10:44:35,Buy Up,700.0,3290.0,0.0
DAG,10:44:05,Buy Up,2300.0,3290.0,0.0
DAG,10:44:05,Buy Up,100.0,3290.0,0.0
DAG,10:44:05,Buy Up,100.0,3290.0,0.0
DAG,10:44:05,Buy Up,200.0,3290.0,0.0
DAG,10:44:05,Buy Up,1000.0,3290.0,0.0
DAG,10:44:05,Buy Up,1200.0,3290.0,0.0
DAG,10:44:05,Buy Up,1000.0,3290.0,0.0
DAG,10:44:05,Buy Up,300.0,3290.0,0.0
DAG,10:44:05,Buy Up,100.0,3290.0,0.0
DAG,10:44:05,Buy Up,500.0,3290.0,0.0
DAG,10:44:05,Buy Up,3100.0,3290.0,10.0
DAG,10:44:05,Buy Up,100.0,3280.0,-10.0
DAG,10:43:30,Buy Up,1000.0,3290.0,0.0
DAG,10:43:10,Buy Up,100.0,3290.0,0.0
DAG,10:41:52,Buy Up,400.0,3290.0,0.0
DAG,10:41:21,Buy Up,400.0,3290.0,0.0
DAG,10:41:21,Buy Up,200.0,3290.0,0.0
DAG,10:41:21,Buy Up,900.0,3290.0,0.0
DAG,10:40:21,Buy Up,500.0,3290.0,0.0
DAG,10:38:19,Buy Up,3700.0,3290.0,0.0
DAG,10:37:40,Buy Up,5000.0,3290.0,10.0
DAG,10:37:29,Buy Up,1000.0,3280.0,0.0
DAG,10:37:29,Buy Up,1000.0,3280.0,0.0
DAG,10:37:29,Buy Up,1000.0,3280.0,0.0
DAG,10:37:29,Buy Up,800.0,3280.0,-10.0
DAG,10:35:50,Buy Up,500.0,3290.0,0.0
DAG,10:35:31,Buy Up,400.0,3290.0,0.0
DAG,10:35:31,Buy Up,1000.0,3290.0,0.0
DAG,10:35:31,Buy Up,200.0,3290.0,0.0
DAG,10:35:31,Buy Up,1400.0,3290.0,10.0
DAG,10:35:26,Sell Down,200.0,3280.0,-10.0
DAG,10:34:40,Buy Up,100.0,3290.0,0.0
DAG,10:34:34,Buy Up,500.0,3290.0,0.0
DAG,10:34:34,Buy Up,100.0,3290.0,0.0
DAG,10:34:34,Buy Up,1000.0,3290.0,0.0
DAG,10:34:34,Buy Up,300.0,3290.0,0.0
DAG,10:34:34,Buy Up,1100.0,3290.0,0.0
DAG,10:33:43,Buy Up,400.0,3290.0,0.0
DAG,10:33:08,Buy Up,400.0,3290.0,0.0
DAG,10:32:11,Buy Up,100.0,3290.0,10.0
DAG,10:32:11,Buy Up,100.0,3280.0,0.0
DAG,10:32:11,Buy Up,800.0,3280.0,0.0
DAG,10:30:14,Buy Up,200.0,3280.0,0.0
DAG,10:30:14,Buy Up,1300.0,3280.0,0.0
DAG,10:30:14,Buy Up,1500.0,3280.0,0.0
DAG,10:30:14,Buy Up,3000.0,3280.0,0.0
DAG,10:30:14,Buy Up,1200.0,3280.0,0.0
DAG,10:30:14,Buy Up,1000.0,3280.0,0.0
DAG,10:30:14,Buy Up,300.0,3280.0,0.0
DAG,10:30:14,Buy Up,500.0,3280.0,10.0
DAG,10:29:24,Sell Down,500.0,3270.0,0.0
DAG,10:29:24,Sell Down,500.0,3270.0,0.0
DAG,10:29:24,Sell Down,300.0,3270.0,0.0
DAG,10:25:22,Buy Up,5000.0,3270.0,0.0
DAG,10:25:19,Buy Up,1000.0,3270.0,0.0
DAG,10:22:38,Buy Up,100.0,3270.0,0.0
DAG,10:22:22,Buy Up,2000.0,3270.0,0.0
DAG,10:16:50,Buy Up,600.0,3270.0,20.0
DAG,10:07:53,Sell Down,2500.0,3250.0,0.0
DAG,10:07:53,Sell Down,7800.0,3250.0,0.0
DAG,09:58:43,Sell Down,2200.0,3250.0,0.0
DAG,09:58:43,Sell Down,300.0,3250.0,0.0
DAG,09:58:43,Sell Down,500.0,3250.0,0.0
DAG,09:51:05,Sell Down,4500.0,3250.0,0.0
DAG,09:51:05,Sell Down,1500.0,3250.0,0.0
DAG,09:51:05,Sell Down,100.0,3250.0,-10.0
DAG,09:51:05,Buy Up,300.0,3260.0,0.0
DAG,09:51:04,Sell Down,300.0,3260.0,0.0
DAG,09:51:04,Sell Down,1800.0,3260.0,-10.0
DAG,09:51:04,Sell Down,1500.0,3270.0,-10.0
DAG,09:50:15,Buy Up,1000.0,3280.0,0.0
DAG,09:50:15,Buy Up,100.0,3280.0,0.0
DAG,09:50:15,Buy Up,500.0,3280.0,0.0
DAG,09:50:15,Buy Up,5300.0,3280.0,0.0
DAG,09:50:15,Buy Up,100.0,3280.0,0.0
DAG,09:50:15,Buy Up,1000.0,3280.0,0.0
DAG,09:49:30,Buy Up,300.0,3280.0,10.0
DAG,09:49:30,Buy Up,500.0,3270.0,0.0
DAG,09:49:25,Buy Up,100.0,3270.0,0.0
DAG,09:49:24,Sell Down,1400.0,3270.0,0.0
DAG,09:49:21,Sell Down,1600.0,3270.0,0.0
DAG,09:49:21,Sell Down,300.0,3270.0,0.0
DAG,09:49:21,Sell Down,400.0,3270.0,0.0
DAG,09:49:21,Sell Down,2700.0,3270.0,0.0
DAG,09:46:35,Sell Down,100.0,3270.0,0.0
DAG,09:45:52,Sell Down,100.0,3270.0,-10.0
DAG,09:43:32,Buy Up,100.0,3280.0,0.0
DAG,09:42:00,Buy Up,100.0,3280.0,0.0
DAG,09:39:05,Buy Up,500.0,3280.0,10.0
DAG,09:37:53,Buy Up,100.0,3270.0,10.0
DAG,09:35:46,Sell Down,200.0,3260.0,0.0
DAG,09:35:46,Sell Down,4800.0,3260.0,-10.0
DAG,09:35:08,Buy Up,100.0,3270.0,0.0
DAG,09:33:43,Buy Up,2000.0,3270.0,-10.0
DAG,09:30:05,Buy Up,100.0,3280.0,20.0
DAG,09:29:15,Sell Down,3200.0,3260.0,-10.0
DAG,09:29:15,Buy Up,100.0,3270.0,0.0
DAG,09:29:15,Buy Up,100.0,3270.0,0.0
DAG,09:29:15,Buy Up,1300.0,3270.0,0.0
DAG,09:28:44,Sell Down,500.0,3270.0,0.0
DAG,09:28:07,Sell Down,100.0,3270.0,0.0
DAG,09:27:45,Sell Down,1100.0,3270.0,0.0
DAG,09:27:45,Sell Down,6700.0,3270.0,0.0
DAG,09:27:42,Sell Down,1300.0,3270.0,0.0
DAG,09:27:10,Sell Down,2000.0,3270.0,-10.0
DAG,09:26:25,Buy Up,100.0,3280.0,0.0
DAG,09:26:13,Buy Up,100.0,3280.0,0.0
DAG,09:25:43,Sell Down,3200.0,3280.0,-10.0
DAG,09:25:31,Buy Up,100.0,3290.0,0.0
DAG,09:25:23,Sell Down,1900.0,3290.0,0.0
DAG,09:25:23,Sell Down,100.0,3290.0,0.0
DAG,09:25:07,Sell Down,900.0,3290.0,0.0
DAG,09:24:35,Buy Up,300.0,3290.0,0.0
DAG,09:24:30,Sell Down,100.0,3290.0,0.0
DAG,09:24:26,Sell Down,500.0,3290.0,0.0
DAG,09:24:14,Sell Down,200.0,3290.0,0.0
DAG,09:23:55,Sell Down,100.0,3290.0,0.0
DAG,09:23:43,Buy Up,500.0,3290.0,0.0
DAG,09:23:43,Buy Up,500.0,3290.0,0.0
DAG,09:23:43,Buy Up,500.0,3290.0,0.0
DAG,09:23:43,Buy Up,100.0,3290.0,10.0
DAG,09:23:35,Buy Up,500.0,3280.0,0.0
DAG,09:23:35,Buy Up,1300.0,3280.0,0.0
DAG,09:23:34,Buy Up,3000.0,3280.0,0.0
DAG,09:22:30,Buy Up,100.0,3280.0,0.0
DAG,09:22:30,Buy Up,200.0,3280.0,0.0
DAG,09:22:26,Buy Up,100.0,3280.0,0.0
DAG,09:21:49,Buy Up,1000.0,3280.0,0.0
DAG,09:20:54,Buy Up,200.0,3280.0,0.0
DAG,09:20:43,Sell Down,500.0,3280.0,-10.0
DAG,09:20:36,Buy Up,100.0,3290.0,10.0
DAG,09:20:10,Buy Up,4500.0,3280.0,0.0
DAG,09:20:08,Buy Up,500.0,3280.0,0.0
DAG,09:20:08,Buy Up,100.0,3280.0,0.0
DAG,09:20:08,Buy Up,200.0,3280.0,0.0
DAG,09:19:47,Buy Up,4500.0,3280.0,0.0
DAG,09:19:47,Buy Up,300.0,3280.0,0.0
DAG,09:19:47,Buy Up,15000.0,3280.0,10.0
DAG,09:19:47,Buy Up,200.0,3270.0,10.0
DAG,09:19:42,Sell Down,200.0,3260.0,10.0
DAG,09:15:00,,2500.0,3250.0,0.0
