ticker,time,orderType,volume,price,prevPriceChange
DSC,10:34:51,Buy Up,300.0,19100.0,0.0
DSC,10:33:46,Buy Up,100.0,19100.0,0.0
DSC,10:33:31,Buy Up,500.0,19100.0,0.0
DSC,10:33:07,Buy Up,1000.0,19100.0,0.0
DSC,10:31:50,Buy Up,1000.0,19100.0,0.0
DSC,10:31:23,Buy Up,500.0,19100.0,0.0
DSC,10:28:50,Buy Up,1000.0,19100.0,0.0
DSC,10:27:27,Buy Up,700.0,19100.0,0.0
DSC,10:27:22,Sell Down,1900.0,19100.0,0.0
DSC,10:27:03,Sell Down,2000.0,19100.0,-100.0
DSC,10:26:47,Buy Up,1000.0,19200.0,0.0
DSC,10:26:25,Sell Down,1900.0,19200.0,0.0
DSC,10:26:04,Sell Down,2000.0,19200.0,-200.0
DSC,10:15:38,Buy Up,100.0,19400.0,200.0
DSC,09:43:24,Buy Up,400.0,19200.0,0.0
DSC,09:42:40,Buy Up,4000.0,19200.0,0.0
DSC,09:40:19,Buy Up,500.0,19200.0,0.0
DSC,09:40:18,Sell Down,100.0,19200.0,0.0
DSC,09:40:01,Sell Down,3900.0,19200.0,0.0
DSC,09:39:06,Buy Up,200.0,19200.0,0.0
DSC,09:33:27,Buy Up,1000.0,19200.0,0.0
DSC,09:30:48,Sell Down,800.0,19200.0,0.0
