ticker,time,orderType,volume,price,prevPriceChange
DXS,10:45:09,Sell Down,500,7660.0,0.0
DXS,10:44:51,Sell Down,100,7660.0,0.0
DXS,10:44:45,Sell Down,1200,7660.0,0.0
DXS,10:44:43,Buy Up,4000,7660.0,0.0
DXS,10:44:40,Buy Up,10300,7660.0,0.0
DXS,10:44:36,Buy Up,9300,7660.0,0.0
DXS,10:44:36,Buy Up,500,7660.0,0.0
DXS,10:44:36,Buy Up,3900,7660.0,0.0
DXS,10:44:36,Buy Up,10000,7660.0,0.0
DXS,10:44:36,Sell Down,500,7660.0,0.0
DXS,10:44:36,Sell Down,100,7660.0,0.0
DXS,10:44:36,Sell Down,200,7660.0,-10.0
DXS,10:44:36,Sell Down,10000,7670.0,10.0
DXS,10:44:19,Sell Down,500,7660.0,0.0
DXS,10:44:19,Sell Down,200,7660.0,0.0
DXS,10:44:19,Sell Down,5300,7660.0,0.0
DXS,10:44:19,Sell Down,100,7660.0,0.0
DXS,10:44:19,Sell Down,300,7660.0,0.0
DXS,10:44:19,Sell Down,10000,7660.0,0.0
DXS,10:44:19,Sell Down,1500,7660.0,0.0
DXS,10:44:19,Sell Down,1700,7660.0,0.0
DXS,10:44:19,Sell Down,8600,7660.0,-10.0
DXS,10:44:19,Sell Down,1800,7670.0,0.0
DXS,10:44:15,Buy Up,1200,7670.0,0.0
DXS,10:44:11,Buy Up,3800,7670.0,0.0
DXS,10:44:11,Buy Up,2000,7670.0,0.0
DXS,10:44:11,Buy Up,4200,7670.0,10.0
DXS,10:44:09,Sell Down,300,7660.0,-10.0
DXS,10:43:35,Buy Up,100,7670.0,0.0
DXS,10:43:30,Buy Up,400,7670.0,0.0
DXS,10:43:27,Buy Up,600,7670.0,0.0
DXS,10:43:27,Buy Up,1000,7670.0,0.0
DXS,10:43:10,Sell Down,1000,7670.0,0.0
DXS,10:43:10,Sell Down,500,7670.0,0.0
DXS,10:43:10,Sell Down,500,7670.0,0.0
DXS,10:43:07,Buy Up,3500,7670.0,0.0
DXS,10:43:06,Buy Up,2000,7670.0,0.0
DXS,10:43:06,Buy Up,4500,7670.0,0.0
DXS,10:40:20,Buy Up,100,7670.0,0.0
DXS,10:40:19,Buy Up,400,7670.0,0.0
DXS,10:40:19,Buy Up,100,7670.0,0.0
DXS,10:39:15,Buy Up,100,7670.0,0.0
DXS,10:38:35,Buy Up,100,7670.0,0.0
DXS,10:38:30,Buy Up,600,7670.0,0.0
DXS,10:38:26,Sell Down,1500,7670.0,0.0
DXS,10:38:26,Sell Down,200,7670.0,0.0
DXS,10:38:26,Sell Down,500,7670.0,0.0
DXS,10:37:21,Sell Down,1100,7670.0,0.0
DXS,10:37:21,Sell Down,900,7670.0,0.0
DXS,10:37:21,Sell Down,3000,7670.0,0.0
DXS,10:35:54,Sell Down,500,7670.0,0.0
DXS,10:35:54,Sell Down,2000,7670.0,0.0
DXS,10:35:54,Sell Down,3000,7670.0,0.0
DXS,10:35:39,Sell Down,200,7670.0,0.0
DXS,10:34:48,Sell Down,300,7670.0,0.0
DXS,10:34:31,Sell Down,200,7670.0,0.0
DXS,10:34:01,Sell Down,1500,7670.0,0.0
DXS,10:34:01,Sell Down,800,7670.0,0.0
DXS,10:34:01,Sell Down,300,7670.0,0.0
DXS,10:34:01,Sell Down,200,7670.0,0.0
DXS,10:34:01,Sell Down,200,7670.0,-10.0
DXS,10:33:30,Buy Up,300,7680.0,0.0
DXS,10:33:29,Buy Up,1000,7680.0,0.0
DXS,10:33:14,Buy Up,100,7680.0,0.0
DXS,10:33:08,Sell Down,100,7680.0,0.0
DXS,10:32:40,Buy Up,100,7680.0,0.0
DXS,10:32:35,Buy Up,1100,7680.0,0.0
DXS,10:32:30,Sell Down,700,7680.0,0.0
DXS,10:32:30,Sell Down,3100,7680.0,0.0
DXS,10:32:09,Buy Up,1900,7680.0,0.0
DXS,10:32:06,Buy Up,600,7680.0,0.0
DXS,10:32:01,Buy Up,2000,7680.0,0.0
DXS,10:31:45,Buy Up,300,7680.0,0.0
DXS,10:31:45,Buy Up,1200,7680.0,10.0
DXS,10:31:35,Sell Down,200,7670.0,-10.0
DXS,10:31:15,Buy Up,100,7680.0,0.0
DXS,10:31:14,Sell Down,100,7680.0,0.0
DXS,10:31:14,Sell Down,500,7680.0,0.0
DXS,10:30:18,Buy Up,500,7680.0,0.0
DXS,10:29:48,Buy Up,100,7680.0,0.0
DXS,10:29:16,Sell Down,200,7680.0,0.0
DXS,10:29:14,Buy Up,1000,7680.0,10.0
DXS,10:28:22,Sell Down,200,7670.0,-10.0
DXS,10:28:08,Buy Up,200,7680.0,0.0
DXS,10:26:46,Buy Up,300,7680.0,0.0
DXS,10:26:42,Sell Down,1000,7680.0,0.0
DXS,10:26:31,Sell Down,200,7680.0,0.0
DXS,10:26:31,Sell Down,100,7680.0,0.0
DXS,10:26:16,Sell Down,900,7680.0,0.0
DXS,10:26:16,Sell Down,3200,7680.0,0.0
DXS,10:25:41,Buy Up,500,7680.0,0.0
DXS,10:25:41,Buy Up,500,7680.0,0.0
DXS,10:25:41,Buy Up,2300,7680.0,0.0
DXS,10:25:40,Buy Up,300,7680.0,0.0
DXS,10:25:39,Buy Up,1000,7680.0,0.0
DXS,10:24:40,Buy Up,100,7680.0,0.0
DXS,10:24:35,Buy Up,400,7680.0,0.0
DXS,10:24:35,Buy Up,100,7680.0,10.0
DXS,10:24:16,Sell Down,1000,7670.0,0.0
DXS,10:24:16,Sell Down,600,7670.0,0.0
DXS,10:24:16,Sell Down,100,7670.0,0.0
DXS,10:24:16,Sell Down,1900,7670.0,0.0
DXS,10:24:16,Sell Down,1600,7670.0,0.0
DXS,10:23:50,Sell Down,700,7670.0,0.0
DXS,10:23:43,Sell Down,200,7670.0,0.0
DXS,10:23:35,Sell Down,1000,7670.0,0.0
DXS,10:23:25,Sell Down,4300,7670.0,0.0
DXS,10:23:21,Sell Down,500,7670.0,0.0
DXS,10:23:00,Sell Down,5600,7670.0,0.0
DXS,10:22:58,Buy Up,12000,7670.0,0.0
DXS,10:22:58,Buy Up,900,7670.0,0.0
DXS,10:22:58,Buy Up,600,7670.0,0.0
DXS,10:22:58,Buy Up,23000,7670.0,0.0
DXS,10:22:58,Buy Up,3800,7670.0,0.0
DXS,10:22:58,Buy Up,200,7670.0,0.0
DXS,10:22:58,Buy Up,200,7670.0,0.0
DXS,10:22:58,Buy Up,3900,7670.0,0.0
DXS,10:22:58,Buy Up,3000,7670.0,0.0
DXS,10:22:35,Sell Down,2000,7670.0,0.0
DXS,10:22:11,Sell Down,3000,7670.0,-10.0
DXS,10:21:41,Buy Up,300,7680.0,0.0
DXS,10:21:33,Buy Up,100,7680.0,0.0
DXS,10:21:31,Sell Down,1000,7680.0,0.0
DXS,10:21:31,Sell Down,200,7680.0,0.0
DXS,10:21:12,Sell Down,100,7680.0,0.0
DXS,10:20:56,Sell Down,4500,7680.0,0.0
DXS,10:20:50,Sell Down,300,7680.0,0.0
DXS,10:20:50,Sell Down,300,7680.0,0.0
DXS,10:20:50,Sell Down,11500,7680.0,0.0
DXS,10:20:50,Sell Down,100,7680.0,0.0
DXS,10:20:50,Sell Down,1700,7680.0,0.0
DXS,10:20:50,Sell Down,100,7680.0,0.0
DXS,10:20:50,Sell Down,1500,7680.0,0.0
DXS,10:20:16,Sell Down,1000,7680.0,0.0
DXS,10:20:08,Sell Down,1000,7680.0,0.0
DXS,10:19:14,Sell Down,100,7680.0,0.0
DXS,10:18:55,Sell Down,100,7680.0,0.0
DXS,10:18:49,Sell Down,100,7680.0,0.0
DXS,10:18:31,Sell Down,400,7680.0,0.0
DXS,10:17:31,Sell Down,500,7680.0,0.0
DXS,10:16:17,Buy Up,200,7680.0,0.0
DXS,10:16:17,Buy Up,400,7680.0,0.0
DXS,10:16:17,Buy Up,4500,7680.0,0.0
DXS,10:16:00,Buy Up,300,7680.0,0.0
DXS,10:15:57,Buy Up,1000,7680.0,0.0
DXS,10:15:54,Buy Up,200,7680.0,0.0
DXS,10:15:10,Buy Up,100,7680.0,0.0
DXS,10:15:05,Buy Up,600,7680.0,0.0
DXS,10:15:03,Sell Down,300,7680.0,0.0
DXS,10:15:03,Sell Down,2000,7680.0,0.0
DXS,10:14:40,Sell Down,300,7680.0,0.0
DXS,10:14:40,Sell Down,700,7680.0,0.0
DXS,10:14:36,Buy Up,10000,7680.0,0.0
DXS,10:14:15,Buy Up,100,7680.0,0.0
DXS,10:14:10,Buy Up,400,7680.0,0.0
DXS,10:14:05,Buy Up,1500,7680.0,0.0
DXS,10:14:00,Buy Up,5100,7680.0,0.0
DXS,10:13:58,Buy Up,100,7680.0,0.0
DXS,10:13:58,Buy Up,100,7680.0,0.0
DXS,10:13:58,Buy Up,5000,7680.0,0.0
DXS,10:13:58,Buy Up,900,7680.0,0.0
DXS,10:13:58,Buy Up,10000,7680.0,0.0
DXS,10:13:58,Buy Up,600,7680.0,0.0
DXS,10:13:58,Sell Down,500,7680.0,0.0
DXS,10:13:43,Sell Down,100,7680.0,0.0
