ticker,time,orderType,volume,price,prevPriceChange
HII,11:22:42,Buy Up,100.0,5460.0,40.0
HII,11:20:36,Sell Down,100.0,5420.0,-40.0
HII,11:11:22,Buy Up,100.0,5460.0,10.0
HII,10:48:54,Buy Up,100.0,5450.0,40.0
HII,10:46:45,Sell Down,200.0,5410.0,-40.0
HII,10:25:22,Buy Up,700.0,5450.0,0.0
HII,10:14:02,Buy Up,100.0,5450.0,50.0
HII,10:13:39,Sell Down,2000.0,5400.0,-50.0
HII,10:13:18,Buy Up,100.0,5450.0,50.0
HII,10:10:51,Sell Down,2900.0,5400.0,0.0
HII,10:10:51,Sell Down,200.0,5400.0,0.0
HII,10:10:51,Sell Down,1000.0,5400.0,0.0
HII,10:10:51,Sell Down,300.0,5400.0,0.0
HII,10:10:51,Sell Down,200.0,5400.0,-50.0
HII,10:07:13,Buy Up,100.0,5450.0,40.0
HII,10:04:40,Sell Down,900.0,5410.0,10.0
HII,10:04:40,Sell Down,4800.0,5400.0,-10.0
HII,10:04:40,Sell Down,100.0,5410.0,0.0
HII,10:04:40,Sell Down,3200.0,5410.0,0.0
HII,09:59:53,Sell Down,500.0,5410.0,-70.0
HII,09:23:27,Buy Up,100.0,5480.0,0.0
