ticker,time,orderType,volume,price,prevPriceChange
HPG,10:29:01,Buy Up,300,27900.0,50.0
HPG,10:29:00,Sell Down,3100,27850.0,0.0
HPG,10:28:57,Sell Down,10000,27850.0,-50.0
HPG,10:28:52,Buy Up,300,27900.0,50.0
HPG,10:28:46,Sell Down,10000,27850.0,-50.0
HPG,10:28:43,Buy Up,300,27900.0,0.0
HPG,10:28:34,Buy Up,300,27900.0,50.0
HPG,10:28:32,Sell Down,1000,27850.0,-50.0
HPG,10:28:25,Buy Up,300,27900.0,50.0
HPG,10:28:25,Sell Down,7000,27850.0,0.0
HPG,10:28:22,Sell Down,1000,27850.0,0.0
HPG,10:28:22,Sell Down,100,27850.0,0.0
HPG,10:28:22,Sell Down,5300,27850.0,0.0
HPG,10:28:22,Buy Up,200,27850.0,0.0
HPG,10:28:22,Buy Up,800,27850.0,0.0
HPG,10:28:19,Buy Up,200,27850.0,0.0
HPG,10:28:19,Buy Up,2900,27850.0,0.0
HPG,10:28:19,Buy Up,1900,27850.0,0.0
HPG,10:28:16,Buy Up,300,27850.0,50.0
HPG,10:28:15,Sell Down,2100,27800.0,0.0
HPG,10:28:15,Sell Down,900,27800.0,-50.0
HPG,10:28:08,Buy Up,800,27850.0,0.0
HPG,10:28:07,Buy Up,300,27850.0,0.0
HPG,10:28:02,Buy Up,100,27850.0,0.0
HPG,10:27:59,Buy Up,400,27850.0,0.0
HPG,10:27:52,Buy Up,800,27850.0,0.0
HPG,10:27:49,Buy Up,300,27850.0,0.0
HPG,10:27:49,Buy Up,400,27850.0,0.0
HPG,10:27:38,Buy Up,5000,27850.0,0.0
HPG,10:27:31,Buy Up,3600,27850.0,0.0
HPG,10:27:29,Sell Down,300,27850.0,50.0
HPG,10:27:29,Sell Down,2000,27800.0,0.0
HPG,10:27:29,Sell Down,100,27800.0,0.0
HPG,10:27:29,Sell Down,900,27800.0,-50.0
HPG,10:27:29,Sell Down,400,27850.0,0.0
HPG,10:27:29,Sell Down,5000,27850.0,0.0
HPG,10:27:29,Sell Down,3100,27850.0,0.0
HPG,10:27:29,Sell Down,100,27850.0,0.0
HPG,10:27:29,Sell Down,100,27850.0,0.0
HPG,10:27:29,Sell Down,1000,27850.0,0.0
HPG,10:27:29,Sell Down,200,27850.0,0.0
HPG,10:27:29,Sell Down,4400,27850.0,0.0
HPG,10:27:29,Sell Down,700,27850.0,0.0
HPG,10:27:29,Sell Down,100,27850.0,0.0
HPG,10:27:29,Sell Down,3000,27850.0,0.0
HPG,10:27:29,Sell Down,100,27850.0,0.0
HPG,10:27:29,Sell Down,300,27850.0,0.0
HPG,10:27:29,Sell Down,10000,27850.0,0.0
HPG,10:27:29,Sell Down,100,27850.0,0.0
HPG,10:27:29,Sell Down,200,27850.0,0.0
HPG,10:27:29,Sell Down,900,27850.0,0.0
HPG,10:27:29,Sell Down,500,27850.0,0.0
HPG,10:27:29,Sell Down,2000,27850.0,0.0
HPG,10:27:29,Sell Down,3000,27850.0,0.0
HPG,10:27:29,Sell Down,600,27850.0,0.0
HPG,10:27:29,Sell Down,300,27850.0,-50.0
HPG,10:27:20,Buy Up,400,27900.0,0.0
HPG,10:27:20,Buy Up,5300,27900.0,0.0
HPG,10:27:20,Buy Up,1000,27900.0,0.0
HPG,10:27:20,Buy Up,500,27900.0,0.0
HPG,10:27:20,Buy Up,800,27900.0,0.0
HPG,10:27:20,Buy Up,200,27900.0,0.0
HPG,10:27:20,Buy Up,300,27900.0,0.0
HPG,10:27:20,Buy Up,100,27900.0,0.0
HPG,10:27:20,Buy Up,5000,27900.0,0.0
HPG,10:27:20,Buy Up,600,27900.0,0.0
HPG,10:27:17,Buy Up,200,27900.0,0.0
HPG,10:27:12,Buy Up,300,27900.0,0.0
HPG,10:27:10,Buy Up,100,27900.0,50.0
HPG,10:27:07,Sell Down,1100,27850.0,0.0
HPG,10:27:07,Sell Down,1000,27850.0,0.0
HPG,10:27:07,Sell Down,2900,27850.0,-50.0
HPG,10:27:03,Buy Up,300,27900.0,0.0
HPG,10:27:03,Buy Up,100,27900.0,0.0
HPG,10:26:55,Buy Up,400,27900.0,50.0
HPG,10:26:54,Sell Down,600,27850.0,0.0
HPG,10:26:47,Sell Down,100,27850.0,0.0
HPG,10:26:47,Sell Down,1000,27850.0,0.0
HPG,10:26:46,Sell Down,400,27850.0,0.0
HPG,10:26:46,Sell Down,2500,27850.0,-50.0
HPG,10:26:45,Buy Up,300,27900.0,50.0
HPG,10:26:41,Sell Down,1000,27850.0,-50.0
HPG,10:26:36,Buy Up,300,27900.0,50.0
HPG,10:26:33,Sell Down,1000,27850.0,-50.0
HPG,10:26:31,Buy Up,100,27900.0,0.0
