ticker,time,orderType,volume,price,prevPriceChange
HQC,10:47:50,Sell Down,100,4430.0,0.0
HQC,10:47:42,Sell Down,4500,4430.0,0.0
HQC,10:47:21,Sell Down,4800,4430.0,0.0
HQC,10:47:21,Sell Down,200,4430.0,0.0
HQC,10:47:21,Sell Down,100,4430.0,0.0
HQC,10:47:21,Sell Down,300,4430.0,0.0
HQC,10:47:21,Sell Down,300,4430.0,0.0
HQC,10:47:21,Sell Down,300,4430.0,-10.0
HQC,10:47:15,Buy Up,100,4440.0,10.0
HQC,10:47:04,Sell Down,1000,4430.0,0.0
HQC,10:47:03,Sell Down,700,4430.0,0.0
HQC,10:47:03,Sell Down,200,4430.0,0.0
HQC,10:47:03,Sell Down,500,4430.0,0.0
HQC,10:47:03,Sell Down,600,4430.0,0.0
HQC,10:46:45,Sell Down,500,4430.0,0.0
HQC,10:46:35,Sell Down,4000,4430.0,0.0
HQC,10:46:29,Sell Down,5000,4430.0,-10.0
HQC,10:46:16,Buy Up,400,4440.0,0.0
HQC,10:45:09,Buy Up,200,4440.0,0.0
HQC,10:45:09,Buy Up,4800,4440.0,0.0
HQC,10:45:00,Buy Up,1000,4440.0,0.0
HQC,10:44:33,Buy Up,1000,4440.0,0.0
HQC,10:44:33,Buy Up,3400,4440.0,0.0
HQC,10:44:14,Buy Up,100,4440.0,0.0
HQC,10:44:14,Buy Up,800,4440.0,0.0
HQC,10:44:06,Sell Down,1200,4440.0,0.0
HQC,10:44:06,Sell Down,800,4440.0,0.0
HQC,10:43:43,Sell Down,1500,4440.0,0.0
HQC,10:43:43,Sell Down,1500,4440.0,0.0
HQC,10:43:36,Sell Down,1500,4440.0,-10.0
HQC,10:43:13,Buy Up,100,4450.0,10.0
HQC,10:43:13,Buy Up,400,4440.0,0.0
HQC,10:43:08,Buy Up,600,4440.0,0.0
HQC,10:43:08,Buy Up,2000,4440.0,0.0
HQC,10:43:07,Buy Up,100,4440.0,10.0
HQC,10:43:04,Sell Down,4000,4430.0,-10.0
HQC,10:42:52,Buy Up,500,4440.0,0.0
HQC,10:42:52,Buy Up,1000,4440.0,0.0
HQC,10:42:48,Buy Up,500,4440.0,10.0
HQC,10:42:41,Sell Down,200,4430.0,-10.0
HQC,10:42:24,Buy Up,5000,4440.0,10.0
HQC,10:42:10,Sell Down,500,4430.0,-10.0
HQC,10:42:09,Buy Up,400,4440.0,0.0
HQC,10:41:51,Buy Up,100,4440.0,0.0
HQC,10:41:51,Buy Up,1400,4440.0,-10.0
HQC,10:41:50,Buy Up,100,4450.0,10.0
HQC,10:41:46,Sell Down,900,4440.0,0.0
HQC,10:41:33,Sell Down,500,4440.0,-10.0
HQC,10:41:29,Buy Up,100,4450.0,10.0
HQC,10:41:16,Buy Up,6200,4440.0,0.0
HQC,10:41:14,Sell Down,500,4440.0,0.0
HQC,10:41:14,Sell Down,400,4440.0,0.0
HQC,10:41:14,Sell Down,300,4440.0,0.0
HQC,10:41:14,Sell Down,100,4440.0,0.0
HQC,10:41:14,Sell Down,2500,4440.0,0.0
HQC,10:40:33,Sell Down,1000,4440.0,0.0
HQC,10:40:23,Sell Down,2000,4440.0,0.0
HQC,10:40:22,Sell Down,300,4440.0,0.0
HQC,10:40:22,Sell Down,200,4440.0,0.0
HQC,10:40:22,Sell Down,1000,4440.0,0.0
HQC,10:40:22,Sell Down,1000,4440.0,0.0
HQC,10:40:22,Sell Down,3500,4440.0,0.0
HQC,10:39:50,Sell Down,1000,4440.0,0.0
HQC,10:39:35,Sell Down,15400,4440.0,0.0
HQC,10:39:29,Sell Down,3000,4440.0,-10.0
HQC,10:39:13,Buy Up,500,4450.0,10.0
HQC,10:39:12,Sell Down,5000,4440.0,0.0
HQC,10:39:06,Sell Down,1000,4440.0,-10.0
HQC,10:39:03,Buy Up,100,4450.0,10.0
HQC,10:38:52,Sell Down,5000,4440.0,-10.0
HQC,10:38:44,Buy Up,100,4450.0,10.0
HQC,10:38:37,Sell Down,500,4440.0,0.0
HQC,10:38:20,Sell Down,1500,4440.0,0.0
HQC,10:38:14,Sell Down,10000,4440.0,0.0
HQC,10:38:03,Sell Down,4100,4440.0,0.0
HQC,10:38:03,Sell Down,500,4440.0,0.0
HQC,10:38:03,Sell Down,1800,4440.0,-10.0
HQC,10:37:45,Buy Up,100,4450.0,0.0
HQC,10:37:29,Buy Up,400,4450.0,10.0
HQC,10:37:02,Sell Down,3200,4440.0,0.0
HQC,10:36:59,Sell Down,5000,4440.0,0.0
HQC,10:36:59,Sell Down,1100,4440.0,0.0
HQC,10:36:59,Sell Down,5000,4440.0,0.0
HQC,10:36:59,Sell Down,100,4440.0,0.0
HQC,10:36:59,Sell Down,200,4440.0,0.0
HQC,10:36:59,Sell Down,1000,4440.0,0.0
HQC,10:36:59,Sell Down,3000,4440.0,0.0
HQC,10:36:59,Sell Down,100,4440.0,0.0
HQC,10:36:59,Sell Down,1500,4440.0,0.0
HQC,10:36:59,Sell Down,1200,4440.0,0.0
HQC,10:36:59,Sell Down,1000,4440.0,0.0
HQC,10:36:59,Sell Down,500,4440.0,0.0
HQC,10:36:59,Sell Down,300,4440.0,0.0
HQC,10:36:47,Sell Down,5700,4440.0,0.0
HQC,10:36:47,Sell Down,600,4440.0,0.0
HQC,10:36:47,Sell Down,3700,4440.0,-10.0
HQC,10:36:45,Buy Up,1000,4450.0,10.0
HQC,10:36:41,Sell Down,2000,4440.0,0.0
HQC,10:36:41,Sell Down,46300,4440.0,0.0
HQC,10:36:41,Sell Down,1000,4440.0,0.0
HQC,10:36:40,Sell Down,100,4440.0,0.0
HQC,10:36:17,Sell Down,1000,4440.0,-10.0
HQC,10:36:03,Buy Up,5000,4450.0,10.0
HQC,10:35:51,Sell Down,10000,4440.0,0.0
HQC,10:35:49,Sell Down,500,4440.0,-10.0
HQC,10:35:08,Buy Up,2000,4450.0,10.0
HQC,10:35:03,Sell Down,3000,4440.0,0.0
HQC,10:35:00,Sell Down,2000,4440.0,0.0
HQC,10:34:55,Sell Down,400,4440.0,-10.0
HQC,10:34:39,Buy Up,500,4450.0,10.0
HQC,10:34:37,Sell Down,18000,4440.0,0.0
HQC,10:34:31,Sell Down,2000,4440.0,0.0
HQC,10:34:20,Sell Down,1000,4440.0,0.0
HQC,10:34:20,Sell Down,13000,4440.0,0.0
HQC,10:34:20,Sell Down,36000,4440.0,-10.0
HQC,10:34:00,Buy Up,100,4450.0,10.0
HQC,10:33:55,Sell Down,10400,4440.0,0.0
HQC,10:33:54,Sell Down,200,4440.0,0.0
HQC,10:33:40,Sell Down,500,4440.0,0.0
HQC,10:33:10,Sell Down,2900,4440.0,0.0
HQC,10:33:10,Sell Down,100,4440.0,0.0
HQC,10:33:10,Sell Down,400,4440.0,0.0
HQC,10:33:10,Sell Down,700,4440.0,0.0
HQC,10:33:10,Sell Down,500,4440.0,0.0
HQC,10:33:10,Sell Down,400,4440.0,-10.0
HQC,10:33:04,Buy Up,100,4450.0,0.0
HQC,10:32:46,Buy Up,1000,4450.0,0.0
HQC,10:32:06,Buy Up,100,4450.0,0.0
HQC,10:31:50,Sell Down,5000,4450.0,0.0
HQC,10:31:50,Sell Down,2900,4450.0,0.0
HQC,10:31:49,Sell Down,2000,4450.0,0.0
HQC,10:31:47,Sell Down,300,4450.0,-10.0
HQC,10:31:46,Buy Up,2000,4460.0,10.0
HQC,10:31:38,Sell Down,4800,4450.0,0.0
HQC,10:31:37,Sell Down,200,4450.0,0.0
HQC,10:31:37,Sell Down,2700,4450.0,0.0
HQC,10:31:34,Sell Down,500,4450.0,0.0
HQC,10:31:31,Sell Down,2000,4450.0,0.0
HQC,10:31:30,Sell Down,4800,4450.0,0.0
HQC,10:31:26,Buy Up,100,4450.0,0.0
HQC,10:31:25,Buy Up,100,4450.0,0.0
HQC,10:31:10,Buy Up,3000,4450.0,0.0
HQC,10:31:10,Buy Up,1000,4450.0,0.0
HQC,10:31:10,Buy Up,100,4450.0,0.0
HQC,10:31:10,Buy Up,2000,4450.0,0.0
HQC,10:31:10,Buy Up,6000,4450.0,0.0
HQC,10:31:10,Buy Up,2900,4450.0,0.0
HQC,10:31:03,Sell Down,10000,4450.0,0.0
HQC,10:30:57,Sell Down,200,4450.0,0.0
HQC,10:30:38,Sell Down,86900,4450.0,0.0
HQC,10:30:38,Sell Down,200,4450.0,0.0
HQC,10:30:38,Sell Down,10000,4450.0,0.0
HQC,10:30:38,Sell Down,200,4450.0,0.0
HQC,10:30:38,Sell Down,2000,4450.0,0.0
HQC,10:30:38,Sell Down,100,4450.0,0.0
HQC,10:30:38,Sell Down,100,4450.0,0.0
HQC,10:30:38,Sell Down,500,4450.0,0.0
HQC,10:30:32,Sell Down,200,4450.0,0.0
HQC,10:30:28,Sell Down,100,4450.0,0.0
HQC,10:30:13,Sell Down,1500,4450.0,0.0
HQC,10:30:05,Sell Down,200,4450.0,0.0
HQC,10:29:49,Sell Down,100,4450.0,-10.0
HQC,10:29:42,Buy Up,200,4460.0,0.0
HQC,10:29:42,Buy Up,1000,4460.0,0.0
HQC,10:29:42,Buy Up,1800,4460.0,0.0
HQC,10:29:27,Buy Up,300,4460.0,0.0
HQC,10:29:24,Buy Up,2100,4460.0,0.0
HQC,10:29:24,Buy Up,5800,4460.0,0.0
HQC,10:29:04,Sell Down,7800,4460.0,0.0
HQC,10:29:04,Sell Down,2000,4460.0,0.0
HQC,10:29:04,Sell Down,200,4460.0,0.0
HQC,10:28:56,Sell Down,1800,4460.0,0.0
HQC,10:28:56,Sell Down,700,4460.0,0.0
HQC,10:28:56,Sell Down,2000,4460.0,0.0
HQC,10:28:56,Sell Down,10000,4460.0,0.0
HQC,10:28:56,Sell Down,5500,4460.0,0.0
HQC,10:28:48,Sell Down,5000,4460.0,0.0
HQC,10:28:15,Sell Down,10000,4460.0,0.0
HQC,10:28:15,Sell Down,300,4460.0,-10.0
HQC,10:28:14,Buy Up,2400,4470.0,0.0
HQC,10:28:14,Buy Up,100,4470.0,10.0
HQC,10:28:13,Sell Down,12000,4460.0,-10.0
HQC,10:27:40,Buy Up,300,4470.0,0.0
HQC,10:27:35,Buy Up,100,4470.0,0.0
HQC,10:27:26,Buy Up,100,4470.0,0.0
HQC,10:27:26,Buy Up,1000,4470.0,0.0
HQC,10:27:26,Buy Up,900,4470.0,0.0
HQC,10:27:17,Buy Up,100,4470.0,0.0
HQC,10:27:17,Buy Up,100,4470.0,0.0
HQC,10:27:17,Buy Up,600,4470.0,0.0
HQC,10:27:17,Buy Up,100,4470.0,0.0
HQC,10:27:17,Buy Up,8800,4470.0,0.0
HQC,10:27:07,Buy Up,1000,4470.0,10.0
HQC,10:26:58,Sell Down,5000,4460.0,0.0
HQC,10:26:42,Sell Down,10000,4460.0,0.0
HQC,10:26:31,Sell Down,100,4460.0,0.0
HQC,10:26:30,Sell Down,100,4460.0,0.0
HQC,10:26:30,Sell Down,35000,4460.0,0.0
HQC,10:26:30,Sell Down,500,4460.0,0.0
HQC,10:26:30,Sell Down,16400,4460.0,0.0
HQC,10:26:30,Sell Down,100,4460.0,0.0
HQC,10:26:25,Buy Up,1000,4460.0,0.0
HQC,10:25:51,Buy Up,400,4460.0,0.0
HQC,10:25:45,Buy Up,2200,4460.0,0.0
HQC,10:25:45,Buy Up,600,4460.0,0.0
HQC,10:25:45,Buy Up,2000,4460.0,0.0
HQC,10:25:45,Buy Up,5000,4460.0,0.0
HQC,10:25:45,Buy Up,1000,4460.0,0.0
HQC,10:25:45,Buy Up,5000,4460.0,0.0
HQC,10:25:45,Buy Up,3000,4460.0,0.0
HQC,10:25:45,Buy Up,2000,4460.0,0.0
HQC,10:25:45,Buy Up,100,4460.0,0.0
HQC,10:25:45,Buy Up,1600,4460.0,0.0
HQC,10:25:45,Buy Up,1800,4460.0,0.0
HQC,10:25:45,Buy Up,5000,4460.0,0.0
HQC,10:25:45,Buy Up,200,4460.0,0.0
HQC,10:25:45,Buy Up,500,4460.0,0.0
HQC,10:25:45,Buy Up,1000,4460.0,0.0
HQC,10:25:45,Buy Up,5000,4460.0,0.0
HQC,10:25:45,Buy Up,5100,4460.0,0.0
HQC,10:25:01,Buy Up,1100,4460.0,0.0
HQC,10:25:01,Buy Up,500,4460.0,0.0
HQC,10:25:01,Buy Up,500,4460.0,0.0
HQC,10:25:01,Buy Up,1000,4460.0,0.0
HQC,10:25:01,Buy Up,500,4460.0,0.0
HQC,10:25:01,Buy Up,100,4460.0,0.0
HQC,10:25:01,Buy Up,400,4460.0,0.0
HQC,10:25:01,Buy Up,200,4460.0,0.0
HQC,10:25:01,Buy Up,200,4460.0,0.0
HQC,10:25:01,Buy Up,200,4460.0,0.0
HQC,10:25:01,Buy Up,100,4460.0,0.0
HQC,10:25:01,Buy Up,200,4460.0,0.0
HQC,10:24:42,Buy Up,300,4460.0,0.0
HQC,10:24:42,Buy Up,4700,4460.0,0.0
HQC,10:24:37,Buy Up,300,4460.0,0.0
HQC,10:24:28,Buy Up,500,4460.0,0.0
HQC,10:24:02,Buy Up,500,4460.0,0.0
HQC,10:23:48,Buy Up,100,4460.0,0.0
HQC,10:23:23,Buy Up,10000,4460.0,0.0
HQC,10:23:09,Buy Up,3400,4460.0,0.0
HQC,10:22:46,Buy Up,500,4460.0,0.0
HQC,10:22:46,Buy Up,400,4460.0,0.0
HQC,10:22:46,Buy Up,200,4460.0,0.0
HQC,10:22:46,Buy Up,1000,4460.0,0.0
HQC,10:22:46,Buy Up,800,4460.0,0.0
HQC,10:21:58,Buy Up,200,4460.0,10.0
HQC,10:21:55,Sell Down,20000,4450.0,-10.0
HQC,10:21:55,Buy Up,1300,4460.0,0.0
HQC,10:21:55,Buy Up,1700,4460.0,0.0
HQC,10:21:43,Buy Up,500,4460.0,0.0
HQC,10:21:41,Buy Up,300,4460.0,0.0
HQC,10:21:24,Buy Up,300,4460.0,10.0
HQC,10:21:09,Sell Down,5000,4450.0,0.0
HQC,10:20:44,Sell Down,200,4450.0,0.0
HQC,10:20:41,Sell Down,2000,4450.0,0.0
HQC,10:20:39,Sell Down,500,4450.0,0.0
HQC,10:20:35,Sell Down,31000,4450.0,0.0
HQC,10:20:35,Sell Down,10000,4450.0,0.0
HQC,10:20:35,Sell Down,5000,4450.0,0.0
HQC,10:20:35,Sell Down,700,4450.0,0.0
HQC,10:20:35,Sell Down,2000,4450.0,0.0
HQC,10:20:35,Sell Down,4000,4450.0,0.0
HQC,10:20:35,Sell Down,1000,4450.0,0.0
HQC,10:20:35,Sell Down,500,4450.0,0.0
HQC,10:20:35,Sell Down,200,4450.0,0.0
HQC,10:20:35,Sell Down,5000,4450.0,0.0
HQC,10:20:35,Sell Down,1000,4450.0,0.0
HQC,10:20:35,Sell Down,300,4450.0,0.0
HQC,10:20:35,Sell Down,800,4450.0,0.0
HQC,10:20:35,Sell Down,300,4450.0,0.0
HQC,10:20:34,Buy Up,1700,4450.0,0.0
HQC,10:20:34,Buy Up,36200,4450.0,0.0
HQC,10:20:34,Buy Up,5000,4450.0,0.0
HQC,10:20:34,Buy Up,30000,4450.0,0.0
HQC,10:20:34,Buy Up,4000,4450.0,0.0
HQC,10:20:34,Buy Up,8000,4450.0,0.0
HQC,10:20:34,Buy Up,100,4450.0,0.0
HQC,10:20:34,Buy Up,17300,4450.0,10.0
HQC,10:20:29,Sell Down,1600,4440.0,0.0
HQC,10:20:29,Sell Down,1400,4440.0,0.0
HQC,10:20:16,Sell Down,2500,4440.0,0.0
HQC,10:20:16,Sell Down,500,4440.0,0.0
HQC,10:20:05,Sell Down,500,4440.0,0.0
HQC,10:19:52,Sell Down,3900,4440.0,0.0
HQC,10:19:43,Sell Down,100,4440.0,0.0
HQC,10:19:43,Sell Down,4900,4440.0,-10.0
HQC,10:19:41,Buy Up,500,4450.0,10.0
HQC,10:19:17,Sell Down,5100,4440.0,0.0
HQC,10:19:17,Sell Down,900,4440.0,0.0
HQC,10:18:27,Sell Down,1700,4440.0,0.0
HQC,10:18:18,Sell Down,500,4440.0,0.0
HQC,10:17:48,Sell Down,3500,4440.0,0.0
HQC,10:17:47,Sell Down,200,4440.0,0.0
HQC,10:17:47,Sell Down,800,4440.0,0.0
HQC,10:17:12,Sell Down,1100,4440.0,0.0
HQC,10:17:12,Sell Down,900,4440.0,-10.0
HQC,10:16:36,Buy Up,100,4450.0,10.0
HQC,10:16:31,Sell Down,100,4440.0,0.0
HQC,10:16:31,Sell Down,900,4440.0,0.0
HQC,10:16:24,Sell Down,2100,4440.0,0.0
HQC,10:16:24,Sell Down,1700,4440.0,0.0
HQC,10:16:22,Sell Down,2000,4440.0,0.0
HQC,10:15:54,Sell Down,5000,4440.0,0.0
HQC,10:15:52,Sell Down,5000,4440.0,0.0
HQC,10:15:35,Sell Down,4100,4440.0,0.0
HQC,10:14:56,Sell Down,100,4440.0,0.0
HQC,10:14:53,Sell Down,400,4440.0,0.0
HQC,10:14:52,Sell Down,600,4440.0,-10.0
HQC,10:14:08,Buy Up,3000,4450.0,10.0
HQC,10:13:57,Sell Down,10400,4440.0,0.0
HQC,10:13:50,Sell Down,5000,4440.0,0.0
HQC,10:13:34,Sell Down,1000,4440.0,0.0
HQC,10:13:32,Sell Down,3000,4440.0,0.0
HQC,10:13:17,Sell Down,10000,4440.0,0.0
HQC,10:12:47,Sell Down,500,4440.0,0.0
HQC,10:12:15,Sell Down,100,4440.0,0.0
HQC,10:12:09,Sell Down,1100,4440.0,0.0
