ticker,time,orderType,volume,price,prevPriceChange
HVT,11:28:58,Buy Up,2000.0,53000.0,200.0
HVT,11:27:43,Buy Up,1000.0,52800.0,0.0
HVT,11:26:00,Buy Up,30000.0,52800.0,0.0
HVT,10:54:33,Buy Up,300.0,52800.0,0.0
HVT,10:52:49,Buy Up,700.0,52800.0,0.0
HVT,10:48:25,Buy Up,1200.0,52800.0,0.0
HVT,10:36:19,Buy Up,400.0,52800.0,0.0
HVT,10:33:51,Buy Up,300.0,52800.0,0.0
HVT,10:30:02,Buy Up,400.0,52800.0,0.0
HVT,10:28:14,Buy Up,10000.0,52800.0,0.0
HVT,10:18:15,Buy Up,10000.0,52800.0,0.0
HVT,10:15:49,Buy Up,8300.0,52800.0,0.0
HVT,10:14:44,Buy Up,100.0,52800.0,0.0
HVT,10:14:30,Buy Up,400.0,52800.0,0.0
HVT,10:14:09,Buy Up,1200.0,52800.0,0.0
HVT,10:14:02,Buy Up,500.0,52800.0,-200.0
HVT,10:12:44,Buy Up,6000.0,53000.0,0.0
HVT,10:12:23,Buy Up,5000.0,53000.0,0.0
HVT,10:11:39,Buy Up,10000.0,53000.0,0.0
HVT,10:08:53,Buy Up,5000.0,53000.0,0.0
HVT,10:08:03,Buy Up,5000.0,53000.0,1000.0
HVT,10:06:51,Buy Up,800.0,52000.0,-1000.0
HVT,10:01:40,Buy Up,700.0,53000.0,0.0
HVT,09:57:09,Buy Up,14600.0,53000.0,500.0
HVT,09:51:45,Buy Up,500.0,52500.0,800.0
HVT,09:43:53,Sell Down,1400.0,51700.0,0.0
HVT,09:29:53,Sell Down,200.0,51700.0,100.0
HVT,09:12:12,Sell Down,6000.0,51600.0,0.0
HVT,09:07:42,Buy Up,3000.0,51600.0,0.0
HVT,09:06:33,Buy Up,3000.0,51600.0,0.0
HVT,09:03:18,Buy Up,12000.0,51600.0,0.0
HVT,09:02:24,Buy Up,2000.0,51600.0,0.0
