ticker,time,orderType,volume,price,prevPriceChange
HVX,13:22:38,Buy Up,200.0,3040.0,10.0
HVX,13:05:46,Buy Up,900.0,3030.0,0.0
HVX,13:05:24,Sell Down,100.0,3030.0,0.0
HVX,13:00:02,Sell Down,100.0,3030.0,-20.0
HVX,11:22:38,Sell Down,1000.0,3050.0,-30.0
HVX,11:15:54,Buy Up,100.0,3080.0,0.0
HVX,11:15:54,Buy Up,100.0,3080.0,10.0
HVX,11:15:36,Buy Up,100.0,3070.0,20.0
HVX,11:12:50,Buy Up,200.0,3050.0,0.0
HVX,11:08:58,Buy Up,100.0,3050.0,0.0
HVX,10:52:25,Buy Up,100.0,3050.0,0.0
HVX,09:17:24,Sell Down,300.0,3050.0,-50.0
HVX,09:17:09,Sell Down,100.0,3100.0,0.0
