ticker,time,orderType,volume,price,prevPriceChange
L18,13:36:00,Buy Up,100.0,42900.0,0.0
L18,13:35:30,Buy Up,500.0,42900.0,0.0
L18,13:23:12,Buy Up,1800.0,42900.0,0.0
L18,13:21:22,Buy Up,200.0,42900.0,0.0
L18,13:19:48,Buy Up,1000.0,42900.0,300.0
L18,13:19:28,Sell Down,100.0,42600.0,-200.0
L18,13:19:24,Buy Up,100.0,42800.0,200.0
L18,13:17:33,Sell Down,800.0,42600.0,-100.0
L18,13:15:49,Buy Up,100.0,42700.0,0.0
L18,13:15:15,Buy Up,400.0,42700.0,0.0
L18,13:13:04,Sell Down,2600.0,42700.0,0.0
L18,13:03:41,Buy Up,2000.0,42700.0,0.0
L18,13:03:09,Sell Down,2000.0,42700.0,-100.0
L18,13:02:40,Buy Up,100.0,42800.0,0.0
L18,13:01:11,Buy Up,300.0,42800.0,0.0
L18,13:00:06,Sell Down,400.0,42800.0,-100.0
L18,11:29:46,Buy Up,1000.0,42900.0,100.0
L18,11:26:39,Sell Down,1000.0,42800.0,100.0
L18,11:13:49,Sell Down,1000.0,42700.0,0.0
L18,10:53:54,Sell Down,200.0,42700.0,0.0
L18,10:53:28,Sell Down,800.0,42700.0,0.0
L18,10:33:42,Sell Down,1500.0,42700.0,-100.0
L18,10:16:46,Sell Down,100.0,42800.0,0.0
L18,10:05:22,Buy Up,300.0,42800.0,100.0
L18,09:54:33,Sell Down,3000.0,42700.0,0.0
L18,09:42:38,Sell Down,100.0,42700.0,200.0
L18,09:24:25,Buy Up,400.0,42500.0,0.0
L18,09:24:10,Buy Up,1600.0,42500.0,0.0
L18,09:21:07,Sell Down,1000.0,42500.0,0.0
L18,09:20:16,Sell Down,2000.0,42500.0,-700.0
L18,09:15:27,Buy Up,500.0,43200.0,0.0
L18,09:08:52,Sell Down,300.0,43200.0,0.0
L18,09:06:09,Sell Down,500.0,43200.0,0.0
L18,09:04:35,Sell Down,100.0,43200.0,0.0
