ticker,time,orderType,volume,price,prevPriceChange
LGL,10:45:50,Buy Up,500.0,4200.0,0.0
LGL,10:45:08,Buy Up,1000.0,4200.0,0.0
LGL,10:42:50,Buy Up,5100.0,4200.0,0.0
LGL,10:40:20,Buy Up,1000.0,4200.0,0.0
LGL,10:39:14,Buy Up,1800.0,4200.0,0.0
LGL,10:35:41,Buy Up,100.0,4200.0,10.0
LGL,10:34:46,Sell Down,2000.0,4190.0,0.0
LGL,10:34:10,Sell Down,2700.0,4190.0,0.0
LGL,10:33:31,Sell Down,2300.0,4190.0,0.0
LGL,10:33:31,Sell Down,2700.0,4190.0,0.0
LGL,10:29:10,Sell Down,200.0,4190.0,0.0
LGL,10:25:18,Sell Down,2100.0,4190.0,0.0
LGL,10:25:18,Sell Down,2000.0,4190.0,0.0
LGL,10:25:18,Sell Down,900.0,4190.0,0.0
LGL,10:22:33,Sell Down,200.0,4190.0,0.0
LGL,10:22:33,Sell Down,1400.0,4190.0,0.0
LGL,10:22:33,Sell Down,400.0,4190.0,0.0
LGL,10:22:17,Sell Down,100.0,4190.0,0.0
LGL,10:17:36,Sell Down,1000.0,4190.0,0.0
LGL,10:17:04,Sell Down,500.0,4190.0,0.0
LGL,10:17:03,Sell Down,500.0,4190.0,-10.0
LGL,10:16:45,Buy Up,200.0,4200.0,10.0
LGL,10:15:52,Sell Down,500.0,4190.0,-10.0
LGL,10:15:11,Buy Up,200.0,4200.0,0.0
LGL,10:15:11,Buy Up,2700.0,4200.0,0.0
LGL,10:15:00,Sell Down,100.0,4200.0,0.0
LGL,10:14:49,Sell Down,500.0,4200.0,0.0
LGL,10:14:49,Sell Down,1500.0,4200.0,0.0
LGL,10:14:49,Sell Down,4000.0,4200.0,0.0
LGL,10:14:49,Sell Down,1000.0,4200.0,0.0
LGL,10:14:49,Sell Down,200.0,4200.0,0.0
LGL,10:14:36,Buy Up,200.0,4200.0,0.0
LGL,10:14:21,Buy Up,100.0,4200.0,10.0
LGL,10:13:04,Buy Up,1000.0,4190.0,0.0
LGL,10:12:00,Sell Down,1000.0,4190.0,0.0
LGL,10:11:39,Sell Down,300.0,4190.0,0.0
LGL,10:08:57,Buy Up,500.0,4190.0,0.0
LGL,10:08:27,Buy Up,1000.0,4190.0,0.0
LGL,10:08:27,Buy Up,500.0,4190.0,10.0
LGL,10:07:48,Sell Down,500.0,4180.0,-10.0
LGL,10:06:06,Sell Down,1000.0,4190.0,0.0
LGL,10:02:35,Buy Up,1000.0,4190.0,0.0
LGL,10:01:46,Buy Up,600.0,4190.0,-10.0
LGL,10:00:20,Buy Up,900.0,4200.0,0.0
LGL,10:00:20,Buy Up,1100.0,4200.0,0.0
LGL,09:59:36,Buy Up,100.0,4200.0,0.0
LGL,09:59:22,Buy Up,100.0,4200.0,0.0
LGL,09:59:10,Sell Down,300.0,4200.0,-10.0
LGL,09:57:30,Sell Down,400.0,4210.0,-10.0
LGL,09:57:07,Buy Up,100.0,4220.0,10.0
LGL,09:57:07,Buy Up,400.0,4210.0,0.0
LGL,09:57:05,Sell Down,400.0,4210.0,0.0
LGL,09:57:05,Sell Down,200.0,4210.0,0.0
LGL,09:56:01,Buy Up,800.0,4210.0,0.0
LGL,09:55:14,Buy Up,200.0,4210.0,0.0
LGL,09:55:14,Buy Up,1300.0,4210.0,0.0
LGL,09:55:06,Buy Up,4400.0,4210.0,0.0
LGL,09:52:49,Buy Up,500.0,4210.0,0.0
LGL,09:52:38,Buy Up,300.0,4210.0,0.0
LGL,09:52:37,Sell Down,2500.0,4210.0,0.0
