ticker,time,orderType,volume,price,prevPriceChange
MCH,10:53:18,Sell Down,1400.0,90500.0,0.0
MCH,10:40:52,Sell Down,5000.0,90500.0,0.0
MCH,10:22:52,Sell Down,8200.0,90500.0,0.0
MCH,10:22:25,Buy Up,100.0,90500.0,0.0
MCH,10:21:42,Buy Up,1700.0,90500.0,0.0
MCH,10:09:53,Buy Up,5000.0,90500.0,0.0
MCH,10:09:38,Buy Up,3000.0,90500.0,0.0
MCH,10:09:26,Buy Up,5000.0,90500.0,-500.0
MCH,10:07:13,Buy Up,500.0,91000.0,0.0
MCH,09:52:54,Sell Down,600.0,91000.0,0.0
MCH,09:51:44,Buy Up,200.0,91000.0,0.0
MCH,09:51:40,Buy Up,200.0,91000.0,0.0
MCH,09:48:21,Buy Up,1000.0,91000.0,0.0
MCH,09:44:28,Buy Up,100.0,91000.0,0.0
MCH,09:39:23,Sell Down,400.0,91000.0,0.0
MCH,09:25:39,Buy Up,200.0,91000.0,0.0
MCH,09:24:16,Buy Up,200.0,91000.0,0.0
MCH,09:22:01,Buy Up,400.0,91000.0,0.0
MCH,09:19:32,Buy Up,100.0,91000.0,0.0
MCH,09:06:30,Buy Up,200.0,91000.0,-500.0
MCH,09:00:06,Buy Up,1000.0,91500.0,0.0
