ticker,time,orderType,volume,price,prevPriceChange
MSB,11:28:32,Sell Down,1900,13450.0,0.0
MSB,11:28:32,Sell Down,100,13450.0,0.0
MSB,11:28:32,Sell Down,1000,13450.0,0.0
MSB,11:28:32,Sell Down,7000,13450.0,0.0
MSB,11:28:28,Sell Down,23000,13450.0,0.0
MSB,11:28:28,Sell Down,10000,13450.0,0.0
MSB,11:28:28,Sell Down,300,13450.0,0.0
MSB,11:28:28,Sell Down,5000,13450.0,0.0
MSB,11:28:28,Sell Down,25000,13450.0,0.0
MSB,11:28:28,Sell Down,20000,13450.0,0.0
MSB,11:28:28,Sell Down,1000,13450.0,0.0
MSB,11:28:28,Sell Down,9000,13450.0,0.0
MSB,11:28:28,Sell Down,2000,13450.0,0.0
MSB,11:28:28,Sell Down,500,13450.0,0.0
MSB,11:28:28,Sell Down,100,13450.0,0.0
MSB,11:28:28,Sell Down,2000,13450.0,0.0
MSB,11:28:28,Sell Down,2100,13450.0,0.0
MSB,11:28:12,Sell Down,100,13450.0,0.0
MSB,11:28:12,Sell Down,400,13450.0,0.0
MSB,11:28:01,Sell Down,500,13450.0,0.0
MSB,11:27:52,Sell Down,100,13450.0,0.0
MSB,11:27:51,Sell Down,1000,13450.0,0.0
MSB,11:27:29,Sell Down,3400,13450.0,0.0
MSB,11:27:29,Sell Down,1600,13450.0,0.0
MSB,11:27:21,Sell Down,300,13450.0,0.0
MSB,11:27:18,Sell Down,100,13450.0,0.0
MSB,11:27:18,Sell Down,100,13450.0,0.0
MSB,11:27:18,Sell Down,200,13450.0,0.0
MSB,11:27:18,Sell Down,2100,13450.0,0.0
MSB,11:27:18,Sell Down,1000,13450.0,0.0
MSB,11:27:18,Sell Down,1500,13450.0,0.0
MSB,11:27:10,Sell Down,2000,13450.0,0.0
MSB,11:27:07,Sell Down,200,13450.0,0.0
MSB,11:27:07,Sell Down,1000,13450.0,0.0
MSB,11:26:58,Sell Down,5000,13450.0,0.0
MSB,11:26:46,Sell Down,2000,13450.0,-50.0
MSB,11:26:34,Buy Up,1000,13500.0,50.0
MSB,11:26:33,Sell Down,500,13450.0,0.0
MSB,11:26:33,Sell Down,2000,13450.0,0.0
MSB,11:26:30,Sell Down,900,13450.0,0.0
MSB,11:26:27,Sell Down,5000,13450.0,0.0
MSB,11:26:27,Sell Down,100,13450.0,0.0
MSB,11:26:14,Sell Down,2400,13450.0,-50.0
