ticker,time,orderType,volume,price,prevPriceChange
OCH,11:16:02,Buy Up,100.0,7400.0,0.0
OCH,11:15:45,Buy Up,200.0,7400.0,0.0
OCH,11:14:16,Buy Up,1200.0,7400.0,0.0
OCH,11:03:57,Buy Up,2900.0,7400.0,0.0
OCH,10:47:23,Buy Up,100.0,7400.0,0.0
OCH,10:47:13,Buy Up,100.0,7400.0,0.0
OCH,10:36:11,Buy Up,500.0,7400.0,0.0
OCH,10:31:24,Buy Up,500.0,7400.0,0.0
OCH,10:16:27,Buy Up,500.0,7400.0,0.0
OCH,09:59:52,Sell Down,3700.0,7400.0,0.0
OCH,09:42:30,Sell Down,300.0,7400.0,-100.0
OCH,09:37:35,Sell Down,4700.0,7500.0,0.0
OCH,09:32:58,Buy Up,300.0,7500.0,0.0
OCH,09:32:00,Buy Up,3500.0,7500.0,0.0
OCH,09:23:57,Buy Up,400.0,7500.0,0.0
OCH,09:23:05,Sell Down,2600.0,7500.0,0.0
OCH,09:22:08,Buy Up,500.0,7500.0,0.0
OCH,09:21:15,Buy Up,3000.0,7500.0,0.0
OCH,09:20:09,Buy Up,3500.0,7500.0,100.0
OCH,09:15:00,Buy Up,100.0,7400.0,0.0
OCH,09:14:54,Buy Up,100.0,7400.0,0.0
OCH,09:14:43,Buy Up,300.0,7400.0,0.0
OCH,09:14:24,Buy Up,100.0,7400.0,0.0
OCH,09:13:47,Buy Up,1500.0,7400.0,0.0
OCH,09:11:57,Buy Up,100.0,7400.0,100.0
OCH,09:06:10,Buy Up,100.0,7300.0,0.0
