ticker,time,orderType,volume,price,prevPriceChange
PAT,11:20:43,Buy Up,100.0,93000.0,0.0
PAT,11:20:17,Buy Up,300.0,93000.0,300.0
PAT,11:17:42,Buy Up,1100.0,92700.0,100.0
PAT,10:54:06,Sell Down,100.0,92600.0,-400.0
PAT,10:52:46,Sell Down,100.0,93000.0,0.0
PAT,10:52:30,Sell Down,100.0,93000.0,0.0
PAT,10:46:23,Sell Down,100.0,93000.0,0.0
PAT,10:45:04,Buy Up,1600.0,93000.0,0.0
PAT,10:43:45,Buy Up,700.0,93000.0,500.0
PAT,10:36:39,Sell Down,300.0,92500.0,300.0
PAT,10:32:48,Sell Down,100.0,92200.0,-800.0
PAT,10:27:16,Buy Up,100.0,93000.0,-100.0
PAT,10:26:23,Buy Up,100.0,93100.0,0.0
PAT,10:24:27,Buy Up,100.0,93100.0,-900.0
PAT,09:44:21,Sell Down,100.0,94000.0,0.0
PAT,09:41:31,Sell Down,900.0,94000.0,500.0
PAT,09:41:14,Sell Down,900.0,93500.0,100.0
PAT,09:40:48,Sell Down,900.0,93400.0,0.0
PAT,09:40:05,Buy Up,1000.0,93400.0,100.0
PAT,09:39:26,Buy Up,1200.0,93300.0,100.0
PAT,09:38:58,Buy Up,300.0,93200.0,100.0
PAT,09:38:29,Buy Up,1800.0,93100.0,-100.0
PAT,09:26:32,Buy Up,200.0,93200.0,-200.0
PAT,09:21:46,Buy Up,2000.0,93400.0,400.0
PAT,09:21:00,Sell Down,100.0,93000.0,0.0
PAT,09:20:43,Sell Down,100.0,93000.0,0.0
PAT,09:19:47,Sell Down,1800.0,93000.0,0.0
