ticker,time,orderType,volume,price,prevPriceChange
PCH,11:17:36,Buy Up,200.0,10100.0,100.0
PCH,11:14:06,Sell Down,100.0,10000.0,-100.0
PCH,10:44:39,Buy Up,200.0,10100.0,200.0
PCH,10:44:19,Sell Down,7000.0,9900.0,-100.0
PCH,10:43:43,Sell Down,200.0,10000.0,-100.0
PCH,10:28:50,Buy Up,200.0,10100.0,100.0
PCH,10:17:30,Sell Down,200.0,10000.0,-100.0
PCH,10:03:42,Buy Up,100.0,10100.0,0.0
PCH,09:29:00,Buy Up,300.0,10100.0,-400.0
PCH,09:06:11,Buy Up,100.0,10500.0,300.0
PCH,09:06:02,Buy Up,500.0,10200.0,0.0
