ticker,time,orderType,volume,price,prevPriceChange
PFL,13:41:42,Sell Down,3000.0,2600.0,0.0
PFL,13:35:25,Sell Down,100.0,2600.0,0.0
PFL,13:13:31,Sell Down,100.0,2600.0,-100.0
PFL,13:08:32,Buy Up,100.0,2700.0,0.0
PFL,13:00:04,Buy Up,200.0,2700.0,0.0
PFL,13:00:03,Buy Up,1200.0,2700.0,100.0
PFL,13:00:01,Sell Down,200.0,2600.0,-100.0
PFL,11:29:21,Buy Up,1000.0,2700.0,0.0
PFL,11:26:16,Buy Up,100.0,2700.0,0.0
PFL,11:24:25,Buy Up,22400.0,2700.0,100.0
PFL,11:22:35,Sell Down,37000.0,2600.0,-100.0
PFL,10:45:28,Buy Up,100.0,2700.0,0.0
PFL,10:40:40,Buy Up,5000.0,2700.0,0.0
PFL,10:01:22,Buy Up,1000.0,2700.0,0.0
PFL,09:56:12,Buy Up,2000.0,2700.0,0.0
PFL,09:53:32,Buy Up,100.0,2700.0,0.0
PFL,09:49:47,Buy Up,300.0,2700.0,0.0
PFL,09:49:22,Buy Up,100.0,2700.0,100.0
PFL,09:40:32,Sell Down,2300.0,2600.0,-100.0
PFL,09:32:07,Buy Up,900.0,2700.0,0.0
PFL,09:30:58,Buy Up,2000.0,2700.0,0.0
PFL,09:29:06,Buy Up,10000.0,2700.0,100.0
PFL,09:22:18,Sell Down,300.0,2600.0,-100.0
PFL,09:19:36,Buy Up,100.0,2700.0,100.0
PFL,09:18:12,Sell Down,100.0,2600.0,-100.0
PFL,09:17:50,Buy Up,300.0,2700.0,0.0
PFL,09:17:14,Buy Up,200.0,2700.0,0.0
PFL,09:16:18,Buy Up,59900.0,2700.0,0.0
PFL,09:11:28,Buy Up,100.0,2700.0,100.0
PFL,09:05:59,Sell Down,3000.0,2600.0,0.0
