ticker,time,orderType,volume,price,prevPriceChange
PGB,11:02:40,Buy Up,100.0,26000.0,0.0
PGB,11:01:33,Buy Up,1100.0,26000.0,0.0
PGB,10:55:50,Sell Down,1400.0,26000.0,0.0
PGB,10:51:54,Sell Down,1900.0,26000.0,-1000.0
PGB,10:41:54,Buy Up,200.0,27000.0,1000.0
PGB,10:41:21,Sell Down,2900.0,26000.0,-200.0
PGB,10:38:12,Sell Down,2000.0,26200.0,-800.0
PGB,10:20:22,Buy Up,300.0,27000.0,1000.0
PGB,10:19:20,Sell Down,5200.0,26000.0,-1000.0
PGB,10:08:31,Buy Up,500.0,27000.0,0.0
PGB,10:08:13,Buy Up,200.0,27000.0,1000.0
PGB,10:07:49,Sell Down,9800.0,26000.0,-300.0
PGB,10:05:55,Sell Down,2400.0,26300.0,-700.0
PGB,10:04:33,Sell Down,100.0,27000.0,-100.0
PGB,10:00:36,Buy Up,300.0,27100.0,800.0
PGB,09:59:44,Sell Down,3800.0,26300.0,100.0
PGB,09:59:26,Sell Down,2500.0,26200.0,-100.0
PGB,09:59:09,Sell Down,3200.0,26300.0,-900.0
PGB,09:52:14,Buy Up,500.0,27200.0,800.0
PGB,09:51:55,Sell Down,1200.0,26400.0,0.0
PGB,09:49:42,Sell Down,2900.0,26400.0,-800.0
PGB,09:42:51,Buy Up,10000.0,27200.0,800.0
PGB,09:39:19,Sell Down,100.0,26400.0,0.0
PGB,09:38:39,Sell Down,200.0,26400.0,-400.0
PGB,09:37:14,Buy Up,100.0,26800.0,0.0
PGB,09:01:44,Buy Up,100.0,26800.0,0.0
