ticker,time,orderType,volume,price,prevPriceChange
PSI,10:37:33,Sell Down,3000.0,9000.0,0.0
PSI,10:36:54,Sell Down,4000.0,9000.0,0.0
PSI,10:35:35,Sell Down,1000.0,9000.0,0.0
PSI,10:34:53,Sell Down,10100.0,9000.0,0.0
PSI,10:33:41,Sell Down,5600.0,9000.0,0.0
PSI,10:28:23,Sell Down,200.0,9000.0,0.0
PSI,10:21:35,Sell Down,200.0,9000.0,0.0
PSI,10:15:21,Sell Down,400.0,9000.0,0.0
PSI,10:14:01,Sell Down,1000.0,9000.0,0.0
PSI,10:13:24,Sell Down,100.0,9000.0,0.0
PSI,10:13:21,Sell Down,100.0,9000.0,0.0
PSI,10:13:15,Sell Down,200.0,9000.0,0.0
PSI,10:13:11,Sell Down,200.0,9000.0,0.0
PSI,10:13:03,Sell Down,200.0,9000.0,0.0
PSI,10:13:00,Sell Down,200.0,9000.0,0.0
PSI,10:12:55,Sell Down,200.0,9000.0,0.0
PSI,10:12:24,Sell Down,500.0,9000.0,0.0
PSI,10:11:49,Sell Down,2000.0,9000.0,0.0
PSI,10:11:39,Sell Down,2000.0,9000.0,0.0
PSI,10:10:17,Sell Down,300.0,9000.0,0.0
PSI,10:10:02,Sell Down,2000.0,9000.0,0.0
PSI,10:09:59,Sell Down,900.0,9000.0,0.0
PSI,10:09:42,Sell Down,100.0,9000.0,0.0
PSI,10:09:25,Sell Down,600.0,9000.0,-100.0
PSI,09:51:28,Buy Up,400.0,9100.0,0.0
PSI,09:50:07,Buy Up,5000.0,9100.0,0.0
PSI,09:48:34,Buy Up,1600.0,9100.0,0.0
PSI,09:47:36,Buy Up,1000.0,9100.0,0.0
PSI,09:46:56,Buy Up,100.0,9100.0,0.0
PSI,09:44:52,Buy Up,1000.0,9100.0,0.0
PSI,09:42:37,Buy Up,6500.0,9100.0,100.0
PSI,09:42:33,Sell Down,2600.0,9000.0,-100.0
PSI,09:41:08,Buy Up,8800.0,9100.0,100.0
PSI,09:40:15,Buy Up,900.0,9000.0,0.0
PSI,09:39:43,Buy Up,3100.0,9000.0,0.0
PSI,09:38:52,Sell Down,8100.0,9000.0,0.0
PSI,09:37:49,Sell Down,600.0,9000.0,0.0
PSI,09:37:32,Sell Down,3300.0,9000.0,0.0
PSI,09:36:26,Sell Down,100.0,9000.0,0.0
PSI,09:35:06,Sell Down,1000.0,9000.0,0.0
PSI,09:34:30,Buy Up,18900.0,9000.0,100.0
PSI,09:32:41,Sell Down,1000.0,8900.0,0.0
PSI,09:32:03,Sell Down,5000.0,8900.0,-100.0
PSI,09:27:55,Buy Up,1000.0,9000.0,0.0
PSI,09:26:33,Buy Up,300.0,9000.0,0.0
PSI,09:25:42,Buy Up,100.0,9000.0,0.0
PSI,09:19:17,Buy Up,3000.0,9000.0,100.0
PSI,09:18:14,Sell Down,100.0,8900.0,0.0
PSI,09:10:55,Sell Down,19600.0,8900.0,0.0
PSI,09:00:24,Buy Up,4400.0,8900.0,0.0
PSI,09:00:22,Buy Up,500.0,8900.0,100.0
PSI,09:00:20,Sell Down,100.0,8800.0,-100.0
PSI,09:00:17,Buy Up,500.0,8900.0,0.0
