ticker,time,orderType,volume,price,prevPriceChange
PVD,13:00:29,Sell Down,100,28250.0,0.0
PVD,13:00:21,Sell Down,2000,28250.0,-50.0
PVD,13:00:08,Buy Up,500,28300.0,0.0
PVD,13:00:05,Buy Up,1000,28300.0,0.0
PVD,13:00:04,Buy Up,2000,28300.0,50.0
PVD,13:00:02,Sell Down,500,28250.0,0.0
PVD,13:00:01,Sell Down,700,28250.0,0.0
PVD,13:00:01,Sell Down,500,28250.0,0.0
PVD,13:00:00,Sell Down,300,28250.0,0.0
PVD,13:00:00,Sell Down,500,28250.0,0.0
PVD,13:00:00,Sell Down,100,28250.0,0.0
PVD,13:00:00,Sell Down,500,28250.0,0.0
PVD,13:00:00,Sell Down,500,28250.0,0.0
PVD,13:00:00,Sell Down,2000,28250.0,0.0
PVD,13:00:00,Sell Down,700,28250.0,0.0
PVD,13:00:00,Sell Down,2400,28250.0,0.0
PVD,13:00:00,Sell Down,1100,28250.0,0.0
PVD,11:29:51,Sell Down,300,28250.0,-50.0
PVD,11:29:28,Buy Up,200,28300.0,0.0
PVD,11:29:25,Buy Up,300,28300.0,0.0
PVD,11:29:22,Buy Up,500,28300.0,0.0
PVD,11:29:22,Buy Up,2000,28300.0,0.0
PVD,11:29:22,Buy Up,100,28300.0,0.0
PVD,11:29:22,Buy Up,200,28300.0,0.0
PVD,11:28:58,Buy Up,200,28300.0,50.0
PVD,11:28:57,Sell Down,200,28250.0,-50.0
PVD,11:28:33,Buy Up,100,28300.0,50.0
PVD,11:28:27,Sell Down,200,28250.0,0.0
PVD,11:28:00,Sell Down,2000,28250.0,0.0
PVD,11:27:57,Sell Down,200,28250.0,0.0
PVD,11:27:44,Sell Down,100,28250.0,0.0
PVD,11:27:27,Sell Down,2000,28250.0,0.0
PVD,11:27:26,Sell Down,200,28250.0,0.0
PVD,11:26:56,Sell Down,200,28250.0,0.0
PVD,11:26:52,Sell Down,1300,28250.0,0.0
PVD,11:26:26,Sell Down,200,28250.0,0.0
PVD,11:26:21,Sell Down,100,28250.0,0.0
PVD,11:26:01,Sell Down,1500,28250.0,0.0
PVD,11:25:56,Sell Down,200,28250.0,0.0
PVD,11:25:41,Sell Down,1800,28250.0,0.0
PVD,11:25:26,Sell Down,200,28250.0,0.0
PVD,11:24:59,Sell Down,100,28250.0,0.0
PVD,11:24:56,Sell Down,200,28250.0,0.0
PVD,11:24:55,Sell Down,300,28250.0,0.0
PVD,11:24:26,Sell Down,200,28250.0,-50.0
PVD,11:24:17,Buy Up,900,28300.0,50.0
PVD,11:23:56,Sell Down,200,28250.0,-50.0
PVD,11:23:54,Buy Up,500,28300.0,0.0
PVD,11:23:47,Buy Up,900,28300.0,0.0
PVD,11:23:47,Buy Up,100,28300.0,0.0
PVD,11:23:30,Buy Up,200,28300.0,50.0
PVD,11:23:26,Sell Down,200,28250.0,0.0
PVD,11:22:56,Sell Down,200,28250.0,-50.0
PVD,11:22:26,Buy Up,400,28300.0,0.0
PVD,11:22:26,Buy Up,1600,28300.0,50.0
PVD,11:22:26,Sell Down,200,28250.0,-50.0
PVD,11:22:25,Buy Up,100,28300.0,0.0
PVD,11:22:20,Buy Up,300,28300.0,0.0
PVD,11:22:20,Buy Up,100,28300.0,0.0
PVD,11:22:20,Buy Up,200,28300.0,0.0
PVD,11:22:20,Buy Up,100,28300.0,0.0
PVD,11:22:20,Buy Up,1000,28300.0,0.0
PVD,11:22:20,Buy Up,700,28300.0,0.0
PVD,11:22:20,Buy Up,500,28300.0,0.0
PVD,11:22:20,Buy Up,100,28300.0,0.0
PVD,11:22:18,Buy Up,400,28300.0,0.0
PVD,11:21:56,Buy Up,300,28300.0,0.0
PVD,11:21:56,Buy Up,1000,28300.0,0.0
PVD,11:21:56,Buy Up,500,28300.0,0.0
PVD,11:21:56,Buy Up,200,28300.0,0.0
PVD,11:21:56,Buy Up,3000,28300.0,50.0
PVD,11:21:56,Sell Down,200,28250.0,-50.0
PVD,11:21:40,Buy Up,7000,28300.0,0.0
PVD,11:21:40,Buy Up,1000,28300.0,0.0
PVD,11:21:40,Buy Up,2000,28300.0,50.0
PVD,11:21:25,Sell Down,200,28250.0,-50.0
PVD,11:21:16,Buy Up,500,28300.0,0.0
PVD,11:20:59,Buy Up,500,28300.0,50.0
PVD,11:20:56,Sell Down,200,28250.0,0.0
PVD,11:20:54,Sell Down,100,28250.0,0.0
PVD,11:20:25,Sell Down,200,28250.0,0.0
PVD,11:20:14,Sell Down,20000,28250.0,0.0
PVD,11:19:55,Sell Down,200,28250.0,-50.0
PVD,11:19:49,Buy Up,100,28300.0,50.0
PVD,11:19:30,Sell Down,200,28250.0,0.0
PVD,11:19:25,Sell Down,200,28250.0,-50.0
PVD,11:19:14,Buy Up,500,28300.0,0.0
PVD,11:19:07,Buy Up,500,28300.0,50.0
PVD,11:18:55,Sell Down,200,28250.0,0.0
PVD,11:18:32,Sell Down,1000,28250.0,0.0
PVD,11:18:25,Sell Down,200,28250.0,-50.0
PVD,11:18:12,Buy Up,500,28300.0,50.0
PVD,11:18:08,Sell Down,100,28250.0,0.0
PVD,11:17:55,Sell Down,200,28250.0,-50.0
PVD,11:17:37,Buy Up,400,28300.0,0.0
PVD,11:17:37,Buy Up,200,28300.0,0.0
PVD,11:17:37,Buy Up,400,28300.0,50.0
PVD,11:17:26,Sell Down,4000,28250.0,0.0
PVD,11:17:25,Sell Down,200,28250.0,0.0
PVD,11:17:14,Sell Down,500,28250.0,0.0
PVD,11:16:55,Sell Down,200,28250.0,0.0
PVD,11:16:51,Sell Down,1100,28250.0,0.0
PVD,11:16:51,Sell Down,1900,28250.0,0.0
PVD,11:16:46,Sell Down,100,28250.0,0.0
PVD,11:16:25,Sell Down,200,28250.0,0.0
PVD,11:16:15,Sell Down,10000,28250.0,0.0
PVD,11:15:55,Sell Down,200,28250.0,0.0
PVD,11:15:50,Sell Down,200,28250.0,0.0
PVD,11:15:30,Sell Down,1000,28250.0,0.0
PVD,11:15:25,Sell Down,200,28250.0,0.0
PVD,11:15:24,Sell Down,100,28250.0,0.0
PVD,11:15:01,Sell Down,5000,28250.0,0.0
PVD,11:14:55,Sell Down,200,28250.0,0.0
PVD,11:14:24,Sell Down,200,28250.0,0.0
PVD,11:14:06,Buy Up,5000,28250.0,0.0
PVD,11:14:06,Buy Up,700,28250.0,50.0
PVD,11:14:03,Sell Down,100,28200.0,0.0
PVD,11:13:54,Sell Down,200,28200.0,0.0
PVD,11:13:24,Sell Down,200,28200.0,-50.0
PVD,11:13:24,Buy Up,2000,28250.0,0.0
PVD,11:13:19,Sell Down,300,28250.0,0.0
PVD,11:13:12,Buy Up,1700,28250.0,0.0
PVD,11:12:54,Sell Down,2000,28250.0,0.0
PVD,11:12:54,Sell Down,5600,28250.0,0.0
PVD,11:12:54,Sell Down,400,28250.0,0.0
PVD,11:12:54,Sell Down,10300,28250.0,0.0
PVD,11:12:54,Sell Down,200,28250.0,0.0
PVD,11:12:40,Sell Down,100,28250.0,0.0
PVD,11:12:29,Sell Down,9400,28250.0,0.0
PVD,11:12:29,Sell Down,5000,28250.0,0.0
PVD,11:12:29,Sell Down,500,28250.0,0.0
PVD,11:12:29,Sell Down,400,28250.0,0.0
PVD,11:12:25,Sell Down,100,28250.0,0.0
PVD,11:12:24,Sell Down,200,28250.0,0.0
PVD,11:11:54,Sell Down,200,28250.0,-50.0
PVD,11:11:36,Buy Up,600,28300.0,50.0
PVD,11:11:24,Sell Down,100,28250.0,0.0
PVD,11:11:24,Sell Down,100,28250.0,0.0
PVD,11:11:20,Sell Down,100,28250.0,0.0
PVD,11:11:20,Sell Down,100,28250.0,0.0
PVD,11:11:18,Sell Down,100,28250.0,0.0
PVD,11:10:57,Sell Down,1000,28250.0,0.0
PVD,11:10:54,Sell Down,200,28250.0,0.0
PVD,11:10:24,Sell Down,200,28250.0,0.0
PVD,11:09:56,Sell Down,100,28250.0,0.0
PVD,11:09:54,Sell Down,200,28250.0,-50.0
PVD,11:09:40,Buy Up,1000,28300.0,0.0
PVD,11:09:40,Buy Up,1000,28300.0,0.0
PVD,11:09:26,Buy Up,1000,28300.0,50.0
PVD,11:09:24,Buy Up,200,28250.0,0.0
PVD,11:09:13,Sell Down,400,28250.0,0.0
PVD,11:09:13,Sell Down,1000,28250.0,0.0
PVD,11:09:13,Sell Down,600,28250.0,0.0
PVD,11:09:13,Sell Down,400,28250.0,0.0
PVD,11:09:11,Buy Up,1300,28250.0,0.0
PVD,11:09:11,Buy Up,600,28250.0,0.0
PVD,11:09:11,Buy Up,100,28250.0,0.0
PVD,11:09:00,Buy Up,2000,28250.0,50.0
PVD,11:08:53,Sell Down,200,28200.0,-50.0
PVD,11:08:50,Buy Up,200,28250.0,0.0
PVD,11:08:42,Buy Up,500,28250.0,0.0
PVD,11:08:36,Buy Up,1000,28250.0,0.0
PVD,11:08:36,Buy Up,1000,28250.0,50.0
PVD,11:08:33,Sell Down,100,28200.0,0.0
PVD,11:08:23,Sell Down,200,28200.0,-50.0
PVD,11:08:17,Buy Up,1600,28250.0,50.0
PVD,11:07:53,Sell Down,200,28200.0,0.0
PVD,11:07:23,Sell Down,200,28200.0,-50.0
PVD,11:07:09,Buy Up,400,28250.0,0.0
PVD,11:06:55,Buy Up,500,28250.0,50.0
PVD,11:06:53,Sell Down,200,28200.0,0.0
PVD,11:06:46,Sell Down,700,28200.0,-50.0
PVD,11:06:45,Buy Up,1500,28250.0,50.0
PVD,11:06:23,Sell Down,200,28200.0,-50.0
PVD,11:06:21,Buy Up,5000,28250.0,50.0
PVD,11:05:53,Sell Down,200,28200.0,0.0
PVD,11:05:49,Buy Up,100,28200.0,0.0
PVD,11:05:49,Buy Up,1900,28200.0,0.0
PVD,11:05:32,Buy Up,2000,28200.0,50.0
PVD,11:05:23,Sell Down,200,28150.0,-50.0
PVD,11:05:21,Sell Down,300,28200.0,0.0
PVD,11:05:21,Sell Down,5000,28200.0,0.0
PVD,11:05:21,Sell Down,10000,28200.0,0.0
PVD,11:05:21,Sell Down,1400,28200.0,0.0
PVD,11:05:21,Sell Down,1000,28200.0,0.0
PVD,11:05:21,Sell Down,8600,28200.0,-50.0
PVD,11:05:21,Sell Down,300,28250.0,0.0
PVD,11:05:21,Sell Down,1000,28250.0,0.0
PVD,11:05:21,Sell Down,200,28250.0,0.0
PVD,11:05:21,Sell Down,500,28250.0,0.0
PVD,11:05:21,Sell Down,1700,28250.0,0.0
PVD,11:05:21,Sell Down,1600,28250.0,0.0
PVD,11:05:10,Sell Down,600,28250.0,0.0
PVD,11:04:54,Sell Down,300,28250.0,0.0
PVD,11:04:54,Sell Down,2300,28250.0,0.0
PVD,11:04:54,Sell Down,800,28250.0,0.0
PVD,11:04:54,Sell Down,1700,28250.0,0.0
PVD,11:04:54,Sell Down,1700,28250.0,0.0
PVD,11:04:54,Sell Down,100,28250.0,0.0
PVD,11:04:54,Sell Down,100,28250.0,0.0
PVD,11:04:54,Sell Down,13000,28250.0,0.0
PVD,11:04:53,Sell Down,200,28250.0,0.0
PVD,11:04:49,Sell Down,500,28250.0,0.0
PVD,11:04:43,Sell Down,1300,28250.0,0.0
PVD,11:04:43,Sell Down,200,28250.0,0.0
PVD,11:04:43,Sell Down,1500,28250.0,-50.0
PVD,11:04:39,Buy Up,200,28300.0,0.0
PVD,11:04:39,Buy Up,100,28300.0,0.0
PVD,11:04:39,Buy Up,100,28300.0,0.0
PVD,11:04:39,Buy Up,100,28300.0,0.0
PVD,11:04:39,Buy Up,2000,28300.0,0.0
PVD,11:04:39,Buy Up,3000,28300.0,0.0
PVD,11:04:39,Buy Up,200,28300.0,0.0
PVD,11:04:39,Buy Up,100,28300.0,0.0
PVD,11:04:39,Buy Up,300,28300.0,0.0
PVD,11:04:39,Buy Up,100,28300.0,0.0
PVD,11:04:39,Buy Up,100,28300.0,0.0
PVD,11:04:39,Buy Up,9700,28300.0,0.0
PVD,11:04:39,Buy Up,500,28300.0,0.0
PVD,11:04:39,Buy Up,100,28300.0,0.0
PVD,11:04:39,Buy Up,1000,28300.0,0.0
PVD,11:04:39,Buy Up,500,28300.0,0.0
PVD,11:04:39,Buy Up,600,28300.0,0.0
PVD,11:04:39,Buy Up,100,28300.0,0.0
PVD,11:04:39,Buy Up,100,28300.0,0.0
PVD,11:04:39,Buy Up,5000,28300.0,0.0
PVD,11:04:39,Buy Up,100,28300.0,0.0
PVD,11:04:39,Buy Up,2000,28300.0,0.0
PVD,11:04:39,Buy Up,500,28300.0,0.0
PVD,11:04:39,Buy Up,3500,28300.0,50.0
PVD,11:04:28,Sell Down,600,28250.0,0.0
PVD,11:04:27,Sell Down,100,28250.0,0.0
PVD,11:04:23,Sell Down,200,28250.0,-50.0
PVD,11:04:16,Buy Up,500,28300.0,50.0
PVD,11:04:07,Sell Down,500,28250.0,0.0
PVD,11:03:53,Sell Down,200,28250.0,-50.0
PVD,11:03:49,Buy Up,500,28300.0,50.0
PVD,11:03:46,Sell Down,600,28250.0,0.0
PVD,11:03:34,Sell Down,100,28250.0,-50.0
PVD,11:03:33,Buy Up,500,28300.0,50.0
PVD,11:03:25,Sell Down,500,28250.0,0.0
PVD,11:03:23,Sell Down,200,28250.0,0.0
PVD,11:03:15,Buy Up,100,28250.0,0.0
PVD,11:03:15,Buy Up,1000,28250.0,0.0
PVD,11:03:15,Buy Up,1000,28250.0,0.0
PVD,11:03:15,Buy Up,1300,28250.0,0.0
PVD,11:03:15,Buy Up,1000,28250.0,0.0
PVD,11:03:15,Buy Up,500,28250.0,0.0
PVD,11:03:15,Buy Up,100,28250.0,0.0
PVD,11:03:15,Buy Up,100,28250.0,0.0
PVD,11:03:15,Buy Up,200,28250.0,0.0
PVD,11:03:15,Buy Up,200,28250.0,0.0
PVD,11:03:14,Buy Up,300,28250.0,0.0
PVD,11:03:14,Buy Up,500,28250.0,0.0
PVD,11:03:14,Buy Up,200,28250.0,0.0
PVD,11:03:14,Buy Up,100,28250.0,0.0
PVD,11:03:14,Buy Up,100,28250.0,0.0
PVD,11:03:14,Buy Up,700,28250.0,0.0
PVD,11:03:14,Buy Up,100,28250.0,0.0
PVD,11:03:14,Buy Up,100,28250.0,0.0
PVD,11:03:05,Buy Up,200,28250.0,50.0
PVD,11:03:05,Sell Down,200,28200.0,0.0
PVD,11:03:04,Sell Down,600,28200.0,0.0
PVD,11:02:52,Sell Down,200,28200.0,0.0
PVD,11:02:43,Sell Down,400,28200.0,0.0
PVD,11:02:43,Sell Down,200,28200.0,-50.0
PVD,11:02:42,Buy Up,100,28250.0,50.0
PVD,11:02:36,Sell Down,2000,28200.0,0.0
PVD,11:02:26,Buy Up,15000,28200.0,0.0
PVD,11:02:26,Buy Up,100,28200.0,0.0
PVD,11:02:26,Buy Up,100,28200.0,0.0
PVD,11:02:26,Buy Up,1000,28200.0,0.0
PVD,11:02:26,Buy Up,300,28200.0,0.0
PVD,11:02:26,Buy Up,100,28200.0,0.0
PVD,11:02:26,Buy Up,500,28200.0,0.0
PVD,11:02:26,Buy Up,700,28200.0,0.0
PVD,11:02:24,Buy Up,14300,28200.0,0.0
PVD,11:02:24,Buy Up,100,28200.0,0.0
PVD,11:02:24,Buy Up,1000,28200.0,0.0
PVD,11:02:24,Buy Up,100,28200.0,0.0
PVD,11:02:24,Buy Up,14500,28200.0,0.0
PVD,11:02:24,Buy Up,500,28200.0,0.0
PVD,11:02:24,Buy Up,1000,28200.0,0.0
PVD,11:02:24,Buy Up,100,28200.0,50.0
PVD,11:02:22,Sell Down,200,28150.0,-50.0
PVD,11:02:21,Buy Up,100,28200.0,0.0
PVD,11:02:21,Buy Up,100,28200.0,0.0
PVD,11:02:21,Buy Up,200,28200.0,0.0
PVD,11:02:21,Buy Up,3000,28200.0,0.0
PVD,11:02:21,Buy Up,200,28200.0,0.0
PVD,11:02:21,Buy Up,1000,28200.0,0.0
PVD,11:02:21,Buy Up,1000,28200.0,0.0
PVD,11:02:21,Buy Up,4400,28200.0,0.0
PVD,11:02:10,Buy Up,100,28200.0,0.0
PVD,11:02:07,Buy Up,1000,28200.0,0.0
PVD,11:01:59,Buy Up,5000,28200.0,50.0
PVD,11:01:52,Sell Down,200,28150.0,-50.0
PVD,11:01:52,Buy Up,600,28200.0,0.0
PVD,11:01:50,Buy Up,500,28200.0,0.0
PVD,11:01:43,Buy Up,300,28200.0,0.0
PVD,11:01:27,Buy Up,500,28200.0,50.0
PVD,11:01:22,Sell Down,200,28150.0,-50.0
PVD,11:01:17,Buy Up,600,28200.0,0.0
PVD,11:01:17,Buy Up,100,28200.0,50.0
PVD,11:00:52,Sell Down,200,28150.0,0.0
PVD,11:00:30,Sell Down,300,28150.0,0.0
PVD,11:00:22,Sell Down,200,28150.0,-50.0
PVD,11:00:09,Buy Up,200,28200.0,50.0
PVD,10:59:52,Sell Down,200,28150.0,-50.0
PVD,10:59:49,Buy Up,400,28200.0,0.0
PVD,10:59:28,Buy Up,100,28200.0,50.0
PVD,10:59:22,Sell Down,200,28150.0,0.0
PVD,10:59:08,Sell Down,2000,28150.0,0.0
PVD,10:58:59,Sell Down,100,28150.0,0.0
PVD,10:58:52,Sell Down,200,28150.0,0.0
PVD,10:58:22,Sell Down,200,28150.0,0.0
PVD,10:57:52,Sell Down,200,28150.0,-50.0
