ticker,time,orderType,volume,price,prevPriceChange
SRA,13:14:50,Sell Down,1000.0,3600.0,0.0
SRA,13:11:19,Sell Down,1000.0,3600.0,0.0
SRA,13:04:17,Sell Down,1100.0,3600.0,0.0
SRA,13:02:50,Sell Down,50000.0,3600.0,-100.0
SRA,11:28:02,Buy Up,100.0,3700.0,100.0
SRA,11:24:28,Sell Down,100.0,3600.0,-100.0
SRA,11:24:25,Buy Up,800.0,3700.0,0.0
SRA,11:21:04,Buy Up,100.0,3700.0,100.0
SRA,11:20:14,Buy Up,134400.0,3600.0,100.0
SRA,11:19:49,Sell Down,400.0,3500.0,-100.0
SRA,11:17:37,Buy Up,600.0,3600.0,0.0
SRA,11:16:50,Buy Up,100.0,3600.0,100.0
SRA,10:54:15,Sell Down,100.0,3500.0,-100.0
SRA,10:46:05,Buy Up,200.0,3600.0,100.0
SRA,10:14:54,Sell Down,300.0,3500.0,0.0
SRA,10:13:47,Sell Down,10000.0,3500.0,-100.0
SRA,10:02:31,Buy Up,5000.0,3600.0,0.0
SRA,09:58:06,Buy Up,100.0,3600.0,100.0
SRA,09:56:06,Sell Down,100.0,3500.0,-100.0
SRA,09:55:49,Buy Up,100.0,3600.0,100.0
SRA,09:55:45,Sell Down,100.0,3500.0,-100.0
SRA,09:51:32,Buy Up,400.0,3600.0,100.0
SRA,09:51:24,Sell Down,100.0,3500.0,-100.0
SRA,09:48:51,Buy Up,100.0,3600.0,0.0
SRA,09:46:07,Buy Up,10000.0,3600.0,0.0
SRA,09:30:52,Buy Up,2700.0,3600.0,0.0
SRA,09:28:15,Buy Up,100.0,3600.0,0.0
SRA,09:26:46,Buy Up,2500.0,3600.0,0.0
SRA,09:25:18,Buy Up,200.0,3600.0,0.0
SRA,09:23:34,Buy Up,500.0,3600.0,0.0
SRA,09:20:01,Buy Up,10000.0,3600.0,0.0
SRA,09:19:28,Buy Up,200.0,3600.0,0.0
SRA,09:19:26,Buy Up,5000.0,3600.0,0.0
SRA,09:18:56,Buy Up,6600.0,3600.0,0.0
SRA,09:17:56,Buy Up,300.0,3600.0,0.0
SRA,09:16:35,Buy Up,100.0,3600.0,0.0
SRA,09:16:09,Buy Up,10000.0,3600.0,0.0
SRA,09:15:07,Buy Up,200.0,3600.0,0.0
SRA,09:14:50,Buy Up,4000.0,3600.0,0.0
SRA,09:14:46,Buy Up,500.0,3600.0,100.0
SRA,09:00:01,Sell Down,700.0,3500.0,0.0
SRA,09:00:00,Buy Up,1300.0,3500.0,0.0
