ticker,time,orderType,volume,price,prevPriceChange
SSB,10:27:32,Sell Down,300.0,23250.0,0.0
SSB,10:26:48,Sell Down,200.0,23250.0,0.0
SSB,10:26:03,Sell Down,300.0,23250.0,-50.0
SSB,10:26:03,Buy Up,300.0,23300.0,0.0
SSB,10:25:59,Buy Up,400.0,23300.0,0.0
SSB,10:25:59,Buy Up,1100.0,23300.0,0.0
SSB,10:25:52,Buy Up,600.0,23300.0,0.0
SSB,10:25:47,Buy Up,500.0,23300.0,50.0
SSB,10:25:39,Buy Up,2100.0,23250.0,0.0
SSB,10:25:33,Buy Up,1500.0,23250.0,0.0
SSB,10:25:29,Buy Up,5200.0,23250.0,0.0
SSB,10:25:27,Sell Down,800.0,23250.0,0.0
SSB,10:25:27,Sell Down,1400.0,23250.0,0.0
SSB,10:25:22,Sell Down,11000.0,23250.0,0.0
SSB,10:25:08,Buy Up,2600.0,23250.0,50.0
SSB,10:25:06,Sell Down,200.0,23200.0,0.0
SSB,10:25:04,Sell Down,3100.0,23200.0,0.0
SSB,10:25:04,Sell Down,3500.0,23200.0,-50.0
SSB,10:24:59,Buy Up,2000.0,23250.0,0.0
SSB,10:24:53,Sell Down,3800.0,23250.0,0.0
SSB,10:24:45,Sell Down,7600.0,23250.0,0.0
SSB,10:24:35,Buy Up,3100.0,23250.0,0.0
SSB,10:24:35,Buy Up,1500.0,23250.0,50.0
SSB,10:24:26,Sell Down,6800.0,23200.0,-50.0
SSB,10:24:19,Buy Up,4000.0,23250.0,0.0
SSB,10:24:18,Buy Up,1600.0,23250.0,100.0
SSB,10:24:06,Sell Down,500.0,23150.0,0.0
SSB,10:24:06,Sell Down,500.0,23150.0,0.0
SSB,10:24:06,Sell Down,500.0,23150.0,0.0
SSB,10:24:06,Sell Down,500.0,23150.0,0.0
SSB,10:24:06,Sell Down,500.0,23150.0,50.0
SSB,10:23:53,Sell Down,3100.0,23100.0,0.0
SSB,10:23:53,Sell Down,1000.0,23100.0,0.0
SSB,10:23:53,Sell Down,1000.0,23100.0,0.0
SSB,10:23:53,Sell Down,500.0,23100.0,0.0
SSB,10:23:53,Sell Down,400.0,23100.0,0.0
SSB,10:23:45,Sell Down,100.0,23100.0,0.0
SSB,10:23:45,Sell Down,1000.0,23100.0,0.0
SSB,10:23:45,Sell Down,400.0,23100.0,0.0
SSB,10:23:45,Sell Down,100.0,23100.0,0.0
SSB,10:23:45,Sell Down,1000.0,23100.0,0.0
SSB,10:23:45,Sell Down,500.0,23100.0,0.0
SSB,10:23:45,Sell Down,1000.0,23100.0,0.0
SSB,10:23:45,Sell Down,1000.0,23100.0,0.0
SSB,10:23:45,Sell Down,1000.0,23100.0,0.0
SSB,10:23:45,Sell Down,100.0,23100.0,0.0
SSB,10:23:45,Sell Down,100.0,23100.0,0.0
SSB,10:23:45,Sell Down,700.0,23100.0,-50.0
SSB,10:23:44,Buy Up,200.0,23150.0,0.0
SSB,10:23:30,Buy Up,100.0,23150.0,0.0
SSB,10:23:22,Buy Up,200.0,23150.0,0.0
SSB,10:22:55,Buy Up,300.0,23150.0,0.0
SSB,10:22:55,Buy Up,200.0,23150.0,0.0
SSB,10:21:19,Buy Up,100.0,23150.0,0.0
SSB,10:17:44,Buy Up,200.0,23150.0,0.0
SSB,10:17:44,Buy Up,500.0,23150.0,0.0
SSB,10:17:44,Buy Up,300.0,23150.0,0.0
SSB,10:17:05,Buy Up,200.0,23150.0,0.0
SSB,10:16:57,Sell Down,200.0,23150.0,-50.0
SSB,10:16:52,Buy Up,100.0,23200.0,50.0
SSB,10:16:09,Sell Down,200.0,23150.0,-50.0
SSB,10:15:33,Buy Up,100.0,23200.0,50.0
SSB,10:15:25,Sell Down,200.0,23150.0,0.0
SSB,10:14:34,Sell Down,100.0,23150.0,0.0
SSB,10:14:24,Buy Up,200.0,23150.0,0.0
SSB,10:14:24,Buy Up,200.0,23150.0,50.0
SSB,10:13:50,Sell Down,200.0,23100.0,0.0
SSB,10:13:04,Sell Down,200.0,23100.0,0.0
SSB,10:12:10,Sell Down,200.0,23100.0,0.0
SSB,10:11:46,Sell Down,2800.0,23100.0,0.0
SSB,10:10:37,Sell Down,200.0,23100.0,0.0
SSB,10:10:36,Sell Down,200.0,23100.0,50.0
SSB,10:09:46,Sell Down,100.0,23050.0,0.0
SSB,10:09:46,Sell Down,100.0,23050.0,0.0
SSB,10:08:57,Sell Down,200.0,23050.0,0.0
SSB,10:08:37,Sell Down,100.0,23050.0,-50.0
SSB,10:08:26,Sell Down,400.0,23100.0,0.0
SSB,10:08:14,Sell Down,100.0,23100.0,-50.0
SSB,10:08:14,Buy Up,100.0,23150.0,-50.0
SSB,10:07:44,Buy Up,300.0,23200.0,150.0
SSB,10:07:19,Sell Down,100.0,23050.0,-50.0
SSB,10:07:19,Sell Down,100.0,23100.0,-50.0
SSB,10:06:58,Buy Up,200.0,23150.0,100.0
SSB,10:06:34,Sell Down,100.0,23050.0,0.0
SSB,10:06:34,Sell Down,100.0,23050.0,-50.0
SSB,10:06:22,Sell Down,100.0,23100.0,0.0
SSB,10:06:22,Sell Down,1000.0,23100.0,50.0
SSB,10:05:50,Sell Down,200.0,23050.0,-150.0
SSB,10:05:32,Sell Down,300.0,23200.0,0.0
SSB,10:05:32,Sell Down,100.0,23200.0,0.0
SSB,10:05:32,Sell Down,900.0,23200.0,0.0
SSB,10:05:04,Sell Down,200.0,23200.0,-50.0
SSB,10:05:02,Buy Up,1300.0,23250.0,-50.0
SSB,10:04:57,Buy Up,3200.0,23300.0,50.0
SSB,10:04:57,Buy Up,800.0,23250.0,50.0
SSB,10:04:38,Buy Up,200.0,23200.0,0.0
SSB,10:04:38,Buy Up,200.0,23200.0,150.0
SSB,10:04:25,Sell Down,700.0,23050.0,0.0
SSB,10:04:25,Sell Down,1000.0,23050.0,0.0
SSB,10:04:25,Sell Down,1000.0,23050.0,0.0
SSB,10:04:25,Sell Down,300.0,23050.0,0.0
SSB,10:04:25,Sell Down,1000.0,23050.0,0.0
SSB,10:04:25,Sell Down,1000.0,23050.0,0.0
SSB,10:04:25,Sell Down,600.0,23050.0,0.0
SSB,10:04:25,Sell Down,300.0,23050.0,0.0
SSB,10:04:25,Sell Down,200.0,23050.0,0.0
SSB,10:04:25,Sell Down,100.0,23050.0,0.0
SSB,10:04:25,Sell Down,200.0,23050.0,0.0
SSB,10:04:25,Sell Down,1600.0,23050.0,0.0
SSB,10:04:11,Sell Down,200.0,23050.0,0.0
SSB,10:03:25,Sell Down,200.0,23050.0,0.0
SSB,10:02:49,Sell Down,1000.0,23050.0,-50.0
