ticker,time,orderType,volume,price,prevPriceChange
TSC,11:27:49,Buy Up,1500.0,3970.0,0.0
TSC,11:27:49,Buy Up,1000.0,3970.0,0.0
TSC,11:27:49,Buy Up,100.0,3970.0,0.0
TSC,11:27:49,Buy Up,1000.0,3970.0,0.0
TSC,11:27:49,Buy Up,900.0,3970.0,0.0
TSC,11:24:43,Sell Down,500.0,3970.0,0.0
TSC,11:24:43,Sell Down,100.0,3970.0,0.0
TSC,11:24:43,Sell Down,200.0,3970.0,0.0
TSC,11:24:43,Sell Down,800.0,3970.0,0.0
TSC,11:22:44,Sell Down,100.0,3970.0,-10.0
TSC,11:18:51,Buy Up,700.0,3980.0,0.0
TSC,11:17:55,Buy Up,100.0,3980.0,0.0
TSC,11:17:51,Buy Up,3000.0,3980.0,0.0
TSC,11:17:51,Buy Up,500.0,3980.0,0.0
TSC,11:16:28,Buy Up,1500.0,3980.0,0.0
TSC,11:16:28,Buy Up,1000.0,3980.0,0.0
TSC,11:16:28,Buy Up,1500.0,3980.0,0.0
TSC,11:16:17,Buy Up,1500.0,3980.0,0.0
TSC,11:16:17,Buy Up,100.0,3980.0,0.0
TSC,11:13:31,Buy Up,800.0,3980.0,10.0
TSC,11:09:47,Sell Down,100.0,3970.0,0.0
TSC,11:09:47,Buy Up,100.0,3970.0,0.0
TSC,11:08:56,Buy Up,1000.0,3970.0,0.0
TSC,11:07:50,Buy Up,5000.0,3970.0,-10.0
TSC,11:03:57,Buy Up,600.0,3980.0,0.0
TSC,11:01:25,Buy Up,500.0,3980.0,10.0
TSC,11:01:25,Buy Up,500.0,3970.0,0.0
TSC,11:01:24,Buy Up,200.0,3970.0,0.0
TSC,10:58:51,Buy Up,200.0,3970.0,0.0
TSC,10:57:29,Buy Up,300.0,3970.0,0.0
TSC,10:56:05,Buy Up,1000.0,3970.0,0.0
TSC,10:55:27,Buy Up,200.0,3970.0,20.0
TSC,10:53:58,Buy Up,100.0,3950.0,0.0
TSC,10:53:52,Buy Up,1000.0,3950.0,0.0
TSC,10:53:40,Buy Up,500.0,3950.0,0.0
TSC,10:53:28,Sell Down,1000.0,3950.0,0.0
TSC,10:53:28,Sell Down,800.0,3950.0,0.0
TSC,10:53:28,Sell Down,2600.0,3950.0,0.0
TSC,10:51:25,Sell Down,400.0,3950.0,0.0
TSC,10:51:25,Sell Down,7000.0,3950.0,0.0
TSC,10:51:09,Buy Up,2000.0,3950.0,0.0
TSC,10:50:19,Buy Up,100.0,3950.0,0.0
TSC,10:48:56,Buy Up,3000.0,3950.0,0.0
TSC,10:48:56,Buy Up,3000.0,3950.0,0.0
TSC,10:48:56,Buy Up,5000.0,3950.0,0.0
TSC,10:48:56,Buy Up,1000.0,3950.0,0.0
TSC,10:48:56,Buy Up,1000.0,3950.0,0.0
TSC,10:48:56,Buy Up,3000.0,3950.0,0.0
TSC,10:48:56,Buy Up,300.0,3950.0,0.0
TSC,10:48:56,Buy Up,3900.0,3950.0,-10.0
TSC,10:48:56,Buy Up,300.0,3960.0,0.0
TSC,10:48:56,Buy Up,400.0,3960.0,0.0
TSC,10:48:09,Sell Down,100.0,3960.0,0.0
TSC,10:48:09,Sell Down,900.0,3960.0,0.0
TSC,10:47:02,Sell Down,100.0,3960.0,-20.0
TSC,10:45:22,Buy Up,200.0,3980.0,30.0
TSC,10:43:43,Buy Up,200.0,3950.0,0.0
TSC,10:43:43,Buy Up,900.0,3950.0,0.0
TSC,10:43:21,Sell Down,4000.0,3950.0,0.0
TSC,10:43:21,Sell Down,300.0,3950.0,0.0
TSC,10:43:21,Sell Down,300.0,3950.0,0.0
TSC,10:43:21,Sell Down,100.0,3950.0,0.0
TSC,10:43:21,Sell Down,100.0,3950.0,0.0
TSC,10:43:21,Sell Down,4300.0,3950.0,0.0
TSC,10:43:01,Sell Down,700.0,3950.0,0.0
TSC,10:43:01,Sell Down,300.0,3950.0,0.0
TSC,10:39:34,Buy Up,400.0,3950.0,0.0
TSC,10:39:34,Buy Up,300.0,3950.0,0.0
TSC,10:39:33,Buy Up,500.0,3950.0,0.0
