ticker,time,orderType,volume,price,prevPriceChange
TTA,11:02:59,Buy Up,5000.0,7970.0,0.0
TTA,11:02:59,Buy Up,5000.0,7970.0,30.0
TTA,11:01:39,Sell Down,1300.0,7940.0,-10.0
TTA,11:01:39,Buy Up,100.0,7950.0,-20.0
TTA,10:56:51,Buy Up,100.0,7970.0,60.0
TTA,10:56:06,Sell Down,400.0,7910.0,0.0
TTA,10:56:06,Sell Down,600.0,7910.0,0.0
TTA,10:55:48,Sell Down,6000.0,7910.0,-10.0
TTA,10:55:48,Sell Down,1000.0,7920.0,0.0
TTA,10:55:48,Sell Down,1000.0,7920.0,0.0
TTA,10:55:48,Sell Down,1000.0,7920.0,0.0
TTA,10:55:48,Sell Down,1000.0,7920.0,10.0
TTA,10:55:04,Sell Down,3400.0,7910.0,0.0
TTA,10:55:04,Sell Down,100.0,7910.0,-10.0
TTA,10:55:04,Sell Down,100.0,7920.0,10.0
TTA,10:54:42,Sell Down,100.0,7910.0,-30.0
TTA,10:54:42,Sell Down,100.0,7940.0,10.0
TTA,10:54:42,Sell Down,1000.0,7930.0,0.0
TTA,10:54:42,Sell Down,100.0,7930.0,0.0
TTA,10:54:42,Sell Down,500.0,7930.0,0.0
TTA,10:54:42,Sell Down,2700.0,7930.0,-10.0
TTA,10:54:42,Sell Down,500.0,7940.0,0.0
TTA,10:53:51,Sell Down,100.0,7940.0,0.0
TTA,10:53:51,Sell Down,500.0,7940.0,0.0
TTA,10:53:51,Sell Down,500.0,7940.0,-20.0
TTA,10:53:51,Sell Down,200.0,7960.0,0.0
TTA,10:53:51,Sell Down,800.0,7960.0,0.0
TTA,10:53:25,Sell Down,200.0,7960.0,10.0
TTA,10:53:23,Buy Up,1000.0,7950.0,0.0
TTA,10:53:23,Buy Up,200.0,7950.0,0.0
TTA,10:53:23,Buy Up,100.0,7950.0,0.0
TTA,10:53:23,Buy Up,100.0,7950.0,0.0
TTA,10:53:23,Buy Up,100.0,7950.0,0.0
TTA,10:53:23,Buy Up,200.0,7950.0,0.0
TTA,10:53:23,Buy Up,1500.0,7950.0,0.0
TTA,10:53:23,Buy Up,100.0,7950.0,0.0
TTA,10:53:23,Buy Up,500.0,7950.0,-10.0
TTA,10:52:54,Sell Down,1000.0,7960.0,0.0
TTA,10:52:54,Sell Down,100.0,7960.0,0.0
TTA,10:52:54,Sell Down,200.0,7960.0,0.0
TTA,10:52:54,Sell Down,500.0,7960.0,0.0
TTA,10:49:07,Sell Down,100.0,7960.0,0.0
TTA,10:40:03,Sell Down,1900.0,7960.0,0.0
TTA,10:40:03,Sell Down,100.0,7960.0,0.0
TTA,10:38:52,Sell Down,100.0,7960.0,0.0
TTA,10:38:52,Sell Down,100.0,7960.0,-10.0
TTA,10:29:33,Buy Up,100.0,7970.0,0.0
TTA,10:27:11,Buy Up,4700.0,7970.0,0.0
TTA,10:26:58,Buy Up,100.0,7970.0,0.0
TTA,10:25:21,Sell Down,10000.0,7970.0,-20.0
TTA,10:20:43,Buy Up,100.0,7990.0,0.0
TTA,10:20:43,Buy Up,1000.0,7990.0,0.0
TTA,10:20:43,Buy Up,2000.0,7990.0,0.0
TTA,10:20:43,Buy Up,6900.0,7990.0,0.0
TTA,10:20:31,Buy Up,1000.0,7990.0,0.0
TTA,10:20:31,Buy Up,100.0,7990.0,0.0
TTA,10:16:34,Buy Up,200.0,7990.0,20.0
TTA,10:13:57,Buy Up,100.0,7970.0,10.0
TTA,10:12:28,Sell Down,300.0,7960.0,0.0
TTA,10:10:26,Sell Down,700.0,7960.0,0.0
TTA,10:10:26,Sell Down,100.0,7960.0,0.0
TTA,10:10:26,Sell Down,200.0,7960.0,-10.0
TTA,10:09:31,Buy Up,3500.0,7970.0,0.0
TTA,10:05:48,Buy Up,500.0,7970.0,0.0
TTA,10:04:16,Sell Down,2600.0,7970.0,0.0
TTA,10:04:16,Sell Down,100.0,7970.0,0.0
TTA,10:04:16,Sell Down,12100.0,7970.0,-20.0
TTA,10:00:42,Buy Up,200.0,7990.0,10.0
TTA,10:00:42,Buy Up,1000.0,7980.0,-10.0
TTA,10:00:42,Buy Up,300.0,7990.0,10.0
TTA,10:00:42,Buy Up,1000.0,7980.0,0.0
TTA,10:00:42,Buy Up,2500.0,7980.0,0.0
TTA,09:56:04,Buy Up,100.0,7980.0,10.0
TTA,09:46:53,Sell Down,20000.0,7970.0,0.0
TTA,09:46:24,Sell Down,17900.0,7970.0,0.0
TTA,09:46:24,Sell Down,700.0,7970.0,0.0
TTA,09:46:24,Sell Down,10000.0,7970.0,0.0
TTA,09:46:24,Sell Down,100.0,7970.0,0.0
TTA,09:46:24,Sell Down,1300.0,7970.0,-10.0
TTA,09:45:31,Buy Up,2900.0,7980.0,0.0
TTA,09:37:42,Buy Up,100.0,7980.0,10.0
TTA,09:36:42,Buy Up,1000.0,7970.0,0.0
TTA,09:36:42,Buy Up,300.0,7970.0,0.0
TTA,09:36:25,Buy Up,100.0,7970.0,0.0
TTA,09:35:20,Buy Up,1000.0,7970.0,0.0
TTA,09:33:59,Buy Up,1000.0,7970.0,0.0
TTA,09:33:48,Buy Up,2400.0,7970.0,0.0
TTA,09:31:19,Buy Up,5000.0,7970.0,0.0
TTA,09:30:19,Buy Up,100.0,7970.0,0.0
TTA,09:29:48,Buy Up,30000.0,7970.0,-10.0
TTA,09:29:48,Buy Up,100.0,7980.0,0.0
TTA,09:29:06,Sell Down,49900.0,7980.0,0.0
TTA,09:27:50,Buy Up,100.0,7980.0,-20.0
TTA,09:25:37,Buy Up,10000.0,8000.0,0.0
TTA,09:19:49,Buy Up,500.0,8000.0,0.0
TTA,09:19:14,Buy Up,600.0,8000.0,0.0
TTA,09:18:06,Buy Up,500.0,8000.0,0.0
TTA,09:17:24,Buy Up,50000.0,8000.0,10.0
TTA,09:17:15,Buy Up,100.0,7990.0,-10.0
TTA,09:17:15,Buy Up,900.0,8000.0,0.0
TTA,09:15:00,,36800.0,8000.0,0.0
