ticker,time,orderType,volume,price,prevPriceChange
VNM,10:29:29,Buy Up,700,69100.0,0.0
VNM,10:29:29,Buy Up,300,69100.0,0.0
VNM,10:27:12,Buy Up,100,69100.0,0.0
VNM,10:27:02,Buy Up,200,69100.0,0.0
VNM,10:26:31,Sell Down,500,69100.0,0.0
VNM,10:26:11,Sell Down,200,69100.0,0.0
VNM,10:26:06,Sell Down,200,69100.0,0.0
VNM,10:26:06,Sell Down,300,69100.0,0.0
VNM,10:26:05,Sell Down,19700,69100.0,0.0
VNM,10:26:05,Sell Down,100,69100.0,0.0
VNM,10:26:05,Sell Down,200,69100.0,0.0
VNM,10:25:56,Sell Down,1000,69100.0,0.0
VNM,10:25:49,Sell Down,100,69100.0,0.0
VNM,10:25:40,Buy Up,1400,69100.0,0.0
VNM,10:25:40,Buy Up,200,69100.0,0.0
VNM,10:25:40,Buy Up,10000,69100.0,0.0
VNM,10:25:40,Buy Up,1500,69100.0,0.0
VNM,10:24:39,Buy Up,3000,69100.0,0.0
VNM,10:24:34,Buy Up,3300,69100.0,0.0
VNM,10:24:34,Buy Up,1000,69100.0,0.0
VNM,10:24:34,Buy Up,100,69100.0,0.0
VNM,10:24:34,Buy Up,500,69100.0,0.0
VNM,10:24:34,Buy Up,600,69100.0,0.0
VNM,10:24:15,Sell Down,100,69100.0,0.0
VNM,10:23:44,Sell Down,100,69100.0,0.0
VNM,10:23:39,Sell Down,200,69100.0,0.0
VNM,10:23:35,Sell Down,200,69100.0,0.0
VNM,10:23:18,Sell Down,200,69100.0,0.0
VNM,10:22:37,Sell Down,600,69100.0,0.0
VNM,10:22:08,Sell Down,1400,69100.0,0.0
VNM,10:22:08,Sell Down,900,69100.0,0.0
VNM,10:22:08,Sell Down,100,69100.0,0.0
VNM,10:21:44,Sell Down,100,69100.0,0.0
VNM,10:21:34,Sell Down,100,69100.0,0.0
VNM,10:21:18,Buy Up,200,69100.0,0.0
VNM,10:21:05,Buy Up,500,69100.0,0.0
VNM,10:21:04,Buy Up,100,69100.0,0.0
